datetime,pnl,position_owner
2024-05-22 06:00,-3341.999999999971,L2
2024-05-23 12:00,-1035.0,L1
2024-05-23 13:00,1870.0,L1
2024-05-23 14:00,-3085.0,L2
2024-05-28 05:00,-1195.0,L1
2024-05-30 02:00,-480.0,L2
2024-05-30 03:00,-1040.0,L1
2024-05-30 18:00,685.0,L2
2024-05-30 23:00,-1035.0,L1
2024-05-31 10:00,1870.0,L1
2024-06-05 10:00,2404.0000000000146,L2
2024-06-05 13:00,1870.0,L1
2024-06-11 18:00,2404.0000000000146,L2
2024-06-13 06:00,810.0,L2
2024-06-14 05:00,1870.0,L1
2024-06-17 14:00,-1265.9999999999854,L1
2024-06-17 23:00,1870.0,L1
2024-06-20 09:00,1870.0,L1
2024-06-20 14:00,2404.0000000000146,L2
2024-06-24 13:00,1870.0,L1
2024-06-25 03:00,-1080.0,L1
2024-06-25 12:00,-1125.0,L1
2024-06-25 13:00,-1035.0,L1
2024-06-25 14:00,1870.0,L1
2024-06-28 14:00,2404.0000000000146,L2
2024-07-02 14:00,1870.0,L1
2024-07-04 22:00,2404.0000000000146,L2
2024-07-09 11:00,-1035.0,L1
2024-07-10 11:00,-1040.0,L1
2024-07-10 13:00,1870.0,L1
2024-07-11 20:00,-1265.9999999999854,L1
2024-07-12 10:00,1870.0,L1
2024-07-15 14:00,345.0,L2
2024-07-16 22:00,1870.0,L1
2024-07-18 06:00,2404.0000000000146,L2
2024-07-18 18:00,-1180.0,L1
2024-07-23 06:00,740.0,L2
2024-07-23 07:00,1870.0,L1
2024-07-24 10:00,2404.0000000000146,L2
2024-07-24 14:00,2404.0000000000146,L2
2024-07-25 22:00,1870.0,L1
2024-07-26 05:00,-1050.0,L1
2024-07-29 06:00,1870.0,L1
2024-07-30 20:00,1870.0,L1
2024-07-31 13:00,-1265.9999999999854,L1
2024-08-08 23:00,-1265.9999999999854,L1
2024-08-09 07:00,1870.0,L1
2024-08-13 09:00,1870.0,L1
2024-08-13 13:00,-1265.9999999999854,L1
2024-08-13 20:00,-1265.9999999999854,L1
2024-08-14 12:00,-1265.9999999999854,L1
2024-08-14 21:00,-1100.0,L1
2024-08-15 14:00,1870.0,L1
2024-08-16 12:00,1870.0,L1
2024-08-19 16:00,-1265.9999999999854,L1
2024-08-20 12:00,-1075.0,L1
2024-08-21 14:00,-1095.0,L1
2024-08-26 10:00,1870.0,L1
2024-08-26 14:00,-1265.9999999999854,L1
2024-08-27 07:00,1870.0,L1
