anchor,sl_soft,sl_hard,tp,pnl,n,dd,win
2024Q1,299.32,548.25,378.23,29416.23,13,18985.0,61.5
2024Q1,273.6,450.1,357.8,41528.81,13,11540.0,69.2
2024Q1,260.29,496.13,368.84,44920.3,13,10955.0,69.2
2024Q1,255.32,478.19,338.85,22725.23,14,10790.0,57.1
2024Q1,266.19,504.0,368.26,44301.76,13,11045.0,69.2
2024Q1,248.13,498.04,385.58,28686.6,12,10155.0,58.3
2024Q1,285.12,523.78,370.12,43351.57,13,11710.0,69.2
2024Q1,259.22,518.94,356.22,42650.2,13,10955.0,69.2
2024Q1,274.1,473.5,383.51,30961.3,11,11540.0,63.6
2024Q1,264.9,451.88,396.63,19485.19,11,17260.0,54.5
2024Q1,278.94,509.19,620.63,-15064.65,9,34235.0,22.2
2024Q1,253.78,525.55,370.39,22477.15,15,26340.0,53.3
2024Q1,290.32,505.15,383.28,29993.56,11,11780.0,63.6
2024Q1,240.7,531.94,353.93,33762.43,15,20140.0,60.0
2024Q1,270.14,521.75,408.13,13173.44,10,16790.0,50.0
2024Q1,261.92,498.12,366.44,44299.84,13,10955.0,69.2
2024Q1,78.02,302.21,390.54,-10796.78,28,27514.19,14.3
2024Q1,284.85,488.9,375.78,44416.11,13,11710.0,69.2
2024Q1,274.19,472.88,348.59,39871.83,13,11540.0,69.2
2024Q1,252.04,432.47,376.39,23847.33,15,26020.0,53.3
2024Q1,305.13,513.76,361.96,26238.37,13,19380.0,61.5
2024Q1,290.79,439.91,395.42,23500.07,10,12065.0,60.0
2024Q1,282.09,453.3,332.8,18607.62,14,11690.0,57.1
2024Q1,263.62,453.63,411.31,13751.1,10,16775.0,50.0
2024Q1,272.34,480.13,379.48,45771.97,13,11540.0,69.2
2024Q1,257.09,463.15,390.19,15282.88,12,15825.0,50.0
2024Q1,244.42,463.31,360.1,34528.75,15,19920.0,60.0
2024Q1,273.82,536.33,376.92,44970.94,13,11540.0,69.2
2024Q1,269.92,540.87,404.54,12384.48,10,17260.0,50.0
2024Q1,265.82,547.49,38.33,-2600.69,37,18748.21,86.5
2024Q1,274.45,531.18,342.4,38756.61,13,11540.0,69.2
2024Q1,256.79,517.35,385.66,14738.88,12,15825.0,50.0
2024Q1,235.53,482.7,359.6,35252.6,15,19695.0,60.0
2024Q1,247.11,529.25,370.17,36019.92,15,20240.0,60.0
2024Q1,262.85,493.07,397.23,19617.14,11,17245.0,54.5
2024Q1,272.0,569.84,419.05,19574.95,9,16790.0,55.6
2024Q1,255.79,570.82,380.4,26840.6,12,10790.0,58.3
2024Q1,278.99,541.94,347.15,39381.44,13,11635.0,69.2
2024Q1,266.89,509.13,369.57,44212.59,13,11370.0,69.2
2024Q1,248.64,517.13,389.29,29206.18,12,10155.0,58.3
2024Q1,297.16,523.63,357.41,26261.38,13,18725.0,61.5
2024Q1,277.5,526.3,399.67,16891.86,9,17420.0,55.6
2024Q1,261.82,477.13,380.29,31341.11,11,10955.0,63.6
2024Q1,226.9,465.66,366.93,37396.74,15,19170.0,60.0
2024Q1,269.39,549.05,334.5,20330.53,14,11400.0,57.1
2024Q1,254.9,507.54,348.58,41509.8,13,10790.0,69.2
2024Q1,276.8,579.07,382.41,30637.94,11,11635.0,63.6
2024Q1,242.65,436.12,427.25,22794.65,9,9975.0,55.6
2024Q1,290.69,517.7,363.29,41862.1,13,11780.0,69.2
2024Q1,260.95,524.97,406.12,13906.98,10,16200.0,50.0
2024Q1,282.48,522.28,391.97,23851.51,10,11855.0,60.0
2024Q1,269.2,488.75,375.83,45338.55,13,11400.0,69.2
2024Q1,269.51,490.2,360.07,42557.06,13,11400.0,69.2
2024Q1,251.51,506.37,374.67,23571.83,15,26020.0,53.3
2024Q1,261.4,495.74,350.98,41516.43,13,10955.0,69.2
2024Q1,236.81,510.24,386.78,29058.57,12,10225.0,58.3
2024Q1,270.68,561.96,412.95,19085.07,9,16790.0,55.6
2024Q1,248.55,463.41,395.58,30086.08,12,10155.0,58.3
2024Q1,258.86,504.65,369.4,45022.88,13,10955.0,69.2
2024Q1,141.23,388.15,376.88,-9302.26,20,28850.0,25.0
