i,time,layer,decision,datetime,reason,box_cause,event_type,direction,box_dir,entry_price,exit_time,exit_price,exit_reason,pnl,equity,dd,in_position,position_owner,l2_reason
3736,1724040000,,nonentry,2024-08-19 04:00,box_silence,,NOENTRY,,,,,,,0.0,0.0,0.0,False,,
3737,1724043600,,nonentry,2024-08-19 05:00,box_silence,,NOENTRY,,,,,,,0.0,0.0,0.0,False,,
3738,1724047200,,nonentry,2024-08-19 06:00,box_silence,,NOENTRY,,,,,,,0.0,0.0,0.0,False,,
3739,1724050800,,nonentry,2024-08-19 07:00,box_silence,,NOENTRY,,,,,,,0.0,0.0,0.0,False,,
3740,1724054400,,nonentry,2024-08-19 08:00,box_silence,,NOENTRY,,,,,,,0.0,0.0,0.0,False,,
3741,1724058000,,nonentry,2024-08-19 09:00,box_silence,,NOENTRY,,,,,,,0.0,0.0,0.0,False,,
3742,1724061600,,nonentry,2024-08-19 10:00,box_silence,,NOENTRY,,,,,,,0.0,0.0,0.0,False,,
3743,1724065200,,nonentry,2024-08-19 11:00,box_silence,,NOENTRY,,,,,,,0.0,0.0,0.0,False,,
3744,1724068800,,nonentry,2024-08-19 12:00,box_silence,,NOENTRY,,,,,,,0.0,0.0,0.0,False,,
3745,1724072400,,nonentry,2024-08-19 13:00,box_silence,,NOENTRY,,,,,,,0.0,0.0,0.0,False,,
3746,1724076000,,nonentry,2024-08-19 14:00,box_silence,,NOENTRY,,,,,,,0.0,0.0,0.0,False,,
3747,1724079600,,nonentry,2024-08-19 15:00,box_silence,,NOENTRY,,,,,,,0.0,0.0,0.0,False,,
3748,1724083200,L1,entry,2024-08-19 16:00,entered,,ENTRY,long,,19860.0,1724150160,19796.7,STOP_LOSS_HARD,-1265.9999999999854,25119.0,2424.0,True,L1,
3749,1724090400,L1,nonentry,2024-08-19 18:00,open_trade,,NOENTRY,,,,,,,0.0,0.0,0.0,True,L1,
3750,1724094000,L1,nonentry,2024-08-19 19:00,open_trade,,NOENTRY,,,,,,,0.0,0.0,0.0,True,L1,
3751,1724097600,L1,nonentry,2024-08-19 20:00,open_trade,,NOENTRY,,,,,,,0.0,0.0,0.0,True,L1,
3752,1724101200,L1,nonentry,2024-08-19 21:00,open_trade,,NOENTRY,,,,,,,0.0,0.0,0.0,True,L1,
3753,1724104800,L1,nonentry,2024-08-19 22:00,open_trade,,NOENTRY,,,,,,,0.0,0.0,0.0,True,L1,
3754,1724108400,L1,nonentry,2024-08-19 23:00,open_trade,,NOENTRY,,,,,,,0.0,0.0,0.0,True,L1,
3755,1724112000,L1,nonentry,2024-08-20 00:00,open_trade,,NOENTRY,,,,,,,0.0,0.0,0.0,True,L1,
3756,1724115600,L1,nonentry,2024-08-20 01:00,open_trade,,NOENTRY,,,,,,,0.0,0.0,0.0,True,L1,
3757,1724119200,L1,nonentry,2024-08-20 02:00,open_trade,,NOENTRY,,,,,,,0.0,0.0,0.0,True,L1,
3758,1724122800,L1,nonentry,2024-08-20 03:00,open_trade,,NOENTRY,,,,,,,0.0,0.0,0.0,True,L1,
3759,1724126400,L1,nonentry,2024-08-20 04:00,open_trade,,NOENTRY,,,,,,,0.0,0.0,0.0,True,L1,
3760,1724130000,L1,nonentry,2024-08-20 05:00,open_trade,,NOENTRY,,,,,,,0.0,0.0,0.0,True,L1,
3761,1724133600,L1,nonentry,2024-08-20 06:00,open_trade,,NOENTRY,,,,,,,0.0,0.0,0.0,True,L1,
3762,1724137200,L1,nonentry,2024-08-20 07:00,open_trade,,NOENTRY,,,,,,,0.0,0.0,0.0,True,L1,
3763,1724140800,L1,nonentry,2024-08-20 08:00,open_trade,,NOENTRY,,,,,,,0.0,0.0,0.0,True,L1,
