i,time,layer,decision,datetime,reason,box_cause,event_type,direction,box_dir,entry_price,exit_time,exit_price,exit_reason,pnl,equity,dd,in_position,position_owner,l2_reason
3322,1753441200,L1,entry,2025-07-25 11:00,entered,,ENTRY,short,,6412.75,1753446360,6423.0,STOP_LOSS_SOFT,-512.5,19205.0,1952.5,True,L1,
3323,1753444800,L1,nonentry,2025-07-25 12:00,open_trade,,NOENTRY,,,,,,,0.0,0.0,0.0,True,L1,
3324,1753448400,,nonentry,2025-07-25 13:00,box_silence,,NOENTRY,,,,,,,0.0,0.0,0.0,False,,
3325,1753452000,,nonentry,2025-07-25 14:00,box_silence,,NOENTRY,,,,,,,0.0,0.0,0.0,False,,
3326,1753455600,,nonentry,2025-07-25 15:00,box_silence,,NOENTRY,,,,,,,0.0,0.0,0.0,False,,
3327,1753459200,,nonentry,2025-07-25 16:00,box_silence,,NOENTRY,,,,,,,0.0,0.0,0.0,False,,
3328,1753639200,,nonentry,2025-07-27 18:00,box_silence,,NOENTRY,,,,,,,0.0,0.0,0.0,False,,
3329,1753642800,,nonentry,2025-07-27 19:00,box_silence,,NOENTRY,,,,,,,0.0,0.0,0.0,False,,
3330,1753646400,,nonentry,2025-07-27 20:00,box_silence,,NOENTRY,,,,,,,0.0,0.0,0.0,False,,
3331,1753650000,,nonentry,2025-07-27 21:00,box_silence,,NOENTRY,,,,,,,0.0,0.0,0.0,False,,
3332,1753653600,,nonentry,2025-07-27 22:00,box_silence,,NOENTRY,,,,,,,0.0,0.0,0.0,False,,
3333,1753657200,,nonentry,2025-07-27 23:00,box_silence,,NOENTRY,,,,,,,0.0,0.0,0.0,False,,
3334,1753660800,,nonentry,2025-07-28 00:00,box_silence,,NOENTRY,,,,,,,0.0,0.0,0.0,False,,
3335,1753664400,,nonentry,2025-07-28 01:00,box_silence,,NOENTRY,,,,,,,0.0,0.0,0.0,False,,
3336,1753668000,,nonentry,2025-07-28 02:00,box_silence,,NOENTRY,,,,,,,0.0,0.0,0.0,False,,
3337,1753671600,,nonentry,2025-07-28 03:00,box_silence,,NOENTRY,,,,,,,0.0,0.0,0.0,False,,
3338,1753675200,,nonentry,2025-07-28 04:00,box_silence,,NOENTRY,,,,,,,0.0,0.0,0.0,False,,
3339,1753678800,,nonentry,2025-07-28 05:00,box_silence,,NOENTRY,,,,,,,0.0,0.0,0.0,False,,
3340,1753682400,,nonentry,2025-07-28 06:00,box_silence,,NOENTRY,,,,,,,0.0,0.0,0.0,False,,
3341,1753686000,,nonentry,2025-07-28 07:00,box_silence,,NOENTRY,,,,,,,0.0,0.0,0.0,False,,
