i,ref_month,release,tv_actual,tv_forecast,tv_previous,prev_pit,prev_first,prev_today,first,current,revision,prior_actual
14,2017-02-01,2017-03-15 08:30:00,0.1,0.1,0.6,0.5506113556899894,0.5506113556899894,0.4043076694815628,0.122052113795168,0.15926573570097524,0.03721362190580724,0.6
15,2017-03-01,2017-04-14 08:30:00,-0.3,0.0,0.1,0.122052113795168,0.122052113795168,0.15926573570097524,-0.2879863860981047,-0.04672016261895173,0.24126622347915294,0.1
16,2017-04-01,2017-05-12 08:30:00,0.2,0.2,-0.3,-0.2879863860981047,-0.2879863860981047,-0.04672016261895173,0.16656273589548132,0.12341528217407749,-0.04314745372140383,-0.3
17,2017-05-01,2017-06-14 08:30:00,-0.1,0.1,0.2,0.16656273589548132,0.16656273589548132,0.12341528217407749,-0.1277861057184193,-0.07739779600562935,0.05038830971278996,0.2
18,2017-06-01,2017-07-14 08:30:00,0.0,0.1,-0.1,-0.1277861057184193,-0.1277861057184193,-0.07739779600562935,-0.022965314173706286,0.0651628661825221,0.08812818035622838,-0.1
19,2017-07-01,2017-08-11 08:30:00,0.1,0.2,0.0,-0.022965314173706286,-0.022965314173706286,0.0651628661825221,0.10582878707083854,0.03276499715354486,-0.07306378991729368,0.0
20,2017-08-01,2017-09-14 08:30:00,0.4,0.3,0.1,0.10582878707083854,0.10582878707083854,0.03276499715354486,0.4023798596997308,0.38486261632881824,-0.01751724337091254,0.1
21,2017-09-01,2017-10-13 08:30:00,0.5,0.6,0.4,0.4023798596997308,0.4023798596997308,0.38486261632881824,0.5480961514916505,0.5106389920997767,-0.03745715939187377,0.4
22,2017-10-01,2017-11-15 08:30:00,0.1,0.1,0.5,0.5480961514916505,0.5480961514916505,0.5106389920997767,0.10796637618570859,0.07750522450138408,-0.030461151684324506,0.5
23,2017-11-01,2017-12-13 08:30:00,0.4,0.4,0.1,0.10796637618570859,0.10796637618570859,0.07750522450138408,0.38639469021526374,0.2668007428251684,-0.11959394739009532,0.1
24,2017-12-01,2018-01-12 08:30:00,0.1,0.2,0.4,0.38639469021526374,0.38639469021526374,0.2668007428251684,0.14984329057481371,0.21068892447551058,0.06084563390069686,0.4
25,2018-01-01,2018-02-14 08:30:00,0.5,0.3,0.2,0.20168868805348072,0.14984329057481371,0.21068892447551058,0.538501875680697,0.42533443635115464,-0.11316743932954232,0.1
26,2018-02-01,2018-03-13 08:30:00,0.2,0.2,0.5,0.538501875680697,0.538501875680697,0.42533443635115464,0.15005316054483853,0.26922876006090224,0.11917559951606371,0.5
27,2018-03-01,2018-04-11 08:30:00,-0.1,0.0,0.2,0.15005316054483853,0.15005316054483853,0.26922876006090224,-0.06289585328040914,0.0192362410782021,0.08213209435861124,0.2
28,2018-04-01,2018-05-10 08:30:00,0.2,0.3,-0.1,-0.06289585328040914,-0.06289585328040914,0.0192362410782021,0.2208753236966121,0.2604406656061986,0.03956534190958649,-0.1
29,2018-05-01,2018-06-12 08:30:00,0.2,0.2,0.2,0.2208753236966121,0.2208753236966121,0.2604406656061986,0.20878914296456053,0.2257949781598212,0.017005835195260666,0.2
30,2018-06-01,2018-07-12 08:30:00,0.1,0.2,0.2,0.20878914296456053,0.20878914296456053,0.2257949781598212,0.12852495659290142,0.09011451720948305,-0.03841043938341837,0.2
31,2018-07-01,2018-08-10 08:30:00,0.2,0.2,0.1,0.12852495659290142,0.12852495659290142,0.09011451720948305,0.1710137648142096,0.07808204989283585,-0.09293171492137375,0.1
32,2018-08-01,2018-09-13 08:30:00,0.2,0.3,0.2,0.1710137648142096,0.1710137648142096,0.07808204989283585,0.22285364087135662,0.17873207703393845,-0.044121563837418165,0.2
33,2018-09-01,2018-10-11 08:30:00,0.1,0.2,0.2,0.22285364087135662,0.22285364087135662,0.17873207703393845,0.05876607132930811,0.2062281702117419,0.14746209888243378,0.2
