anchor,tier,clock,n_moments,n_filled,gross_mean,net_stressed_mean,t,p,alpha,half1_gross,half2_gross,mde_usd,jump_ratio,jump_ok,ctrl_mean_net,ctrl_p,floor_ok,noise_p,noise_ok,verdict,t2_fdr_pass
IBD/TIPP Economic Optimism,2,10:00,40,40,5.810312499999474,-46.68968750000053,-2.044787090067524,0.040875853079015444,0.05,2.5981249999990075,9.022499999999932,63.970052925294446,1.0,False,-49.659663588390266,1.0478915747366758e-09,True,0.437,False,VOID-TIMESTAMP,True
ISM New York Index,2,09:45,62,62,-21.387499999999598,-73.8874999999996,-6.223362233020781,4.866121188595435e-10,0.05,-27.633064516128666,-15.141935483870535,33.26210496943311,0.9999999999995559,False,-50.6686375321335,1.4580250196291526e-10,False,0.873,False,VOID-TIMESTAMP,True
Industrial Production MoM,2,09:15,91,90,6.985416666666694,-45.51458333333331,-2.602971872999946,0.0092419535541978,0.05,-5.0899999999992,19.06083333333259,48.987461305787534,0.9999999999995559,False,-53.721433161953755,7.792121249672995e-12,True,0.279,False,VOID-TIMESTAMP,True
Kansas Fed Manufacturing Index,2,11:00,116,116,4.650969827586639,-47.84903017241337,-3.4634487768194586,0.0005332981223890712,0.05,5.724353448275682,3.577586206897591,38.70510127488927,0.9999999999995559,False,-46.88599869451669,6.874085782344033e-11,False,0.537,False,VOID-TIMESTAMP,True
LMI Logistics Managers Index,2,06:00,63,61,-0.5655737704924183,-53.065573770492406,-2.415157622640973,0.01572840161270087,0.05,-4.198750000000701,2.950403225805919,61.55611779179392,1.9999999999982236,True,-64.55127617801024,7.312327104311876e-35,True,0.184,False,SIGNIFICANT-NEGATIVE (p=0.016),True
MBA 30-Year Mortgage Rate,2,07:00,543,537,-1.2590316573553844,-53.75903165735538,-10.724901816025877,7.776962312318962e-27,0.05,-2.728311567163939,0.2047862453535135,14.043066412571937,1.0,False,-54.95574412532633,1.3807708047559238e-20,True,0.377,False,VOID-TIMESTAMP,True
Michigan Consumer Sentiment Final,2,10:00,90,89,44.72064606741539,-7.779353932584612,-0.4064927978805165,0.6843805477494357,0.05,24.58892045454453,64.40500000000023,53.616012641171345,1.499999999999556,True,-49.659663588390266,1.0478915747366758e-09,True,0.009,True,POWERED-NULL,False
Monthly Budget Statement,2,14:00,116,111,11.739752252252881,-40.760247747747115,-3.56160725352251,0.0003685914783409531,0.05,6.596136363636671,16.791517857143802,32.062296451604176,1.0,False,-48.324398395721936,9.877908020417926e-24,True,0.213,False,VOID-TIMESTAMP,True
NAHB Housing Market Index,2,10:00,124,124,6.784576612903437,-45.71542338709656,-3.2873639398238006,0.0010113004481535652,0.05,19.51048387096794,-5.94133064516106,38.95998641436652,1.499999999999556,True,-49.659663588390266,1.0478915747366758e-09,True,0.392,False,SIGNIFICANT-NEGATIVE (p=0.001),True
NFIB Business Optimism Index,2,06:00,127,123,-20.827439024390465,-73.32743902439046,-7.730924610610619,1.0676824178948913e-14,0.05,-15.4620901639343,-26.106250000000564,26.572897764992874,1.000000000000444,False,-64.55127617801024,7.312327104311876e-35,False,0.818,False,VOID-TIMESTAMP,True
