et,pnl_usd,outcome,entry,exit_price,exit_s,block
2022-03-16 08:30:00,-99.39000000000533,stopped_post,1987.8,1985.8121999999998,334.0,Retail Sales MoM
2022-04-14 08:30:00,-101.02500000000418,stopped_post,2020.5,2018.4795,337.0,Retail Sales MoM
2022-05-17 08:30:00,-95.00000000000455,stopped_pre,1812.0,1810.1,-118.0,Retail Sales MoM
2022-06-15 08:30:00,-86.16500000000542,stopped_pre,1723.3,1721.5766999999998,-113.0,Retail Sales MoM
2022-07-15 08:30:00,-85.50000000000182,stopped_post,1710.0,1708.29,2.0,Retail Sales MoM
2022-08-17 08:30:00,-100.2550000000042,stopped_post,2005.1,2003.0948999999998,0.0,Retail Sales MoM
2022-09-15 08:30:00,-91.83000000000447,stopped_post,1836.6,1834.7633999999998,4.0,Retail Sales MoM
2022-10-14 08:30:00,-86.97499999999536,stopped_post,1739.5,1737.7605,7.0,Retail Sales MoM
2022-11-16 08:30:00,-94.45500000000493,stopped_post,1889.1,1887.2108999999998,0.0,Retail Sales MoM
2022-12-15 08:30:00,-104.99999999999545,stopped_post,1812.1,1810.0,363.0,Retail Sales MoM
2023-01-18 08:30:00,379.4599999999946,tp,1897.3,1904.8891999999998,61.0,Retail Sales MoM
2023-02-15 08:30:00,-96.57499999999573,stopped_post,1931.5,1929.5685,0.0,Retail Sales MoM
2023-03-15 08:30:00,-87.37999999999602,stopped_pre,1747.6,1745.8524,-42.0,Retail Sales MoM
2023-04-14 08:30:00,-90.85499999999911,stopped_post,1817.1,1815.2829,14.0,Retail Sales MoM
2023-05-16 08:30:00,-87.96499999999696,stopped_post,1759.3,1757.5407,15.0,Retail Sales MoM
2023-06-15 08:30:00,-95.00000000000455,stopped_pre,1887.0,1885.1,-95.0,Retail Sales MoM
2023-07-18 08:30:00,-98.12500000000455,stopped_post,1962.5,1960.5375,71.0,Retail Sales MoM
2023-08-15 08:30:00,-95.57499999999663,stopped_post,1911.5,1909.5885,12.0,Retail Sales MoM
2023-09-14 08:30:00,-93.55500000000347,stopped_post,1871.1,1869.2288999999998,33.0,Retail Sales MoM
