instrument,release,n,pearson_r,pearson_p,spearman_r,spearman_p,passes_alpha,rule_accuracy,rule_ci_lo,rule_ci_hi,tradeable,provenance_verified,perm_p,control_spearman_p
CL,Net Long-term TIC Flows,43,-0.052880356945157844,0.7362846645881815,0.05013591060102687,0.749516981052737,False,0.5813953488372093,0.43328577383622974,0.7161544907491686,False,True,,
CL,New Home Sales,99,0.0080336452732986,0.9370963766130203,-0.04044526901669758,0.6910156238567922,False,0.5252525252525253,0.427793082355566,0.6208254422866205,False,True,,
CL,New Home Sales MoM,46,-0.15673770938752093,0.29822941894796307,-0.1131668208448967,0.4539643742928075,False,0.5217391304347826,0.38137413069727216,0.6587531056888596,False,True,,
CL,Non Defense Goods Orders Ex Air,28,,,,,False,,,,False,True,,
CL,Non Farm Payrolls,100,-0.03737803567012005,0.7119711456740494,0.025760653347410716,0.7991788303854144,False,0.5102040816326531,0.41273047098073423,0.6069078965674553,False,True,,
CL,Nonfarm Payrolls Private,100,-0.04288065806275138,0.671850001824073,0.010207051326332548,0.9197172871851332,False,0.5,0.4028918256032012,0.5971081743967988,False,True,,
CL,PCE Price Index MoM,29,,,,,False,,,,False,True,,
CL,PCE Price Index YoY,26,,,,,False,,,,False,True,,
CL,PPI MoM,102,0.16450817136897333,0.09848321482331397,0.1344808185450143,0.17779325606730695,False,0.53,0.43288856967879374,0.6248918204277839,False,True,,
CL,PPI YoY,101,0.24622986571768166,0.013060339282266539,0.17830570269645404,0.07442850085638382,False,0.5252525252525253,0.4277930823555662,0.6208254422866207,False,True,,
CL,Pending Home Sales MoM,103,0.014549530093306602,0.8840262136301559,0.10432786565089033,0.2942907550633059,False,0.5252525252525253,0.427793082355566,0.6208254422866205,False,True,,
CL,Personal Income MoM,85,-0.1146928667022036,0.29592438478876926,-0.07355872581590776,0.503467525998197,False,0.6071428571428572,0.5002180658756822,0.704696563745542,False,True,,
CL,Personal Spending MoM,100,0.4873057304758842,2.7233576005175804e-07,0.15002700270027,0.1362626142726607,False,0.5757575757575758,0.477366640115649,0.6684889338109111,False,True,,
CL,Philadelphia Fed Manufacturing Index,103,0.18636955325963342,0.05944190596160295,0.12015145233387868,0.226698491637227,False,0.5346534653465347,0.4378967072304616,0.6288707727208755,False,True,,
CL,Retail Sales Ex Autos MoM,103,-0.031525392123074335,0.7519101659171885,0.26194921583271097,0.007520037405645313,False,0.6274509803921569,0.5306001919764467,0.7150502392369369,False,True,,
CL,Retail Sales MoM,103,0.10620038416205452,0.2856625942974503,0.2086829504019681,0.034395650927846314,False,0.6078431372549019,0.5108332390538616,0.6970248181266937,False,True,,
CL,Richmond Fed Manufacturing Index,63,0.03713279737616997,0.772634879192707,0.053763440860215055,0.6755876869052044,False,0.5645161290322581,0.4409298796933198,0.6805741109999502,False,True,,
CL,S&P/Case-Shiller Home Price YoY,103,0.08221890578807967,0.409004751660827,-0.006776422005658502,0.9458376794186548,False,0.51,0.4134801193183753,0.6057800107171506,False,True,,
CL,Total Vehicle Sales,39,0.05652013778589817,0.7325333655187228,0.09352700047404695,0.5711786720544554,False,0.5405405405405406,0.38384046888765,0.6896143019871721,False,True,,
CL,Unemployment Rate,100,0.03420811226073029,0.735454200754631,-0.00882090855362072,0.930590625210638,False,0.5306122448979591,0.4325246720221616,0.6263904306224068,False,True,,
CL,Wholesale Inventories MoM,103,-0.0479889025748031,0.630255128324979,-0.03548560696966389,0.7219480601735637,False,0.52,0.4231657776301877,0.6153544824408642,False,True,,
CL,Wholesale Inventories MoM Adv,41,0.029030517726571243,0.857014971808872,0.1019341364141536,0.5259716618320804,False,0.5526315789473684,0.3970629711857063,0.6985359900495867,False,True,,
