title,et,unverified,jump_pct,res_pct,pred,abs_fp
Inflation Rate MoM,2021-07-13 08:30:00,False,0.1673640167364097,0.04404316229905307,0.02674324942128787,0.09999999999999998
Retail Sales MoM,2021-07-16 08:30:00,False,0.06378132118451439,0.48298172871009093,0.05203250851626774,1.2999999999999998
Durable Goods Orders MoM,2021-07-27 08:30:00,False,0.09546322392946466,0.04091839054330943,0.028224527970060684,1.1
Fed Interest Rate Decision,2021-07-28 14:00:00,False,0.040747951283564586,0.18564636631197234,0.060949063996521155,0.0
Non Farm Payrolls,2021-08-06 08:30:00,False,0.5862084396115973,0.5235836391300579,0.20803391073555816,68.0
Inflation Rate MoM,2021-08-11 08:30:00,False,0.10741619299107712,0.21929824561403916,0.02674324942128787,0.4
Retail Sales MoM,2021-08-17 08:30:00,False,0.0,0.39060704930839574,0.05396252845129206,1.0
Durable Goods Orders MoM,2021-08-25 08:30:00,False,0.0,0.10324086542776402,0.03454593196421521,1.1
Non Farm Payrolls,2021-09-03 08:30:00,False,0.30314841280152444,0.43732409612469836,0.2224121816760251,303.0
Inflation Rate MoM,2021-09-14 08:30:00,False,0.46080887616321503,0.7426628489620779,0.02674324942128787,0.09999999999999998
Retail Sales MoM,2021-09-16 08:30:00,False,0.2660653889515261,0.5412231643514342,0.05203250851626774,1.0
Fed Interest Rate Decision,2021-09-22 14:00:00,False,0.11730205278591965,0.5863779882724403,0.05616637667270987,0.0
Durable Goods Orders MoM,2021-09-27 08:30:00,False,0.026749888542127016,0.20955013598465458,0.03454593196421521,0.19999999999999996
Non Farm Payrolls,2021-10-08 08:30:00,False,0.2750177430802108,0.5724428666518789,0.22727980644589912,134.0
Inflation Rate MoM,2021-10-13 08:30:00,False,0.12968428584205757,0.3979610087640892,0.02674324942128787,0.0
Retail Sales MoM,2021-10-15 08:30:00,False,0.004383081306154243,0.4295607960024426,0.05396252845129206,1.1
Durable Goods Orders MoM,2021-10-27 08:30:00,False,0.039383861368811966,0.0656282814140707,0.028454261479580308,2.4000000000000004
Fed Interest Rate Decision,2021-11-03 14:00:00,False,0.21420471250367126,0.47879042419151996,0.060949063996521155,0.0
Non Farm Payrolls,2021-11-05 08:30:00,False,0.1572782583502414,0.4345666749441272,0.22727980644589912,138.0
Inflation Rate MoM,2021-11-10 08:30:00,False,0.061955309570030155,0.1899648977906219,0.028835021798495293,0.19999999999999996
Retail Sales MoM,2021-11-16 08:30:00,False,0.02085331776285607,0.06255995328856823,0.05203250851626774,0.5999999999999999
