i,ref_month,release,tv_actual,tv_forecast,tv_previous,prev_pit,prev_first,prev_today,first,current,revision,prior_actual
36,2018-12-01,2019-02-14 08:30:00,-1.2,0.2,0.1,0.11414811108332312,0.22933272958645112,0.4911203506736239,-1.2444357672784068,-1.9526755323200806,-0.7082397650416739,0.2
37,2019-02-01,2019-03-11 08:30:00,0.2,0.0,-1.6,0.21057650284079799,,0.2713074483810418,,0.26731098605334846,,-1.2
38,2019-03-01,2019-04-18 08:30:00,1.6,0.9,-0.2,-0.21293207466818176,,0.26731098605334846,1.5683903549327916,1.533499677682415,-0.034890677250376534,0.2
39,2019-04-01,2019-05-15 08:30:00,-0.2,0.2,1.7,1.6828220482902,1.5683903549327916,1.533499677682415,-0.18917852191885354,0.010214463680568997,0.19939298559942253,1.6
40,2019-05-01,2019-06-14 08:30:00,0.5,0.6,0.3,0.29124044336936716,-0.18917852191885354,0.010214463680568997,0.5474685873915641,1.0810204608856067,0.5335518734940425,-0.2
41,2019-06-01,2019-07-16 08:30:00,0.4,0.1,0.4,0.41451279713700107,0.5474685873915641,1.0810204608856067,0.4255508207741343,0.10104192050972571,-0.3245089002644086,0.5
42,2019-07-01,2019-08-15 08:30:00,0.7,0.3,0.3,0.3336993926246423,0.4255508207741343,0.10104192050972571,0.702881545031353,0.7600182879400563,0.0571367429087033,0.4
43,2019-08-01,2019-09-13 08:30:00,0.4,0.2,0.8,0.7903010258530241,0.702881545031353,0.7600182879400563,0.36095504278232937,0.6816070211415948,0.3206519783592654,0.7
44,2019-09-01,2019-10-16 08:30:00,-0.3,0.3,0.6,0.5663056714549031,0.36095504278232937,0.6816070211415948,-0.25223529054506644,-0.6397287347262082,-0.38749344418114173,0.4
45,2019-10-01,2019-11-15 08:30:00,0.3,0.2,-0.3,-0.3236141532317771,-0.25223529054506644,-0.6397287347262082,0.263349817292724,0.26822074999706125,0.00487093270433725,-0.3
46,2019-11-01,2019-12-13 08:30:00,0.2,0.5,0.4,0.44601077668773303,0.263349817292724,0.26822074999706125,0.19032583099141132,0.6985242280396653,0.508198397048254,0.3
47,2019-12-01,2020-01-16 08:30:00,0.3,0.3,0.3,0.26993655256259963,0.19032583099141132,0.6985242280396653,0.3343809973078926,0.32107192516748206,-0.01330907214041055,0.2
48,2020-02-01,2020-02-14 08:30:00,0.3,0.3,0.2,0.26477808038729567,,-0.144805046271701,,0.04096140891716171,,0.3
49,2020-03-01,2020-04-15 08:30:00,-8.7,-8.0,-0.4,-0.44785692654657483,,0.04096140891716171,-8.728380272908309,-9.12153377447461,-0.39315350156630124,0.3
50,2020-04-01,2020-05-15 08:30:00,-16.4,-12.0,-8.3,-8.306323289832784,-8.728380272908309,-9.12153377447461,-16.449627282429734,-14.369539037076894,2.08008824535284,-8.7
51,2020-05-01,2020-06-16 08:30:00,17.7,8.0,-14.7,-14.748041632486064,-16.449627282429734,-14.369539037076894,17.68619599782828,19.30563451928544,1.6194385214571625,-16.4
52,2020-06-01,2020-07-16 08:30:00,7.5,5.0,18.2,18.156049674634044,17.68619599782828,19.30563451928544,7.504080310349637,8.274445134173124,0.7703648238234875,17.7
53,2020-07-01,2020-08-14 08:30:00,1.2,1.9,8.4,8.434346951566729,7.504080310349637,8.274445134173124,1.2440592675426299,1.595635841386156,0.35157657384352614,7.5
54,2020-08-01,2020-09-16 08:30:00,0.6,1.0,0.9,0.8672319902181647,1.2440592675426299,1.595635841386156,0.5552250644457635,0.8419088587584334,0.2866837943126699,1.2
55,2020-09-01,2020-10-16 08:30:00,1.9,0.7,0.6,0.5702311712689978,0.5552250644457635,0.8419088587584334,1.9067533243410262,1.991012463847297,0.08425913950627084,0.6
56,2020-10-01,2020-11-17 08:30:00,0.3,0.5,1.6,1.5697344885205133,1.9067533243410262,1.991012463847297,0.25274761112741295,-0.40421058854391845,-0.6569581996713314,1.9
57,2020-11-01,2020-12-16 08:30:00,-1.1,-0.3,-0.1,-0.05119697811193369,0.25274761112741295,-0.40421058854391845,-1.0823842862417776,-0.9595373149278275,0.12284697131395017,0.3
58,2020-12-01,2021-01-15 08:30:00,-0.7,0.0,-1.4,-1.3676377643323967,-1.0823842862417776,-0.9595373149278275,-0.684120365525176,0.862829413736721,1.546949779261897,-1.1
59,2021-01-01,2021-02-17 08:30:00,5.3,1.1,-1.0,-1.0230207171782357,-0.684120365525176,0.862829413736721,5.289343487686926,3.840326210477052,-1.4490172772098742,-0.7
60,2021-02-01,2021-03-16 08:30:00,-3.0,-0.5,7.6,7.57609531558241,5.289343487686926,3.840326210477052,-3.011104722140201,-2.564061298571252,0.4470434235689491,5.3
61,2021-03-01,2021-04-15 08:30:00,9.8,5.9,-2.7,-2.7295221136325987,-3.011104722140201,-2.564061298571252,9.822380453157798,10.770961531755896,0.9485810785980977,-3.0
62,2021-04-01,2021-05-14 08:30:00,0.0,1.0,10.7,10.682179402467984,9.822380453157798,10.770961531755896,0.021943022360915165,0.8913468117783596,0.8694037894174445,9.8
63,2021-05-01,2021-06-15 08:30:00,-1.3,-0.8,0.9,0.8921249392170649,0.021943022360915165,0.8913468117783596,-1.346317192585078,-0.6041437793224858,0.7421734132625923,0.0
64,2021-06-01,2021-07-16 08:30:00,0.6,-0.4,-1.7,-1.7197586962088285,-1.346317192585078,-0.6041437793224858,0.5505406691286074,1.1016352708324462,0.5510946017038387,-1.3
65,2021-07-01,2021-08-17 08:30:00,-1.1,-0.3,0.7,0.7437282199061812,0.5505406691286074,1.1016352708324462,-1.122403082286616,-1.6558542364572215,-0.5334511541706055,0.6
66,2021-08-01,2021-09-16 08:30:00,0.7,-0.8,-1.8,-1.7735707261694378,-1.122403082286616,-1.6558542364572215,0.7102242667825776,0.617463448191069,-0.09276081859150853,-1.1
67,2021-09-01,2021-10-15 08:30:00,0.7,-0.2,0.9,0.9101991060544545,0.7102242667825776,0.617463448191069,0.735443343802844,0.6833649033165745,-0.05207844048626953,0.7
68,2021-10-01,2021-11-16 08:30:00,1.7,1.4,0.8,0.8279467787519978,0.735443343802844,0.6833649033165745,1.6975918513041588,1.4601317759906474,-0.23746007531351143,0.7
69,2021-11-01,2021-12-15 08:30:00,0.3,0.8,1.8,1.7848513315013248,1.6975918513041588,1.4601317759906474,0.25682006925837886,1.0186348256390199,0.761814756380641,1.7
