anchor,tier,clock,n_moments,n_filled,gross_mean,net_stressed_mean,t,p,alpha,half1_gross,half2_gross,mde_usd,jump_ratio,jump_ok,ctrl_mean_net,ctrl_p,floor_ok,noise_p,noise_ok,verdict,t2_fdr_pass
5-Year Note Auction,2,13:00,100,100,-32.741500000000315,-85.2415000000003,-4.724266467991581,2.3094743434251596e-06,0.05,-30.85825000000068,-34.62474999999995,50.54992728508326,1.5,True,-38.66909090909114,0.000387008040262391,False,0.983,False,SIGNIFICANT-NEGATIVE (p=2.3e-06),True
52-Week Bill Auction,2,11:30,102,102,-6.62352941176479,-59.12352941176479,-2.293160047827082,0.021838792341517584,0.05,-43.72132352941261,30.47426470588303,72.23203031249798,2.0,True,-48.99053617571082,3.0338947185112996e-05,False,0.665,False,SIGNIFICANT-NEGATIVE (p=0.022),True
6-Month Bill Auction,2,11:30,552,552,-16.526494565217465,-69.02649456521746,-7.131869131657789,9.901499663598418e-13,0.05,-5.779755434782535,-27.27323369565239,27.115417194674677,1.5,True,-48.99053617571082,3.0338947185112996e-05,False,0.978,False,SIGNIFICANT-NEGATIVE (p=9.9e-13),True
7-Year Note Auction,2,13:00,119,119,2.8817226890743135,-49.61827731092569,-2.355164241506221,0.018514520389832104,0.05,-18.80105932203563,24.20312499999909,59.02341325037669,1.5,True,-38.66909090909114,0.000387008040262391,False,0.714,False,SIGNIFICANT-NEGATIVE (p=0.019),True
Baker Hughes Oil Rig Count,2,13:00,505,505,0.9966831683165072,-51.50331683168349,-4.914047166426421,8.921527187554362e-07,0.05,-15.389136904762216,17.31773715414986,29.36295201703561,1.5,True,-38.66909090909114,0.000387008040262391,False,0.911,False,SIGNIFICANT-NEGATIVE (p=8.9e-07),True
Building Permits,2,08:30,120,119,-27.94768907562986,-80.44768907562987,-5.0191947715335825,5.188851956845967e-07,0.05,-30.25995762711927,-25.67395833333194,44.90382757866263,2.0,True,-65.16483160621756,3.1040307604564956e-17,False,0.855,False,SIGNIFICANT-NEGATIVE (p=5.2e-07),True
CB Leading Index MoM,2,10:00,73,73,1.8590753424657485,-50.64092465753425,-1.5150061140416464,0.12977085578229602,0.05,6.326041666666368,-2.487162162161882,93.64639830449099,1.5,True,-37.134689153439936,0.009791408354765262,False,0.66,False,POWERED-NULL,False
Challenger Job Cuts,2,07:30,128,128,11.555664062499815,-40.944335937500185,-3.1749675174685263,0.001498532751024127,0.05,-9.414453124999866,32.5257812499995,36.129203126291834,2.0,True,-48.3869332493701,4.799679600497392e-10,True,0.293,False,SIGNIFICANT-NEGATIVE (p=0.0015),True
Chicago Fed National Activity Index,2,08:30,88,88,-9.392613636363608,-61.892613636363606,-3.579599442819394,0.00034412127967654085,0.05,-23.465056818181747,4.679829545454533,48.44045661792267,2.0,True,-65.16483160621756,3.1040307604564956e-17,True,0.408,False,SIGNIFICANT-NEGATIVE (p=0.00034),True
Chicago PMI,2,09:45,127,127,-57.868799212598354,-110.36879921259833,-4.879492248486066,1.0635930334660633e-06,0.05,-54.70079365079221,-60.987304687501265,63.36880575880073,1.3333333333333333,True,-34.90945595854878,0.014919554095186454,False,1.0,False,SIGNIFICANT-NEGATIVE (p=1.1e-06),True
Consumer Credit Change,2,15:00,126,125,9.662400000001071,-42.83759999999893,-1.7606694976481125,0.0782943582865055,0.05,16.98830645161266,2.4527777777801396,68.1633816745175,1.0,False,-49.47042440318335,5.2698523104864475e-05,True,0.371,False,VOID-TIMESTAMP,False
Consumer Inflation Expectations,2,11:00,109,109,-24.78543577981744,-77.28543577981745,-3.304475525969758,0.0009515428351194208,0.05,-4.824305555555636,-44.383636363638125,65.5237821588432,1.3333333333333333,True,-43.0785900783289,0.000921712399679525,False,0.925,False,SIGNIFICANT-NEGATIVE (p=0.00095),True
Dallas Fed Manufacturing Index,2,10:30,125,125,2.3745999999995546,-50.12540000000045,-1.817360274780605,0.06916196626265067,0.05,-24.50141129032259,28.824007936507062,77.27173399657278,1.0,False,-39.99963527851406,0.0030398707467918567,False,0.647,False,VOID-TIMESTAMP,False
Dallas Fed Services Revenues Index,2,10:30,57,57,-55.70942982456097,-108.20942982456097,-2.523984454830515,0.01160330594971204,0.05,-65.30580357142769,-46.44396551724138,120.11085827257546,1.6666666666666667,True,-39.99963527851406,0.0030398707467918567,False,0.986,False,SIGNIFICANT-NEGATIVE (p=0.012),True
EIA Natural Gas Stocks Change,2,10:30,552,552,9.259646739130186,-43.24035326086981,-3.783551054973358,0.00015460659231178973,0.05,25.04519927536193,-6.525905797101557,32.01794631372313,1.3333333333333333,True,-39.99963527851406,0.0030398707467918567,False,0.614,False,SIGNIFICANT-NEGATIVE (p=0.00015),True
Existing Home Sales MoM,2,10:00,113,113,27.09314159292061,-25.40685840707939,-0.8791008660821099,0.3793465882073725,0.05,-0.5071428571438575,54.20921052631728,80.9685005633463,1.25,True,-37.134689153439936,0.009791408354765262,True,0.336,False,POWERED-NULL,False
Factory Orders ex Transportation,2,10:00,62,62,-12.593145161289495,-65.0931451612895,-2.2694270669006578,0.023242367752922967,0.05,-7.391935483869636,-17.794354838709356,80.35684247882529,1.0,False,-37.134689153439936,0.009791408354765262,False,0.781,False,VOID-TIMESTAMP,True
Fed Balance Sheet,2,16:30,109,106,-15.967216981132296,-68.4672169811323,-3.6357783839119504,0.00027714251945781164,0.05,-4.880896226415025,-27.053537735849563,52.758095465524704,1.0,False,-50.21296583850901,7.065746856014453e-05,False,0.898,False,VOID-TIMESTAMP,True
Fed Barkin Speech,2,08:00,98,92,-8.98777173912915,-61.48777173912915,-2.583873794192503,0.009769753693426662,0.05,26.372554347827922,-44.348097826086224,66.66859381110204,1.5,True,-48.239524421594325,4.966691040877106e-09,False,0.792,False,SIGNIFICANT-NEGATIVE (p=0.0098),True
Fed Barr Speech,2,12:00,67,65,-5.353653846154534,-57.853653846154536,-1.5367590205461592,0.12435233200705695,0.05,43.461718750000955,-52.689772727275006,105.46997890018129,2.0,True,-48.03137690355383,5.846649365939534e-06,False,0.614,False,POWERED-NULL,False
Fed Beige Book,2,14:00,71,70,41.65660714285683,-10.843392857143174,-0.3707066335871554,0.7108560489553637,0.05,18.639285714285247,64.6739285714284,81.94805918836956,1.3333333333333333,True,-65.80187165775413,4.878052542484864e-10,True,0.013,False,VOID-TIMESTAMP (fuzz flip),False
