anchor,tier,clock,n_moments,n_filled,gross_mean,net_stressed_mean,t,p,alpha,half1_gross,half2_gross,mde_usd,jump_ratio,jump_ok,ctrl_mean_net,ctrl_p,floor_ok,noise_p,noise_ok,verdict,t2_fdr_pass
NY Empire State Manufacturing Index,2,08:30,65,63,19.268650793653435,-83.23134920634656,-1.819789667477122,0.06879104183682047,0.05,-40.1177419354836,76.79921875000494,128.1355322807434,1.4999999999998224,True,-99.44883116883057,1.0113886370470851e-11,True,0.294,False,POWERED-NULL,True
Net Long-term TIC Flows,2,16:00,125,122,-40.28770491803336,-142.78770491803337,-11.502722804232318,1.2781856344767447e-30,0.05,-21.281147540983426,-59.2942622950833,34.777150622479994,1.0000000000003553,False,-111.34820954907214,2.3115227734308455e-35,False,0.977,False,VOID-TIMESTAMP,True
New Home Sales MoM,2,10:00,89,89,-20.68623595505504,-123.18623595505504,-5.085646259618497,3.663763610329926e-07,0.05,-1.5272727272740505,-39.4194444444409,67.86094041919212,1.0,False,-98.0238095238095,3.490234439350519e-10,False,0.768,False,VOID-TIMESTAMP,True
Pending Home Sales MoM,2,10:00,119,119,0.5993697478994638,-101.90063025210053,-4.565521722709812,4.9825359541081415e-06,0.05,35.21906779661064,-33.44333333333319,62.530268574872544,1.0,False,-98.0238095238095,3.490234439350519e-10,False,0.533,False,VOID-TIMESTAMP,True
Redbook YoY,2,08:55,553,552,-14.492798913043053,-116.99279891304306,-10.409817031722383,2.23651088547601e-25,0.05,-0.7879528985503363,-28.197644927535766,31.486172633724742,1.0,False,-97.70618556701,3.740971309760625e-10,False,0.952,False,VOID-TIMESTAMP,True
Richmond Fed Manufacturing Index,2,10:00,125,125,1.8227999999997013,-100.67720000000027,-3.884109790939125,0.00010270549311648634,0.05,-7.086693548388127,10.590873015873443,72.6178637001628,1.4999999999998224,True,-98.0238095238095,3.490234439350519e-10,False,0.51,False,SIGNIFICANT-NEGATIVE (p=0.0001),True
S&P Global Composite PMI Final,2,09:45,73,72,-92.24826388889157,-194.74826388889156,-12.880444018893519,5.800091232136937e-38,0.05,-59.74375000000211,-124.75277777778102,42.359087676394154,1.4999999999998224,True,-93.35057989690635,1.191544709725091e-10,False,1.0,False,SIGNIFICANT-NEGATIVE (p=5.8e-38),True
S&P Global Composite PMI Flash,2,09:45,126,126,33.89186507936515,-68.60813492063485,-2.414178421953587,0.01577073747880101,0.05,21.598412698413004,46.1853174603173,79.61778422771182,1.999999999999467,True,-93.35057989690635,1.191544709725091e-10,True,0.162,False,SIGNIFICANT-NEGATIVE (p=0.016),True
S&P Global Manufacturing PMI Final,2,09:45,128,128,42.63222656250065,-59.86777343749935,-1.894463025947241,0.05816357760063764,0.05,10.616015624999584,74.64843750000172,88.53414759251103,1.4999999999998224,True,-93.35057989690635,1.191544709725091e-10,True,0.099,False,POWERED-NULL,True
S&P Global Services PMI Final,2,09:45,54,53,21.768867924527168,-80.73113207547281,-1.5678275950218883,0.11692137301312716,0.05,-20.355769230768935,62.33333333333082,144.26021524404726,1.499999999999467,True,-93.35057989690635,1.191544709725091e-10,True,0.346,False,POWERED-NULL,False
S&P/Case-Shiller Home Price YoY,2,09:00,125,125,14.211800000000418,-88.28819999999959,-3.554662960375673,0.00037846389653525955,0.05,19.64193548387043,8.86785714285851,69.58378863926086,1.0,False,-116.13802083333377,1.173739181104484e-20,True,0.108,False,VOID-TIMESTAMP,True
Total Vehicle Sales,2,19:00,117,106,-12.935377358492374,-115.43537735849236,-5.186571126695132,2.1420123793487446e-07,0.05,-19.327830188680704,-6.5429245283040505,62.353728318698906,1.5000000000003553,True,-114.26554621848729,3.670018945751507e-15,False,0.507,False,SIGNIFICANT-NEGATIVE (p=2.1e-07),True
Used Car Prices YoY,2,09:00,42,41,-102.26951219512489,-204.76951219512486,-4.885390511448411,1.0322405559842983e-06,0.05,14.757499999998206,-213.7238095238136,117.4275090787473,1.9999999999996447,True,-116.13802083333377,1.173739181104484e-20,False,0.995,False,SIGNIFICANT-NEGATIVE (p=1e-06),True
WASDE Report,2,12:00,110,110,-6.046363636363725,-108.54636363636372,-6.92819253719846,4.262513698254785e-12,0.05,-7.198181818181909,-4.894545454545545,43.89339445900806,1.0000000000003553,False,-110.70826923076895,1.1180225661704135e-22,True,0.416,False,VOID-TIMESTAMP,True
Wholesale Inventories MoM,2,10:00,97,97,-1.485567010308889,-103.98556701030891,-3.759209376818068,0.0001704511490852437,0.05,13.831770833335016,-16.490306122449862,77.49619622306697,1.0,False,-98.0238095238095,3.490234439350519e-10,False,0.579,False,VOID-TIMESTAMP,True
Wholesale Inventories MoM Adv,2,08:30,49,49,-36.28928571428421,-138.7892857142842,-4.326078997229155,1.5178700605424852e-05,0.05,-39.88958333333236,-32.832999999997995,89.88046950610257,1.4999999999998224,True,-99.44883116883057,1.0113886370470851e-11,False,0.84,False,SIGNIFICANT-NEGATIVE (p=1.5e-05),True
