release,instrument,n,mde_r,bonferroni_alpha
Inflation Rate YoY,NG,113,0.42761760619278244,7.776049766718508e-05
Core Inflation Rate MoM,NG,112,0.4293250835734287,7.776049766718508e-05
Core PCE Price Index YoY,NG,112,0.4293250835734287,7.776049766718508e-05
Export Prices MoM,NG,112,0.4293250835734287,7.776049766718508e-05
Housing Starts,NG,112,0.4293250835734287,7.776049766718508e-05
Import Prices MoM,NG,112,0.4293250835734287,7.776049766718508e-05
Inflation Rate MoM,NG,112,0.4293250835734287,7.776049766718508e-05
JOLTs Job Openings,NG,112,0.4293250835734287,7.776049766718508e-05
Monthly Budget Statement,NG,112,0.4293250835734287,7.776049766718508e-05
New Home Sales,NG,111,0.4310530937942487,7.776049766718508e-05
Personal Income MoM,NG,111,0.4310530937942487,7.776049766718508e-05
Average Hourly Earnings YoY,NG,106,0.44001600352942555,7.776049766718508e-05
Michigan Current Conditions Prel,NG,96,0.4597485116306709,7.776049766718508e-05
Michigan Consumer Expectations Prel,NG,94,0.46402146418032153,7.776049766718508e-05
Manufacturing Production MoM,NG,89,0.47524438558718884,7.776049766718508e-05
NFIB Business Optimism Index,NG,79,0.500350983813214,7.776049766718508e-05
Fed Interest Rate Decision,NG,76,0.508687309960834,7.776049766718508e-05
ISM Non-Manufacturing PMI,NG,75,0.5115591836472961,7.776049766718508e-05
Richmond Fed Manufacturing Index,NG,75,0.5115591836472961,7.776049766718508e-05
Michigan Current Conditions Final,NG,72,0.5204726554299641,7.776049766718508e-05
House Price Index MoM,NG,71,0.5235478653387513,7.776049766718508e-05
Building Permits,NG,70,0.5266776297218603,7.776049766718508e-05
Michigan Consumer Expectations Final,NG,69,0.5298635577926925,7.776049766718508e-05
ISM Manufacturing Employment,NG,63,0.5502574441645646,7.776049766718508e-05
CPI,NG,62,0.5538875788154687,7.776049766718508e-05
ISM Non-Manufacturing Business Activity,NG,62,0.5538875788154687,7.776049766718508e-05
Net Long-term TIC Flows,NG,62,0.5538875788154687,7.776049766718508e-05
Wholesale Inventories MoM Adv,NG,62,0.5538875788154687,7.776049766718508e-05
Existing Home Sales MoM,NG,60,0.561365383042495,7.776049766718508e-05
Goods Trade Balance Adv,NG,58,0.5691494111348581,7.776049766718508e-05
New Home Sales MoM,NG,58,0.5691494111348581,7.776049766718508e-05
Total Vehicle Sales,NG,55,0.5814460964654626,7.776049766718508e-05
PCE Price Index MoM,NG,53,0.5900919933378066,7.776049766718508e-05
Non Defense Goods Orders Ex Air,NG,52,0.5945590651599607,7.776049766718508e-05
PCE Price Index YoY,NG,50,0.603799213960116,7.776049766718508e-05
EIA Crude Oil Stocks Change,NQ,549,0.20228489228560564,7.776049766718508e-05
Initial Jobless Claims,NQ,548,0.20246528041501022,7.776049766718508e-05
EIA Gasoline Stocks Change,NQ,541,0.2037416537227553,7.776049766718508e-05
EIA Natural Gas Stocks Change,NQ,540,0.20392597012249197,7.776049766718508e-05
Continuing Jobless Claims,NQ,531,0.20560764108408877,7.776049766718508e-05
EIA Distillate Stocks Change,NQ,334,0.25750768600986784,7.776049766718508e-05
API Crude Oil Stock Change,NQ,288,0.2765127887644907,7.776049766718508e-05
Balance of Trade,NQ,128,0.4042200102428221,7.776049766718508e-05
Factory Orders MoM,NQ,128,0.4042200102428221,7.776049766718508e-05
ISM Manufacturing PMI,NQ,128,0.4042200102428221,7.776049766718508e-05
Business Inventories MoM,NQ,127,0.40566222334560903,7.776049766718508e-05
CB Consumer Confidence,NQ,127,0.40566222334560903,7.776049766718508e-05
Chicago PMI,NQ,127,0.40566222334560903,7.776049766718508e-05
Consumer Credit Change,NQ,127,0.40566222334560903,7.776049766718508e-05
Durable Goods Orders MoM,NQ,127,0.40566222334560903,7.776049766718508e-05
Existing Home Sales,NQ,127,0.40566222334560903,7.776049766718508e-05
Michigan Consumer Sentiment Final,NQ,127,0.40566222334560903,7.776049766718508e-05
Michigan Consumer Sentiment Prel,NQ,127,0.40566222334560903,7.776049766718508e-05
NAHB Housing Market Index,NQ,127,0.40566222334560903,7.776049766718508e-05
NY Empire State Manufacturing Index,NQ,127,0.40566222334560903,7.776049766718508e-05
Pending Home Sales MoM,NQ,127,0.40566222334560903,7.776049766718508e-05
Philadelphia Fed Manufacturing Index,NQ,127,0.40566222334560903,7.776049766718508e-05
Retail Sales Ex Autos MoM,NQ,127,0.40566222334560903,7.776049766718508e-05
Retail Sales MoM,NQ,127,0.40566222334560903,7.776049766718508e-05
S&P/Case-Shiller Home Price YoY,NQ,127,0.40566222334560903,7.776049766718508e-05
Wholesale Inventories MoM,NQ,127,0.40566222334560903,7.776049766718508e-05
Average Hourly Earnings MoM,NQ,126,0.40711993474820624,7.776049766718508e-05
Average Weekly Hours,NQ,126,0.40711993474820624,7.776049766718508e-05
Capacity Utilization,NQ,126,0.40711993474820624,7.776049766718508e-05
Core PPI MoM,NQ,126,0.40711993474820624,7.776049766718508e-05
Durable Goods Orders Ex Transp MoM,NQ,126,0.40711993474820624,7.776049766718508e-05
Industrial Production MoM,NQ,126,0.40711993474820624,7.776049766718508e-05
Manufacturing Payrolls,NQ,126,0.40711993474820624,7.776049766718508e-05
Non Farm Payrolls,NQ,126,0.40711993474820624,7.776049766718508e-05
Nonfarm Payrolls Private,NQ,126,0.40711993474820624,7.776049766718508e-05
PPI MoM,NQ,126,0.40711993474820624,7.776049766718508e-05
Personal Spending MoM,NQ,126,0.40711993474820624,7.776049766718508e-05
Unemployment Rate,NQ,126,0.40711993474820624,7.776049766718508e-05
ADP Employment Change,NQ,125,0.4085934230131286,7.776049766718508e-05
CB Leading Index MoM,NQ,125,0.4085934230131286,7.776049766718508e-05
Construction Spending MoM,NQ,125,0.4085934230131286,7.776049766718508e-05
Core Inflation Rate YoY,NQ,125,0.4085934230131286,7.776049766718508e-05
Core PCE Price Index MoM,NQ,125,0.4085934230131286,7.776049766718508e-05
Core PPI YoY,NQ,125,0.4085934230131286,7.776049766718508e-05
ISM Manufacturing Prices,NQ,125,0.4085934230131286,7.776049766718508e-05
Inflation Rate YoY,NQ,125,0.4085934230131286,7.776049766718508e-05
PPI YoY,NQ,125,0.4085934230131286,7.776049766718508e-05
Core Inflation Rate MoM,NQ,124,0.4100829737335035,7.776049766718508e-05
Export Prices MoM,NQ,124,0.4100829737335035,7.776049766718508e-05
Housing Starts,NQ,124,0.4100829737335035,7.776049766718508e-05
Import Prices MoM,NQ,124,0.4100829737335035,7.776049766718508e-05
Inflation Rate MoM,NQ,124,0.4100829737335035,7.776049766718508e-05
JOLTs Job Openings,NQ,124,0.4100829737335035,7.776049766718508e-05
Monthly Budget Statement,NQ,124,0.4100829737335035,7.776049766718508e-05
New Home Sales,NQ,123,0.4115888797617477,7.776049766718508e-05
Core PCE Price Index YoY,NQ,116,0.42261440904575215,7.776049766718508e-05
Personal Income MoM,NQ,111,0.4310530937942487,7.776049766718508e-05
Average Hourly Earnings YoY,NQ,106,0.44001600352942555,7.776049766718508e-05
Michigan Current Conditions Prel,NQ,96,0.4597485116306709,7.776049766718508e-05
Michigan Consumer Expectations Prel,NQ,94,0.46402146418032153,7.776049766718508e-05
Manufacturing Production MoM,NQ,89,0.47524438558718884,7.776049766718508e-05
NFIB Business Optimism Index,NQ,89,0.47524438558718884,7.776049766718508e-05
ISM Non-Manufacturing PMI,NQ,87,0.4799656186678168,7.776049766718508e-05
Richmond Fed Manufacturing Index,NQ,87,0.4799656186678168,7.776049766718508e-05
Fed Interest Rate Decision,NQ,84,0.48731695017867094,7.776049766718508e-05
Building Permits,NQ,82,0.4924082561643617,7.776049766718508e-05
House Price Index MoM,NQ,81,0.49501400145984564,7.776049766718508e-05
ISM Manufacturing Employment,NQ,75,0.5115591836472961,7.776049766718508e-05
ISM Non-Manufacturing Business Activity,NQ,73,0.5174504535373323,7.776049766718508e-05
Existing Home Sales MoM,NQ,72,0.5204726554299641,7.776049766718508e-05
Michigan Current Conditions Final,NQ,72,0.5204726554299641,7.776049766718508e-05
New Home Sales MoM,NQ,70,0.5266776297218603,7.776049766718508e-05
Michigan Consumer Expectations Final,NQ,69,0.5298635577926925,7.776049766718508e-05
Net Long-term TIC Flows,NQ,67,0.536410675208352,7.776049766718508e-05
Total Vehicle Sales,NQ,67,0.536410675208352,7.776049766718508e-05
Wholesale Inventories MoM Adv,NQ,65,0.5432034742215733,7.776049766718508e-05
CPI,NQ,62,0.5538875788154687,7.776049766718508e-05
Goods Trade Balance Adv,NQ,60,0.561365383042495,7.776049766718508e-05
PCE Price Index MoM,NQ,54,0.5857221316794382,7.776049766718508e-05
IBD/TIPP Economic Optimism,NQ,52,0.5945590651599607,7.776049766718508e-05
Non Defense Goods Orders Ex Air,NQ,52,0.5945590651599607,7.776049766718508e-05
PCE Price Index YoY,NQ,50,0.603799213960116,7.776049766718508e-05
EIA Crude Oil Stocks Change,RTY,395,0.2374537683838776,7.776049766718508e-05
EIA Natural Gas Stocks Change,RTY,393,0.2380386379174345,7.776049766718508e-05
Initial Jobless Claims,RTY,392,0.23833269750448205,7.776049766718508e-05
EIA Gasoline Stocks Change,RTY,389,0.23922145632436786,7.776049766718508e-05
Continuing Jobless Claims,RTY,377,0.24287855360836444,7.776049766718508e-05
EIA Distillate Stocks Change,RTY,334,0.25750768600986784,7.776049766718508e-05
API Crude Oil Stock Change,RTY,277,0.2817158700237107,7.776049766718508e-05
Balance of Trade,RTY,92,0.4684150728572181,7.776049766718508e-05
Factory Orders MoM,RTY,92,0.4684150728572181,7.776049766718508e-05
ISM Manufacturing PMI,RTY,92,0.4684150728572181,7.776049766718508e-05
Business Inventories MoM,RTY,91,0.4706589034741207,7.776049766718508e-05
CB Consumer Confidence,RTY,91,0.4706589034741207,7.776049766718508e-05
Chicago PMI,RTY,91,0.4706589034741207,7.776049766718508e-05
Consumer Credit Change,RTY,91,0.4706589034741207,7.776049766718508e-05
Durable Goods Orders Ex Transp MoM,RTY,91,0.4706589034741207,7.776049766718508e-05
Durable Goods Orders MoM,RTY,91,0.4706589034741207,7.776049766718508e-05
Existing Home Sales,RTY,91,0.4706589034741207,7.776049766718508e-05
Michigan Consumer Sentiment Final,RTY,91,0.4706589034741207,7.776049766718508e-05
Michigan Consumer Sentiment Prel,RTY,91,0.4706589034741207,7.776049766718508e-05
NAHB Housing Market Index,RTY,91,0.4706589034741207,7.776049766718508e-05
NY Empire State Manufacturing Index,RTY,91,0.4706589034741207,7.776049766718508e-05
Pending Home Sales MoM,RTY,91,0.4706589034741207,7.776049766718508e-05
Philadelphia Fed Manufacturing Index,RTY,91,0.4706589034741207,7.776049766718508e-05
Retail Sales Ex Autos MoM,RTY,91,0.4706589034741207,7.776049766718508e-05
Retail Sales MoM,RTY,91,0.4706589034741207,7.776049766718508e-05
S&P/Case-Shiller Home Price YoY,RTY,91,0.4706589034741207,7.776049766718508e-05
Wholesale Inventories MoM,RTY,91,0.4706589034741207,7.776049766718508e-05
Average Hourly Earnings MoM,RTY,90,0.47293508151070324,7.776049766718508e-05
Average Weekly Hours,RTY,90,0.47293508151070324,7.776049766718508e-05
Capacity Utilization,RTY,90,0.47293508151070324,7.776049766718508e-05
Core PPI MoM,RTY,90,0.47293508151070324,7.776049766718508e-05
Core PPI YoY,RTY,90,0.47293508151070324,7.776049766718508e-05
Industrial Production MoM,RTY,90,0.47293508151070324,7.776049766718508e-05
Manufacturing Payrolls,RTY,90,0.47293508151070324,7.776049766718508e-05
Non Farm Payrolls,RTY,90,0.47293508151070324,7.776049766718508e-05
Nonfarm Payrolls Private,RTY,90,0.47293508151070324,7.776049766718508e-05
PPI MoM,RTY,90,0.47293508151070324,7.776049766718508e-05
PPI YoY,RTY,90,0.47293508151070324,7.776049766718508e-05
Personal Income MoM,RTY,90,0.47293508151070324,7.776049766718508e-05
Personal Spending MoM,RTY,90,0.47293508151070324,7.776049766718508e-05
Unemployment Rate,RTY,90,0.47293508151070324,7.776049766718508e-05
ADP Employment Change,RTY,89,0.47524438558718884,7.776049766718508e-05
Average Hourly Earnings YoY,RTY,89,0.47524438558718884,7.776049766718508e-05
CB Leading Index MoM,RTY,89,0.47524438558718884,7.776049766718508e-05
Construction Spending MoM,RTY,89,0.47524438558718884,7.776049766718508e-05
Core Inflation Rate YoY,RTY,89,0.47524438558718884,7.776049766718508e-05
Core PCE Price Index MoM,RTY,89,0.47524438558718884,7.776049766718508e-05
Core PCE Price Index YoY,RTY,89,0.47524438558718884,7.776049766718508e-05
ISM Manufacturing Prices,RTY,89,0.47524438558718884,7.776049766718508e-05
Inflation Rate YoY,RTY,89,0.47524438558718884,7.776049766718508e-05
JOLTs Job Openings,RTY,89,0.47524438558718884,7.776049766718508e-05
Core Inflation Rate MoM,RTY,88,0.4775876205624139,7.776049766718508e-05
Export Prices MoM,RTY,88,0.4775876205624139,7.776049766718508e-05
Housing Starts,RTY,88,0.4775876205624139,7.776049766718508e-05
Import Prices MoM,RTY,88,0.4775876205624139,7.776049766718508e-05
Inflation Rate MoM,RTY,88,0.4775876205624139,7.776049766718508e-05
Manufacturing Production MoM,RTY,88,0.4775876205624139,7.776049766718508e-05
Monthly Budget Statement,RTY,88,0.4775876205624139,7.776049766718508e-05
New Home Sales,RTY,88,0.4775876205624139,7.776049766718508e-05
Michigan Current Conditions Prel,RTY,79,0.500350983813214,7.776049766718508e-05
Michigan Consumer Expectations Prel,RTY,78,0.5030844616545049,7.776049766718508e-05
CPI,RTY,62,0.5538875788154687,7.776049766718508e-05
Fed Interest Rate Decision,RTY,60,0.561365383042495,7.776049766718508e-05
NFIB Business Optimism Index,RTY,57,0.5731627453072042,7.776049766718508e-05
Michigan Current Conditions Final,RTY,54,0.5857221316794382,7.776049766718508e-05
Michigan Consumer Expectations Final,RTY,52,0.5945590651599607,7.776049766718508e-05
Non Defense Goods Orders Ex Air,RTY,52,0.5945590651599607,7.776049766718508e-05
ISM Non-Manufacturing PMI,RTY,51,0.5991268968477018,7.776049766718508e-05
Richmond Fed Manufacturing Index,RTY,51,0.5991268968477018,7.776049766718508e-05
House Price Index MoM,RTY,49,0.6085799284185589,7.776049766718508e-05
EIA Crude Oil Stocks Change,SI,549,0.20228489228560564,7.776049766718508e-05
Initial Jobless Claims,SI,548,0.20246528041501022,7.776049766718508e-05
EIA Gasoline Stocks Change,SI,541,0.2037416537227553,7.776049766718508e-05
EIA Natural Gas Stocks Change,SI,540,0.20392597012249197,7.776049766718508e-05
Continuing Jobless Claims,SI,531,0.20560764108408877,7.776049766718508e-05
EIA Distillate Stocks Change,SI,334,0.25750768600986784,7.776049766718508e-05
API Crude Oil Stock Change,SI,288,0.2765127887644907,7.776049766718508e-05
Balance of Trade,SI,128,0.4042200102428221,7.776049766718508e-05
Factory Orders MoM,SI,128,0.4042200102428221,7.776049766718508e-05
ISM Manufacturing PMI,SI,128,0.4042200102428221,7.776049766718508e-05
Business Inventories MoM,SI,127,0.40566222334560903,7.776049766718508e-05
CB Consumer Confidence,SI,127,0.40566222334560903,7.776049766718508e-05
Chicago PMI,SI,127,0.40566222334560903,7.776049766718508e-05
Consumer Credit Change,SI,127,0.40566222334560903,7.776049766718508e-05
Durable Goods Orders MoM,SI,127,0.40566222334560903,7.776049766718508e-05
Existing Home Sales,SI,127,0.40566222334560903,7.776049766718508e-05
Michigan Consumer Sentiment Final,SI,127,0.40566222334560903,7.776049766718508e-05
Michigan Consumer Sentiment Prel,SI,127,0.40566222334560903,7.776049766718508e-05
NAHB Housing Market Index,SI,127,0.40566222334560903,7.776049766718508e-05
NY Empire State Manufacturing Index,SI,127,0.40566222334560903,7.776049766718508e-05
Pending Home Sales MoM,SI,127,0.40566222334560903,7.776049766718508e-05
Philadelphia Fed Manufacturing Index,SI,127,0.40566222334560903,7.776049766718508e-05
Retail Sales Ex Autos MoM,SI,127,0.40566222334560903,7.776049766718508e-05
Retail Sales MoM,SI,127,0.40566222334560903,7.776049766718508e-05
S&P/Case-Shiller Home Price YoY,SI,127,0.40566222334560903,7.776049766718508e-05
Wholesale Inventories MoM,SI,127,0.40566222334560903,7.776049766718508e-05
Average Hourly Earnings MoM,SI,126,0.40711993474820624,7.776049766718508e-05
Average Weekly Hours,SI,126,0.40711993474820624,7.776049766718508e-05
Capacity Utilization,SI,126,0.40711993474820624,7.776049766718508e-05
Core PPI MoM,SI,126,0.40711993474820624,7.776049766718508e-05
Durable Goods Orders Ex Transp MoM,SI,126,0.40711993474820624,7.776049766718508e-05
Industrial Production MoM,SI,126,0.40711993474820624,7.776049766718508e-05
Manufacturing Payrolls,SI,126,0.40711993474820624,7.776049766718508e-05
Non Farm Payrolls,SI,126,0.40711993474820624,7.776049766718508e-05
Nonfarm Payrolls Private,SI,126,0.40711993474820624,7.776049766718508e-05
PPI MoM,SI,126,0.40711993474820624,7.776049766718508e-05
Personal Spending MoM,SI,126,0.40711993474820624,7.776049766718508e-05
Unemployment Rate,SI,126,0.40711993474820624,7.776049766718508e-05
ADP Employment Change,SI,125,0.4085934230131286,7.776049766718508e-05
CB Leading Index MoM,SI,125,0.4085934230131286,7.776049766718508e-05
Construction Spending MoM,SI,125,0.4085934230131286,7.776049766718508e-05
Core Inflation Rate YoY,SI,125,0.4085934230131286,7.776049766718508e-05
Core PCE Price Index MoM,SI,125,0.4085934230131286,7.776049766718508e-05
Core PPI YoY,SI,125,0.4085934230131286,7.776049766718508e-05
ISM Manufacturing Prices,SI,125,0.4085934230131286,7.776049766718508e-05
Inflation Rate YoY,SI,125,0.4085934230131286,7.776049766718508e-05
PPI YoY,SI,125,0.4085934230131286,7.776049766718508e-05
Core Inflation Rate MoM,SI,124,0.4100829737335035,7.776049766718508e-05
Export Prices MoM,SI,124,0.4100829737335035,7.776049766718508e-05
Housing Starts,SI,124,0.4100829737335035,7.776049766718508e-05
Import Prices MoM,SI,124,0.4100829737335035,7.776049766718508e-05
Inflation Rate MoM,SI,124,0.4100829737335035,7.776049766718508e-05
JOLTs Job Openings,SI,124,0.4100829737335035,7.776049766718508e-05
Monthly Budget Statement,SI,124,0.4100829737335035,7.776049766718508e-05
New Home Sales,SI,123,0.4115888797617477,7.776049766718508e-05
Core PCE Price Index YoY,SI,116,0.42261440904575215,7.776049766718508e-05
Personal Income MoM,SI,111,0.4310530937942487,7.776049766718508e-05
Average Hourly Earnings YoY,SI,106,0.44001600352942555,7.776049766718508e-05
Michigan Current Conditions Prel,SI,96,0.4597485116306709,7.776049766718508e-05
Michigan Consumer Expectations Prel,SI,94,0.46402146418032153,7.776049766718508e-05
Manufacturing Production MoM,SI,89,0.47524438558718884,7.776049766718508e-05
NFIB Business Optimism Index,SI,89,0.47524438558718884,7.776049766718508e-05
ISM Non-Manufacturing PMI,SI,87,0.4799656186678168,7.776049766718508e-05
Richmond Fed Manufacturing Index,SI,87,0.4799656186678168,7.776049766718508e-05
Fed Interest Rate Decision,SI,84,0.48731695017867094,7.776049766718508e-05
Building Permits,SI,82,0.4924082561643617,7.776049766718508e-05
House Price Index MoM,SI,81,0.49501400145984564,7.776049766718508e-05
ISM Manufacturing Employment,SI,75,0.5115591836472961,7.776049766718508e-05
ISM Non-Manufacturing Business Activity,SI,73,0.5174504535373323,7.776049766718508e-05
Existing Home Sales MoM,SI,72,0.5204726554299641,7.776049766718508e-05
Michigan Current Conditions Final,SI,72,0.5204726554299641,7.776049766718508e-05
New Home Sales MoM,SI,70,0.5266776297218603,7.776049766718508e-05
Michigan Consumer Expectations Final,SI,69,0.5298635577926925,7.776049766718508e-05
Net Long-term TIC Flows,SI,67,0.536410675208352,7.776049766718508e-05
Total Vehicle Sales,SI,67,0.536410675208352,7.776049766718508e-05
Wholesale Inventories MoM Adv,SI,65,0.5432034742215733,7.776049766718508e-05
CPI,SI,62,0.5538875788154687,7.776049766718508e-05
Goods Trade Balance Adv,SI,60,0.561365383042495,7.776049766718508e-05
PCE Price Index MoM,SI,54,0.5857221316794382,7.776049766718508e-05
IBD/TIPP Economic Optimism,SI,52,0.5945590651599607,7.776049766718508e-05
Non Defense Goods Orders Ex Air,SI,52,0.5945590651599607,7.776049766718508e-05
PCE Price Index YoY,SI,50,0.603799213960116,7.776049766718508e-05
