release,instrument,n,mde_r,bonferroni_alpha
Core PCE Price Index MoM,CL,125,0.4085934230131286,7.776049766718508e-05
Core PPI YoY,CL,125,0.4085934230131286,7.776049766718508e-05
ISM Manufacturing Prices,CL,125,0.4085934230131286,7.776049766718508e-05
Inflation Rate YoY,CL,125,0.4085934230131286,7.776049766718508e-05
PPI YoY,CL,125,0.4085934230131286,7.776049766718508e-05
Core Inflation Rate MoM,CL,124,0.4100829737335035,7.776049766718508e-05
Export Prices MoM,CL,124,0.4100829737335035,7.776049766718508e-05
Housing Starts,CL,124,0.4100829737335035,7.776049766718508e-05
Import Prices MoM,CL,124,0.4100829737335035,7.776049766718508e-05
Inflation Rate MoM,CL,124,0.4100829737335035,7.776049766718508e-05
JOLTs Job Openings,CL,124,0.4100829737335035,7.776049766718508e-05
Monthly Budget Statement,CL,124,0.4100829737335035,7.776049766718508e-05
New Home Sales,CL,123,0.4115888797617477,7.776049766718508e-05
Core PCE Price Index YoY,CL,116,0.42261440904575215,7.776049766718508e-05
Personal Income MoM,CL,111,0.4310530937942487,7.776049766718508e-05
Average Hourly Earnings YoY,CL,106,0.44001600352942555,7.776049766718508e-05
Michigan Current Conditions Prel,CL,96,0.4597485116306709,7.776049766718508e-05
Michigan Consumer Expectations Prel,CL,94,0.46402146418032153,7.776049766718508e-05
Manufacturing Production MoM,CL,89,0.47524438558718884,7.776049766718508e-05
NFIB Business Optimism Index,CL,89,0.47524438558718884,7.776049766718508e-05
ISM Non-Manufacturing PMI,CL,87,0.4799656186678168,7.776049766718508e-05
Richmond Fed Manufacturing Index,CL,87,0.4799656186678168,7.776049766718508e-05
Fed Interest Rate Decision,CL,84,0.48731695017867094,7.776049766718508e-05
Building Permits,CL,82,0.4924082561643617,7.776049766718508e-05
House Price Index MoM,CL,81,0.49501400145984564,7.776049766718508e-05
ISM Manufacturing Employment,CL,75,0.5115591836472961,7.776049766718508e-05
ISM Non-Manufacturing Business Activity,CL,73,0.5174504535373323,7.776049766718508e-05
Existing Home Sales MoM,CL,72,0.5204726554299641,7.776049766718508e-05
Michigan Current Conditions Final,CL,72,0.5204726554299641,7.776049766718508e-05
