set,instrument,lead_min,stop_pct,direction,n,gross_mean,gross_ci_lo,gross_ci_hi,gross_sd,mde_usd,stopped_pre_release,stopped_total,net_optimistic,net_realistic,net_stressed
RELEASES,ES,30,0.1,long,574,37.52521777003486,1.140088292435209,73.9103472476345,444.7580316826711,51.97875639657092,0.25609756097560976,0.5644599303135889,22.525217770034857,10.025217770034857,-14.974782229965143
RELEASES,ES,30,0.1,short,574,-45.63538763066177,-76.59224017334847,-14.678535087975057,378.4048319094875,44.224075060981015,0.32229965156794427,0.6428571428571429,-60.63538763066177,-73.13538763066177,-98.13538763066177
RELEASES,ES,30,0.2,long,574,62.09067944250859,16.89654791067848,107.2848109743387,552.4359339185329,64.56304504547158,0.06968641114982578,0.3205574912891986,47.09067944250859,34.59067944250859,9.590679442508588
RELEASES,ES,30,0.2,short,574,-63.01929442508718,-103.47125869253671,-22.56733015763765,494.4694787018661,57.78852038207076,0.08536585365853659,0.397212543554007,-78.01929442508718,-90.51929442508718,-115.51929442508718
RELEASES,ES,30,0.4,long,574,90.04050522648069,36.491734090866636,143.58927636209475,654.5598817770846,76.49824447944864,0.0156794425087108,0.1254355400696864,75.04050522648069,62.54050522648069,37.54050522648069
RELEASES,ES,30,0.4,short,574,-65.20705574912895,-121.7766520931928,-8.637459405065115,691.4853041421379,80.81370906294833,0.02613240418118467,0.1951219512195122,-80.20705574912895,-92.70705574912895,-117.70705574912895
CONTROL,ES,5,0.1,long,542,0.17446955719577248,-13.73093635318806,14.079875467579605,165.1685068517042,19.864865586262617,0.04981549815498155,0.22509225092250923,-14.825530442804228,-27.325530442804226,-52.32553044280423
CONTROL,ES,5,0.1,short,542,-4.620964022140217,-18.960052333634362,9.718124289353927,170.319789388934,20.484411873563065,0.04428044280442804,0.2047970479704797,-19.620964022140218,-32.120964022140214,-57.120964022140214
CONTROL,ES,5,0.2,long,542,1.187500000000058,-14.03679742337118,16.411797423371297,180.83430929597833,21.748996319101767,0.012915129151291513,0.05166051660516605,-13.812499999999941,-26.312499999999943,-51.31249999999994
CONTROL,ES,5,0.2,short,542,-5.689760147601678,-21.385054399916804,10.005534104713448,186.42881286314548,22.42184893187875,0.007380073800738007,0.055350553505535055,-20.689760147601678,-33.189760147601675,-58.189760147601675
CONTROL,ES,5,0.4,long,542,3.2154059040590215,-12.264558600876963,18.695370408995007,183.87112464573008,22.114235007051406,0.0018450184501845018,0.00922509225092251,-11.784594095940978,-24.284594095940978,-49.28459409594098
CONTROL,ES,5,0.4,short,542,-4.160147601475973,-19.951094520700618,11.630799317748671,187.5649758972667,22.55849559889235,0.0,0.007380073800738007,-19.160147601475973,-31.660147601475973,-56.66014760147597
CONTROL,ES,15,0.1,long,542,5.966697416973737,-9.807980095885554,21.74137492983303,187.37172777678413,22.535253589798987,0.14944649446494465,0.26014760147601473,-9.033302583026263,-21.533302583026263,-46.53330258302626
CONTROL,ES,15,0.1,short,542,-3.7148754612541564,-21.405033794508213,13.975282871999902,210.12382210949445,25.27165476179151,0.16789667896678967,0.2822878228782288,-18.714875461254156,-31.214875461254156,-56.21487546125416
CONTROL,ES,15,0.2,long,542,-1.7096402214020068,-19.904338425242667,16.48505798243865,216.11675015553672,25.992426005486656,0.03690036900369004,0.09040590405904059,-16.709640221402008,-29.209640221402008,-54.209640221402005
CONTROL,ES,15,0.2,short,542,-3.8401291512917815,-23.710020397339296,16.029762094755736,236.01470460957057,28.38555892292502,0.02952029520295203,0.0959409594095941,-18.84012915129178,-31.34012915129178,-56.340129151291784
CONTROL,ES,15,0.4,long,542,-1.907841328413267,-20.5946492401977,16.77896658337117,221.96203264438554,26.695439873977765,0.007380073800738007,0.016605166051660517,-16.907841328413266,-29.407841328413266,-54.40784132841327
CONTROL,ES,15,0.4,short,542,4.002029520295209,-15.518204269009633,23.522263309600053,231.8614709382956,27.88604827043549,0.0036900369003690036,0.00922509225092251,-10.99797047970479,-23.49797047970479,-48.49797047970479
CONTROL,ES,30,0.1,long,542,-1.3556042435429703,-19.174570264454637,16.463361777368696,211.65380070764098,25.45566574415952,0.2693726937269373,0.34501845018450183,-16.35560424354297,-28.85560424354297,-53.85560424354297
CONTROL,ES,30,0.1,short,542,-11.951798892989109,-30.974088038522453,7.070490252544234,225.94688104163342,27.174698779333344,0.25092250922509224,0.34686346863468637,-26.95179889298911,-39.45179889298911,-64.4517988929891
CONTROL,ES,30,0.2,long,542,4.02915129151293,-16.74234746067222,24.800650043698084,246.7240047562019,29.673569645978787,0.09778597785977859,0.11992619926199262,-10.97084870848707,-23.47084870848707,-48.47084870848707
CONTROL,ES,30,0.2,short,542,-10.372001845018588,-32.562495492010555,11.818491801973384,263.57883585684715,31.700705209988527,0.06826568265682657,0.13653136531365315,-25.372001845018588,-37.87200184501859,-62.87200184501859
CONTROL,ES,30,0.4,long,542,-1.6441881918819694,-24.712436950870615,21.424060567106675,274.0048171021468,32.95464108426949,0.02214022140221402,0.03505535055350553,-16.64418819188197,-29.14418819188197,-54.144188191881966
CONTROL,ES,30,0.4,short,542,1.084225092251,-23.25814379243434,25.42659397693634,289.13882470086634,34.77481269240762,0.005535055350553505,0.016605166051660517,-13.915774907749,-26.415774907749,-51.415774907749
