set,instrument,lead_min,stop_pct,direction,n,gross_mean,gross_ci_lo,gross_ci_hi,gross_sd,mde_usd,stopped_pre_release,stopped_total,net_optimistic,net_realistic,net_stressed
CONTROL,GC,5,0.4,short,547,-25.666398537476304,-56.288597432283424,4.955800357330816,365.40456169926375,43.745998421153026,0.003656307129798903,0.031078610603290677,-38.166398537476304,-48.166398537476304,-68.16639853747631
CONTROL,GC,15,0.1,long,547,7.386910420474377,-21.339382329410384,36.113203170359135,342.7813413260927,41.03756107126394,0.34186471663619744,0.44424131627056673,-5.113089579525623,-15.113089579525623,-35.11308957952562
CONTROL,GC,15,0.1,short,547,1.6969469835467983,-27.116150209268785,30.51004417636238,343.8171500063134,41.161567418307975,0.3272394881170018,0.473491773308958,-10.803053016453202,-20.8030530164532,-40.803053016453205
CONTROL,GC,15,0.2,long,547,12.55948811700053,-22.209786332252126,47.32876256625319,414.8902413694743,49.67039207036093,0.10968921389396709,0.1956124314442413,0.05948811700053014,-9.94051188299947,-29.94051188299947
CONTROL,GC,15,0.2,short,547,0.21327239488150562,-34.08655949048754,34.51310428025055,409.288538667192,48.999759836241495,0.10237659963436929,0.21572212065813529,-12.286727605118495,-22.286727605118493,-42.28672760511849
CONTROL,GC,15,0.4,long,547,10.884826325410623,-29.709053044528694,51.47870569534994,484.39332360815075,57.991256242770454,0.014625228519195612,0.06764168190127971,-1.6151736745893768,-11.615173674589377,-31.61517367458938
CONTROL,GC,15,0.4,short,547,-7.9337477148074225,-45.2911194412829,29.423624011668053,445.77314936923375,53.367673894964966,0.018281535648994516,0.04021937842778794,-20.433747714807424,-30.433747714807424,-50.433747714807424
CONTROL,GC,30,0.1,long,547,16.63084095064045,-17.387410115649654,50.64909201693055,405.9285279726005,48.597501523271575,0.453382084095064,0.5283363802559415,4.130840950640451,-5.869159049359549,-25.86915904935955
CONTROL,GC,30,0.1,short,547,-25.655045703839882,-57.678643271158535,6.368551863478771,382.1269881146262,45.747996524740934,0.48628884826325414,0.5795246800731262,-38.15504570383988,-48.15504570383988,-68.15504570383987
CONTROL,GC,30,0.2,long,547,34.193382084094864,-7.808056887356813,76.19482105554654,501.18926634965754,60.00205567350239,0.18647166361974407,0.26508226691042047,21.693382084094864,11.693382084094864,-8.306617915905136
CONTROL,GC,30,0.2,short,547,-18.327239488116835,-57.3462102645249,20.691731288291226,465.6004607470424,55.74138682344009,0.19195612431444242,0.2943327239488117,-30.827239488116835,-40.82723948811683,-60.82723948811683
CONTROL,GC,30,0.4,long,547,43.18983546617977,-3.6756383473162444,90.05530927967578,559.2301838439449,66.95067687642288,0.03473491773308958,0.0712979890310786,30.689835466179773,20.689835466179773,0.6898354661797725
CONTROL,GC,30,0.4,short,547,-30.15100548446143,-76.02600661510763,15.723995646184768,547.4112012230331,65.53571590092314,0.04570383912248629,0.08226691042047532,-42.65100548446143,-52.65100548446143,-72.65100548446142
