set,instrument,lead_min,stop_pct,direction,et,title,pnl_usd,stopped_pre_release,pre_usd,resolution_usd
RELEASES,ES,5,0.1,long,2017-09-01 08:30:00,Non Farm Payrolls,12.5,False,12.5,0.0
RELEASES,ES,5,0.1,long,2017-09-14 08:30:00,Inflation Rate MoM,-124.53749999999673,False,-37.5,-87.5
RELEASES,ES,5,0.1,long,2017-09-15 08:30:00,Retail Sales MoM,0.0,False,-12.5,12.5
RELEASES,ES,5,0.1,long,2017-09-20 14:00:00,Fed Interest Rate Decision,-125.19999999999527,False,0.0,-150.0
RELEASES,ES,5,0.1,long,2017-09-27 08:30:00,Durable Goods Orders MoM,-25.0,False,-12.5,-12.5
RELEASES,ES,5,0.1,long,2017-10-06 08:30:00,Non Farm Payrolls,-87.5,False,0.0,-87.5
RELEASES,ES,5,0.1,long,2017-10-13 08:30:00,Retail Sales MoM,100.0,False,12.5,87.5
RELEASES,ES,5,0.1,long,2017-10-25 08:30:00,Durable Goods Orders MoM,-37.5,False,25.0,-62.5
RELEASES,ES,5,0.1,long,2017-11-01 14:00:00,Fed Interest Rate Decision,200.0,False,100.0,100.0
RELEASES,ES,5,0.1,long,2017-11-03 08:30:00,Non Farm Payrolls,0.0,False,25.0,-25.0
RELEASES,ES,5,0.1,long,2017-11-15 08:30:00,Retail Sales MoM,-128.40000000001055,False,37.5,-137.5
RELEASES,ES,5,0.1,long,2017-11-22 08:30:00,Durable Goods Orders MoM,-62.5,False,-12.5,-50.0
RELEASES,ES,5,0.1,long,2017-12-08 08:30:00,Non Farm Payrolls,175.0,False,25.0,150.0
RELEASES,ES,5,0.1,long,2017-12-13 08:30:00,Inflation Rate MoM,75.0,False,-12.5,87.5
RELEASES,ES,5,0.1,long,2017-12-13 14:00:00,Fed Interest Rate Decision,75.0,False,-12.5,87.5
RELEASES,ES,5,0.1,long,2017-12-14 08:30:00,Retail Sales MoM,-25.0,False,-37.5,12.5
RELEASES,ES,5,0.1,long,2017-12-22 08:30:00,Durable Goods Orders MoM,62.5,False,-12.5,75.0
RELEASES,ES,5,0.1,long,2018-01-05 08:30:00,Non Farm Payrolls,-136.62500000000364,False,25.0,62.5
RELEASES,ES,5,0.1,long,2018-01-12 08:30:00,Retail Sales MoM,-138.68749999999181,False,25.0,-262.5
RELEASES,ES,5,0.1,long,2018-01-26 08:30:00,Durable Goods Orders MoM,-142.55000000000564,False,-50.0,37.5
RELEASES,ES,5,0.1,long,2018-01-31 14:00:00,Fed Interest Rate Decision,-141.52500000000146,False,-62.5,-62.5
RELEASES,ES,5,0.1,long,2018-02-02 08:30:00,Non Farm Payrolls,-140.3250000000071,False,12.5,50.0
RELEASES,ES,5,0.1,long,2018-02-14 08:30:00,Inflation Rate MoM,-133.68749999999636,False,75.0,-1875.0
RELEASES,ES,5,0.1,long,2018-02-27 08:30:00,Durable Goods Orders MoM,-139.0875000000051,False,-112.5,-75.0
RELEASES,ES,5,0.1,long,2018-03-09 08:30:00,Non Farm Payrolls,-136.77499999998872,True,-75.0,937.5
RELEASES,ES,5,0.1,long,2018-03-13 08:30:00,Inflation Rate MoM,275.0,False,0.0,275.0
RELEASES,ES,5,0.1,long,2018-03-14 08:30:00,Retail Sales MoM,12.5,False,-12.5,25.0
RELEASES,ES,5,0.1,long,2018-03-21 14:00:00,Fed Interest Rate Decision,-136.51250000000346,False,37.5,450.0
RELEASES,ES,5,0.1,long,2018-03-23 08:30:00,Durable Goods Orders MoM,0.0,False,0.0,0.0
RELEASES,ES,5,0.1,long,2018-04-06 08:30:00,Non Farm Payrolls,-132.06250000000637,False,37.5,137.5
RELEASES,ES,5,0.1,long,2018-04-11 08:30:00,Inflation Rate MoM,-131.68749999999818,False,-37.5,50.0
RELEASES,ES,5,0.1,long,2018-04-16 08:30:00,Retail Sales MoM,62.5,False,-12.5,75.0
RELEASES,ES,5,0.1,long,2018-04-26 08:30:00,Durable Goods Orders MoM,-37.5,False,-37.5,0.0
RELEASES,ES,5,0.1,long,2018-05-02 14:00:00,Fed Interest Rate Decision,337.5,False,25.0,312.5
RELEASES,ES,5,0.1,long,2018-05-04 08:30:00,Non Farm Payrolls,-131.12499999999727,False,-25.0,50.0
RELEASES,ES,5,0.1,long,2018-05-10 08:30:00,Inflation Rate MoM,300.0,False,37.5,262.5
RELEASES,ES,5,0.1,long,2018-05-15 08:30:00,Retail Sales MoM,-136.2374999999929,False,-12.5,-275.0
RELEASES,ES,5,0.1,long,2018-05-25 08:30:00,Durable Goods Orders MoM,-50.0,False,-25.0,-25.0
RELEASES,ES,5,0.1,long,2018-06-01 08:30:00,Non Farm Payrolls,-135.95000000000255,False,-12.5,-87.5
RELEASES,ES,5,0.1,long,2018-06-12 08:30:00,Inflation Rate MoM,25.0,False,-62.5,87.5
RELEASES,ES,5,0.1,long,2018-06-13 14:00:00,Fed Interest Rate Decision,-139.6250000000009,False,-37.5,-125.0
RELEASES,ES,5,0.1,long,2018-06-14 08:30:00,Retail Sales MoM,62.5,False,12.5,50.0
RELEASES,ES,5,0.1,long,2018-06-27 08:30:00,Durable Goods Orders MoM,187.5,False,-50.0,237.5
RELEASES,ES,5,0.1,long,2018-07-06 08:30:00,Non Farm Payrolls,337.5,False,12.5,325.0
RELEASES,ES,5,0.1,long,2018-07-12 08:30:00,Inflation Rate MoM,50.0,False,-25.0,75.0
RELEASES,ES,5,0.1,long,2018-07-16 08:30:00,Retail Sales MoM,-50.0,False,0.0,-50.0
RELEASES,ES,5,0.1,long,2018-07-26 08:30:00,Durable Goods Orders MoM,-62.5,False,-62.5,0.0
RELEASES,ES,5,0.1,long,2018-08-01 14:00:00,Fed Interest Rate Decision,-140.5375000000049,False,-12.5,50.0
RELEASES,ES,5,0.1,long,2018-08-03 08:30:00,Non Farm Payrolls,-141.537500000004,False,37.5,-137.5
RELEASES,ES,5,0.1,long,2018-08-10 08:30:00,Inflation Rate MoM,75.0,False,-12.5,87.5
RELEASES,ES,5,0.1,long,2018-08-15 08:30:00,Retail Sales MoM,-141.3000000000011,False,25.0,-112.5
RELEASES,ES,5,0.1,long,2018-08-24 08:30:00,Durable Goods Orders MoM,62.5,False,-37.5,100.0
RELEASES,ES,5,0.1,long,2018-09-07 08:30:00,Non Farm Payrolls,-143.68750000001,False,62.5,-287.5
RELEASES,ES,5,0.1,long,2018-09-13 08:30:00,Inflation Rate MoM,162.5,False,-25.0,187.5
RELEASES,ES,5,0.1,long,2018-09-14 08:30:00,Retail Sales MoM,-12.5,False,12.5,-25.0
RELEASES,ES,5,0.1,long,2018-09-26 14:00:00,Fed Interest Rate Decision,325.0,False,0.0,325.0
RELEASES,ES,5,0.1,long,2018-09-27 08:30:00,Durable Goods Orders MoM,-50.0,False,-25.0,-25.0
RELEASES,ES,5,0.1,long,2018-10-05 08:30:00,Non Farm Payrolls,-145.19999999999982,False,112.5,-212.5
RELEASES,ES,5,0.1,long,2018-10-11 08:30:00,Inflation Rate MoM,237.5,False,137.5,100.0
RELEASES,ES,5,0.1,long,2018-10-15 08:30:00,Retail Sales MoM,-138.3874999999989,False,0.0,-200.0
RELEASES,ES,5,0.1,long,2018-10-25 08:30:00,Durable Goods Orders MoM,-134.18750000000728,False,0.0,-250.0
RELEASES,ES,5,0.1,long,2018-11-02 08:30:00,Non Farm Payrolls,-137.87500000000819,False,-37.5,-212.5
RELEASES,ES,5,0.1,long,2018-11-08 14:00:00,Fed Interest Rate Decision,-140.31250000000455,False,112.5,87.5
RELEASES,ES,5,0.1,long,2018-11-14 08:30:00,Inflation Rate MoM,500.0,False,75.0,425.0
RELEASES,ES,5,0.1,long,2018-11-15 08:30:00,Retail Sales MoM,87.5,False,125.0,-37.5
RELEASES,ES,5,0.1,long,2018-11-21 08:30:00,Durable Goods Orders MoM,-133.20000000001073,False,-50.0,-100.0
RELEASES,ES,5,0.1,long,2018-12-07 08:30:00,Non Farm Payrolls,612.5,False,75.0,537.5
RELEASES,ES,5,0.1,long,2018-12-12 08:30:00,Inflation Rate MoM,100.0,False,-12.5,112.5
RELEASES,ES,5,0.1,long,2018-12-14 08:30:00,Retail Sales MoM,-131.38750000000528,True,-137.5,150.0
RELEASES,ES,5,0.1,long,2018-12-19 14:00:00,Fed Interest Rate Decision,-128.6250000000109,False,675.0,-2025.0
RELEASES,ES,5,0.1,long,2018-12-21 08:30:00,Durable Goods Orders MoM,412.5,False,62.5,350.0
RELEASES,ES,5,0.1,long,2019-01-04 08:30:00,Non Farm Payrolls,-123.87499999999818,False,150.0,-100.0
RELEASES,ES,5,0.1,long,2019-01-11 08:30:00,Inflation Rate MoM,-129.3374999999969,False,-25.0,-62.5
RELEASES,ES,5,0.1,long,2019-01-30 14:00:00,Fed Interest Rate Decision,-132.96250000000782,False,-12.5,875.0
RELEASES,ES,5,0.1,long,2019-02-01 08:30:00,Non Farm Payrolls,450.0,False,0.0,450.0
RELEASES,ES,5,0.1,long,2019-02-13 08:30:00,Inflation Rate MoM,-137.5500000000102,False,0.0,62.5
RELEASES,ES,5,0.1,long,2019-02-14 08:30:00,Retail Sales MoM,-137.96250000000327,False,0.0,-550.0
RELEASES,ES,5,0.1,long,2019-02-21 08:30:00,Durable Goods Orders MoM,-139.1499999999951,False,-12.5,-50.0
RELEASES,ES,5,0.1,long,2019-03-08 08:30:00,Non Farm Payrolls,-137.0875000000069,False,37.5,-362.5
RELEASES,ES,5,0.1,long,2019-03-11 08:30:00,Retail Sales MoM,250.0,False,12.5,237.5
RELEASES,ES,5,0.1,long,2019-03-12 08:30:00,Inflation Rate MoM,262.5,False,-50.0,312.5
RELEASES,ES,5,0.1,long,2019-03-13 08:30:00,Durable Goods Orders MoM,-37.5,False,-25.0,-12.5
RELEASES,ES,5,0.1,long,2019-03-20 14:00:00,Fed Interest Rate Decision,712.5,False,87.5,625.0
RELEASES,ES,5,0.1,long,2019-04-01 08:30:00,Retail Sales MoM,-142.90000000000873,False,25.0,0.0
RELEASES,ES,5,0.1,long,2019-04-02 08:30:00,Durable Goods Orders MoM,0.0,False,-62.5,62.5
RELEASES,ES,5,0.1,long,2019-04-05 08:30:00,Non Farm Payrolls,237.5,False,-12.5,250.0
RELEASES,ES,5,0.1,long,2019-04-10 08:30:00,Inflation Rate MoM,-144.337500000006,False,50.0,-87.5
RELEASES,ES,5,0.1,long,2019-04-18 08:30:00,Retail Sales MoM,62.5,False,25.0,37.5
RELEASES,ES,5,0.1,long,2019-04-25 08:30:00,Durable Goods Orders MoM,12.5,False,0.0,12.5
RELEASES,ES,5,0.1,long,2019-05-01 14:00:00,Fed Interest Rate Decision,237.5,False,62.5,175.0
RELEASES,ES,5,0.1,long,2019-05-03 08:30:00,Non Farm Payrolls,-146.38749999999163,False,-12.5,200.0
RELEASES,ES,5,0.1,long,2019-05-10 08:30:00,Inflation Rate MoM,-142.7500000000009,False,12.5,-37.5
RELEASES,ES,5,0.1,long,2019-05-15 08:30:00,Retail Sales MoM,-141.32500000000618,False,-12.5,-325.0
RELEASES,ES,5,0.1,long,2019-05-24 08:30:00,Durable Goods Orders MoM,-12.5,False,37.5,-50.0
RELEASES,ES,5,0.1,long,2019-06-07 08:30:00,Non Farm Payrolls,-142.69999999999072,False,25.0,-250.0
RELEASES,ES,5,0.1,long,2019-06-12 08:30:00,Inflation Rate MoM,-12.5,False,-37.5,25.0
RELEASES,ES,5,0.1,long,2019-06-14 08:30:00,Retail Sales MoM,0.0,False,25.0,-25.0
RELEASES,ES,5,0.1,long,2019-06-19 14:00:00,Fed Interest Rate Decision,-146.08749999999873,False,50.0,300.0
RELEASES,ES,5,0.1,long,2019-06-26 08:30:00,Durable Goods Orders MoM,-146.64999999999964,False,0.0,-300.0
RELEASES,ES,5,0.1,long,2019-07-05 08:30:00,Non Farm Payrolls,-149.6499999999969,False,37.5,-400.0
RELEASES,ES,5,0.1,long,2019-07-11 08:30:00,Inflation Rate MoM,-150.28749999999036,False,-37.5,-125.0
RELEASES,ES,5,0.1,long,2019-07-16 08:30:00,Retail Sales MoM,-50.0,False,0.0,-50.0
RELEASES,ES,5,0.1,long,2019-07-25 08:30:00,Durable Goods Orders MoM,-25.0,False,-25.0,0.0
RELEASES,ES,5,0.1,long,2019-07-31 14:00:00,Fed Interest Rate Decision,-150.63749999999345,False,162.5,-250.0
RELEASES,ES,5,0.1,long,2019-08-02 08:30:00,Non Farm Payrolls,-147.1749999999929,False,12.5,-212.5
RELEASES,ES,5,0.1,long,2019-08-13 08:30:00,Inflation Rate MoM,-143.71249999999236,False,75.0,-162.5
RELEASES,ES,5,0.1,long,2019-08-15 08:30:00,Retail Sales MoM,300.0,False,50.0,250.0
RELEASES,ES,5,0.1,long,2019-08-26 08:30:00,Durable Goods Orders MoM,162.5,False,25.0,137.5
RELEASES,ES,5,0.1,long,2019-09-06 08:30:00,Non Farm Payrolls,-149.2625000000089,False,-37.5,12.5
RELEASES,ES,5,0.1,long,2019-09-12 08:30:00,Inflation Rate MoM,162.5,False,12.5,150.0
RELEASES,ES,5,0.1,long,2019-09-13 08:30:00,Retail Sales MoM,-62.5,False,12.5,-75.0
RELEASES,ES,5,0.1,long,2019-09-18 14:00:00,Fed Interest Rate Decision,-150.01250000000255,False,0.0,-700.0
RELEASES,ES,5,0.1,long,2019-09-27 08:30:00,Durable Goods Orders MoM,12.5,False,12.5,0.0
RELEASES,ES,5,0.1,long,2019-10-04 08:30:00,Non Farm Payrolls,-145.11250000000473,True,-100.0,750.0
RELEASES,ES,5,0.1,long,2019-10-10 08:30:00,Inflation Rate MoM,125.0,False,0.0,125.0
RELEASES,ES,5,0.1,long,2019-10-16 08:30:00,Retail Sales MoM,-149.80000000000473,True,-62.5,-200.0
RELEASES,ES,5,0.1,long,2019-10-24 08:30:00,Durable Goods Orders MoM,-62.5,False,-25.0,-37.5
RELEASES,ES,5,0.1,long,2019-10-30 14:00:00,Fed Interest Rate Decision,-151.54999999999745,True,-137.5,387.5
RELEASES,ES,5,0.1,long,2019-11-01 08:30:00,Non Farm Payrolls,387.5,False,-62.5,450.0
RELEASES,ES,5,0.1,long,2019-11-13 08:30:00,Inflation Rate MoM,-12.5,False,-12.5,0.0
RELEASES,ES,5,0.1,long,2019-11-15 08:30:00,Retail Sales MoM,87.5,False,12.5,75.0
RELEASES,ES,5,0.1,long,2019-11-27 08:30:00,Durable Goods Orders MoM,37.5,False,0.0,37.5
RELEASES,ES,5,0.1,long,2019-12-06 08:30:00,Non Farm Payrolls,-156.18750000001,False,-50.0,662.5
RELEASES,ES,5,0.1,long,2019-12-11 08:30:00,Inflation Rate MoM,37.5,False,-12.5,50.0
RELEASES,ES,5,0.1,long,2019-12-11 14:00:00,Fed Interest Rate Decision,175.0,False,50.0,125.0
RELEASES,ES,5,0.1,long,2019-12-13 08:30:00,Retail Sales MoM,87.5,False,0.0,87.5
RELEASES,ES,5,0.1,long,2019-12-23 08:30:00,Durable Goods Orders MoM,37.5,False,0.0,37.5
RELEASES,ES,5,0.1,long,2020-01-10 08:30:00,Non Farm Payrolls,-164.04999999999745,False,25.0,-175.0
RELEASES,ES,5,0.1,long,2020-01-14 08:30:00,Inflation Rate MoM,87.5,False,12.5,75.0
RELEASES,ES,5,0.1,long,2020-01-16 08:30:00,Retail Sales MoM,62.5,False,-12.5,75.0
RELEASES,ES,5,0.1,long,2020-01-28 08:30:00,Durable Goods Orders MoM,-12.5,False,37.5,-50.0
RELEASES,ES,5,0.1,long,2020-01-29 14:00:00,Fed Interest Rate Decision,100.0,False,0.0,100.0
RELEASES,ES,5,0.1,long,2020-02-07 08:30:00,Non Farm Payrolls,-166.87500000000455,False,100.0,-325.0
RELEASES,ES,5,0.1,long,2020-02-13 08:30:00,Inflation Rate MoM,75.0,False,-37.5,112.5
RELEASES,ES,5,0.1,long,2020-02-14 08:30:00,Retail Sales MoM,-169.1624999999931,False,50.0,-312.5
RELEASES,ES,5,0.1,long,2020-02-27 08:30:00,Durable Goods Orders MoM,237.5,False,200.0,37.5
RELEASES,ES,5,0.1,long,2020-03-06 08:30:00,Non Farm Payrolls,337.5,False,212.5,125.0
RELEASES,ES,5,0.1,long,2020-03-11 08:30:00,Inflation Rate MoM,-139.31250000000546,True,-137.5,-250.0
RELEASES,ES,5,0.1,long,2020-03-17 08:30:00,Retail Sales MoM,-121.83749999999236,True,-462.5,-500.0
RELEASES,ES,5,0.1,long,2020-03-25 08:30:00,Durable Goods Orders MoM,-120.67500000000564,True,-200.0,175.0
RELEASES,ES,5,0.1,long,2020-04-03 08:30:00,Non Farm Payrolls,-125.17499999999018,True,-312.5,412.5
RELEASES,ES,5,0.1,long,2020-04-15 08:30:00,Retail Sales MoM,-138.88750000000982,False,-112.5,-625.0
RELEASES,ES,5,0.1,long,2020-04-24 08:30:00,Durable Goods Orders MoM,350.0,False,-50.0,400.0
RELEASES,ES,5,0.1,long,2020-04-29 14:00:00,Fed Interest Rate Decision,-146.71249999998963,False,37.5,-150.0
RELEASES,ES,5,0.1,long,2020-05-08 08:30:00,Non Farm Payrolls,512.5,False,37.5,475.0
RELEASES,ES,5,0.1,long,2020-05-12 08:30:00,Inflation Rate MoM,-146.62499999999454,False,-50.0,75.0
RELEASES,ES,5,0.1,long,2020-05-15 08:30:00,Retail Sales MoM,-141.28749999999854,True,-337.5,-100.0
RELEASES,ES,5,0.1,long,2020-05-28 08:30:00,Durable Goods Orders MoM,37.5,False,-50.0,87.5
RELEASES,ES,5,0.1,long,2020-06-05 08:30:00,Non Farm Payrolls,1175.0,False,37.5,1137.5
RELEASES,ES,5,0.1,long,2020-06-10 08:30:00,Inflation Rate MoM,-37.5,False,12.5,-50.0
RELEASES,ES,5,0.1,long,2020-06-10 14:00:00,Fed Interest Rate Decision,-159.95000000000346,False,-125.0,1012.5
