n,mde_r,grid,judge_at_r,at_mde_rate,min_hits_required,pass_,smallest_detected,reason,instrument,release,n_matrix
109,0.4345723757557835,"[0.05, 0.1, 0.15, 0.2, 0.3, 0.4, 0.435, 0.543]",0.435,0.84,17,True,0.435,detection at its MDE (0.435) is 84% — consistent with the nominal 80% power,GC,Personal Income MoM,111
124,0.4100829737335035,"[0.05, 0.1, 0.15, 0.2, 0.3, 0.4, 0.41, 0.513]",0.513,0.96,17,True,0.4,detection at its MDE (0.410) is 96% — consistent with the nominal 80% power,GC,Personal Spending MoM,126
127,0.40566222334560903,"[0.05, 0.1, 0.15, 0.2, 0.3, 0.4, 0.406, 0.507]",0.406,0.8,17,True,0.406,detection at its MDE (0.406) is 80% — consistent with the nominal 80% power,GC,Philadelphia Fed Manufacturing Index,127
126,0.40711993474820624,"[0.05, 0.1, 0.15, 0.2, 0.3, 0.4, 0.407, 0.509]",0.509,1.0,17,True,0.4,detection at its MDE (0.407) is 100% — consistent with the nominal 80% power,GC,Retail Sales Ex Autos MoM,127
126,0.40711993474820624,"[0.05, 0.1, 0.15, 0.2, 0.3, 0.4, 0.407, 0.509]",0.509,1.0,17,True,0.4,detection at its MDE (0.407) is 100% — consistent with the nominal 80% power,GC,Retail Sales MoM,127
87,0.4799656186678168,"[0.05, 0.1, 0.15, 0.2, 0.3, 0.4, 0.48, 0.6]",0.48,0.8,17,True,0.48,detection at its MDE (0.480) is 80% — consistent with the nominal 80% power,GC,Richmond Fed Manufacturing Index,87
127,0.40566222334560903,"[0.05, 0.1, 0.15, 0.2, 0.3, 0.4, 0.406, 0.507]",0.406,0.76,17,True,0.507,detection at its MDE (0.406) is 76% — consistent with the nominal 80% power,GC,S&P/Case-Shiller Home Price YoY,127
62,0.5538875788154687,"[0.05, 0.1, 0.15, 0.2, 0.3, 0.4, 0.554, 0.692]",0.554,0.76,17,True,0.692,detection at its MDE (0.554) is 76% — consistent with the nominal 80% power,GC,Total Vehicle Sales,67
124,0.4100829737335035,"[0.05, 0.1, 0.15, 0.2, 0.3, 0.4, 0.41, 0.513]",0.513,1.0,17,True,0.4,detection at its MDE (0.410) is 100% — consistent with the nominal 80% power,GC,Unemployment Rate,126
127,0.40566222334560903,"[0.05, 0.1, 0.15, 0.2, 0.3, 0.4, 0.406, 0.507]",0.406,0.84,17,True,0.4,detection at its MDE (0.406) is 84% — consistent with the nominal 80% power,GC,Wholesale Inventories MoM,127
65,0.5432034742215733,"[0.05, 0.1, 0.15, 0.2, 0.3, 0.4, 0.543, 0.679]",0.679,1.0,17,True,0.543,detection at its MDE (0.543) is 100% — consistent with the nominal 80% power,GC,Wholesale Inventories MoM Adv,65
125,0.4085934230131286,"[0.05, 0.1, 0.15, 0.2, 0.3, 0.4, 0.409, 0.511]",0.409,0.84,17,True,0.409,detection at its MDE (0.409) is 84% — consistent with the nominal 80% power,HG,ADP Employment Change,125
286,0.2774373861772326,"[0.05, 0.1, 0.15, 0.2, 0.277, 0.3, 0.347, 0.4]",0.3,0.96,17,True,0.277,detection at its MDE (0.277) is 96% — consistent with the nominal 80% power,HG,API Crude Oil Stock Change,288
124,0.4100829737335035,"[0.05, 0.1, 0.15, 0.2, 0.3, 0.4, 0.41, 0.513]",0.513,1.0,17,True,0.4,detection at its MDE (0.410) is 100% — consistent with the nominal 80% power,HG,Average Hourly Earnings MoM,126
104,0.4437602858410957,"[0.05, 0.1, 0.15, 0.2, 0.3, 0.4, 0.444, 0.555]",0.444,0.92,17,True,0.444,detection at its MDE (0.444) is 92% — consistent with the nominal 80% power,HG,Average Hourly Earnings YoY,106
124,0.4100829737335035,"[0.05, 0.1, 0.15, 0.2, 0.3, 0.4, 0.41, 0.513]",0.513,1.0,17,True,0.41,detection at its MDE (0.410) is 100% — consistent with the nominal 80% power,HG,Average Weekly Hours,126
128,0.4042200102428221,"[0.05, 0.1, 0.15, 0.2, 0.3, 0.4, 0.404, 0.505]",0.505,0.96,17,True,0.505,detection at its MDE (0.404) is 96% — consistent with the nominal 80% power,HG,Balance of Trade,128
81,0.49501400145984564,"[0.05, 0.1, 0.15, 0.2, 0.3, 0.4, 0.495, 0.619]",0.619,1.0,17,True,0.495,detection at its MDE (0.495) is 100% — consistent with the nominal 80% power,HG,Building Permits,82
126,0.40711993474820624,"[0.05, 0.1, 0.15, 0.2, 0.3, 0.4, 0.407, 0.509]",0.509,1.0,17,True,0.407,detection at its MDE (0.407) is 100% — consistent with the nominal 80% power,HG,Business Inventories MoM,127
127,0.40566222334560903,"[0.05, 0.1, 0.15, 0.2, 0.3, 0.4, 0.406, 0.507]",0.406,0.76,17,True,0.4,detection at its MDE (0.406) is 76% — consistent with the nominal 80% power,HG,CB Consumer Confidence,127
124,0.4100829737335035,"[0.05, 0.1, 0.15, 0.2, 0.3, 0.4, 0.41, 0.513]",0.513,1.0,17,True,0.4,detection at its MDE (0.410) is 100% — consistent with the nominal 80% power,HG,CB Leading Index MoM,125
62,0.5538875788154687,"[0.05, 0.1, 0.15, 0.2, 0.3, 0.4, 0.554, 0.692]",0.554,0.64,17,False,0.692,detection at its MDE is only 64% (<17/25) — significantly BELOW nominal power,HG,CPI,62
125,0.4085934230131286,"[0.05, 0.1, 0.15, 0.2, 0.3, 0.4, 0.409, 0.511]",0.409,0.8,17,True,0.409,detection at its MDE (0.409) is 80% — consistent with the nominal 80% power,HG,Capacity Utilization,126
126,0.40711993474820624,"[0.05, 0.1, 0.15, 0.2, 0.3, 0.4, 0.407, 0.509]",0.509,1.0,17,True,0.407,detection at its MDE (0.407) is 100% — consistent with the nominal 80% power,HG,Chicago PMI,127
125,0.4085934230131286,"[0.05, 0.1, 0.15, 0.2, 0.3, 0.4, 0.409, 0.511]",0.409,0.64,17,False,0.4,detection at its MDE is only 64% (<17/25) — significantly BELOW nominal power,HG,Construction Spending MoM,125
127,0.40566222334560903,"[0.05, 0.1, 0.15, 0.2, 0.3, 0.4, 0.406, 0.507]",0.406,0.68,17,True,0.507,detection at its MDE (0.406) is 68% — consistent with the nominal 80% power,HG,Consumer Credit Change,127
531,0.20560764108408877,"[0.05, 0.1, 0.15, 0.2, 0.206, 0.257, 0.3, 0.4]",0.206,0.64,17,False,0.257,detection at its MDE is only 64% (<17/25) — significantly BELOW nominal power,HG,Continuing Jobless Claims,531
122,0.4131114414473481,"[0.05, 0.1, 0.15, 0.2, 0.3, 0.4, 0.413, 0.516]",0.516,1.0,17,True,0.413,detection at its MDE (0.413) is 100% — consistent with the nominal 80% power,HG,Core Inflation Rate MoM,124
123,0.4115888797617477,"[0.05, 0.1, 0.15, 0.2, 0.3, 0.4, 0.412, 0.514]",0.412,0.88,17,True,0.4,detection at its MDE (0.412) is 88% — consistent with the nominal 80% power,HG,Core Inflation Rate YoY,125
124,0.4100829737335035,"[0.05, 0.1, 0.15, 0.2, 0.3, 0.4, 0.41, 0.513]",0.513,1.0,17,True,0.513,detection at its MDE (0.410) is 100% — consistent with the nominal 80% power,HG,Core PCE Price Index MoM,125
115,0.42426265442766153,"[0.05, 0.1, 0.15, 0.2, 0.3, 0.4, 0.424, 0.53]",0.53,0.96,17,True,0.53,detection at its MDE (0.424) is 96% — consistent with the nominal 80% power,HG,Core PCE Price Index YoY,116
126,0.40711993474820624,"[0.05, 0.1, 0.15, 0.2, 0.3, 0.4, 0.407, 0.509]",0.509,0.96,17,True,0.4,detection at its MDE (0.407) is 96% — consistent with the nominal 80% power,HG,Core PPI MoM,126
125,0.4085934230131286,"[0.05, 0.1, 0.15, 0.2, 0.3, 0.4, 0.409, 0.511]",0.409,0.96,17,True,0.409,detection at its MDE (0.409) is 96% — consistent with the nominal 80% power,HG,Core PPI YoY,125
126,0.40711993474820624,"[0.05, 0.1, 0.15, 0.2, 0.3, 0.4, 0.407, 0.509]",0.509,1.0,17,True,0.509,detection at its MDE (0.407) is 100% — consistent with the nominal 80% power,HG,Durable Goods Orders Ex Transp MoM,126
127,0.40566222334560903,"[0.05, 0.1, 0.15, 0.2, 0.3, 0.4, 0.406, 0.507]",0.406,0.84,17,True,0.4,detection at its MDE (0.406) is 84% — consistent with the nominal 80% power,HG,Durable Goods Orders MoM,127
548,0.20246528041501022,"[0.05, 0.1, 0.15, 0.2, 0.202, 0.253, 0.3, 0.4]",0.253,0.92,17,True,0.202,detection at its MDE (0.202) is 92% — consistent with the nominal 80% power,HG,EIA Crude Oil Stocks Change,549
333,0.25788004564153333,"[0.05, 0.1, 0.15, 0.2, 0.258, 0.3, 0.322, 0.4]",0.258,0.88,17,True,0.258,detection at its MDE (0.258) is 88% — consistent with the nominal 80% power,HG,EIA Distillate Stocks Change,334
540,0.20392597012249197,"[0.05, 0.1, 0.15, 0.2, 0.204, 0.255, 0.3, 0.4]",0.204,0.8,17,True,0.2,detection at its MDE (0.204) is 80% — consistent with the nominal 80% power,HG,EIA Gasoline Stocks Change,541
540,0.20392597012249197,"[0.05, 0.1, 0.15, 0.2, 0.204, 0.255, 0.3, 0.4]",0.204,0.76,17,True,0.2,detection at its MDE (0.204) is 76% — consistent with the nominal 80% power,HG,EIA Natural Gas Stocks Change,540
127,0.40566222334560903,"[0.05, 0.1, 0.15, 0.2, 0.3, 0.4, 0.406, 0.507]",0.406,0.84,17,True,0.406,detection at its MDE (0.406) is 84% — consistent with the nominal 80% power,HG,Existing Home Sales,127
72,0.5204726554299641,"[0.05, 0.1, 0.15, 0.2, 0.3, 0.4, 0.52, 0.651]",0.651,1.0,17,True,0.52,detection at its MDE (0.520) is 100% — consistent with the nominal 80% power,HG,Existing Home Sales MoM,72
124,0.4100829737335035,"[0.05, 0.1, 0.15, 0.2, 0.3, 0.4, 0.41, 0.513]",0.513,1.0,17,True,0.513,detection at its MDE (0.410) is 100% — consistent with the nominal 80% power,HG,Export Prices MoM,124
128,0.4042200102428221,"[0.05, 0.1, 0.15, 0.2, 0.3, 0.4, 0.404, 0.505]",0.505,1.0,17,True,0.4,detection at its MDE (0.404) is 100% — consistent with the nominal 80% power,HG,Factory Orders MoM,128
84,0.48731695017867094,"[0.05, 0.1, 0.15, 0.2, 0.3, 0.4, 0.487, 0.609]",0.609,1.0,17,True,0.487,detection at its MDE (0.487) is 100% — consistent with the nominal 80% power,HG,Fed Interest Rate Decision,84
60,0.561365383042495,"[0.05, 0.1, 0.15, 0.2, 0.3, 0.4, 0.561, 0.702]",0.702,1.0,17,True,0.702,detection at its MDE (0.561) is 100% — consistent with the nominal 80% power,HG,Goods Trade Balance Adv,60
81,0.49501400145984564,"[0.05, 0.1, 0.15, 0.2, 0.3, 0.4, 0.495, 0.619]",0.619,1.0,17,True,0.495,detection at its MDE (0.495) is 100% — consistent with the nominal 80% power,HG,House Price Index MoM,81
123,0.4115888797617477,"[0.05, 0.1, 0.15, 0.2, 0.3, 0.4, 0.412, 0.514]",0.412,0.76,17,True,0.514,detection at its MDE (0.412) is 76% — consistent with the nominal 80% power,HG,Housing Starts,124
52,0.5945590651599607,"[0.05, 0.1, 0.15, 0.2, 0.3, 0.4, 0.595, 0.743]",0.595,0.76,17,True,0.743,detection at its MDE (0.595) is 76% — consistent with the nominal 80% power,HG,IBD/TIPP Economic Optimism,52
75,0.5115591836472961,"[0.05, 0.1, 0.15, 0.2, 0.3, 0.4, 0.512, 0.639]",0.512,0.8,17,True,0.512,detection at its MDE (0.512) is 80% — consistent with the nominal 80% power,HG,ISM Manufacturing Employment,75
128,0.4042200102428221,"[0.05, 0.1, 0.15, 0.2, 0.3, 0.4, 0.404, 0.505]",0.505,1.0,17,True,0.4,detection at its MDE (0.404) is 100% — consistent with the nominal 80% power,HG,ISM Manufacturing PMI,128
125,0.4085934230131286,"[0.05, 0.1, 0.15, 0.2, 0.3, 0.4, 0.409, 0.511]",0.409,0.72,17,True,0.4,detection at its MDE (0.409) is 72% — consistent with the nominal 80% power,HG,ISM Manufacturing Prices,125
73,0.5174504535373323,"[0.05, 0.1, 0.15, 0.2, 0.3, 0.4, 0.517, 0.647]",0.647,1.0,17,True,0.517,detection at its MDE (0.517) is 100% — consistent with the nominal 80% power,HG,ISM Non-Manufacturing Business Activity,73
87,0.4799656186678168,"[0.05, 0.1, 0.15, 0.2, 0.3, 0.4, 0.48, 0.6]",0.48,0.84,17,True,0.48,detection at its MDE (0.480) is 84% — consistent with the nominal 80% power,HG,ISM Non-Manufacturing PMI,87
124,0.4100829737335035,"[0.05, 0.1, 0.15, 0.2, 0.3, 0.4, 0.41, 0.513]",0.513,1.0,17,True,0.41,detection at its MDE (0.410) is 100% — consistent with the nominal 80% power,HG,Import Prices MoM,124
125,0.4085934230131286,"[0.05, 0.1, 0.15, 0.2, 0.3, 0.4, 0.409, 0.511]",0.409,0.64,17,False,0.4,detection at its MDE is only 64% (<17/25) — significantly BELOW nominal power,HG,Industrial Production MoM,126
122,0.4131114414473481,"[0.05, 0.1, 0.15, 0.2, 0.3, 0.4, 0.413, 0.516]",0.516,1.0,17,True,0.516,detection at its MDE (0.413) is 100% — consistent with the nominal 80% power,HG,Inflation Rate MoM,124
123,0.4115888797617477,"[0.05, 0.1, 0.15, 0.2, 0.3, 0.4, 0.412, 0.514]",0.412,0.84,17,True,0.412,detection at its MDE (0.412) is 84% — consistent with the nominal 80% power,HG,Inflation Rate YoY,125
547,0.20264615191443142,"[0.05, 0.1, 0.15, 0.2, 0.203, 0.253, 0.3, 0.4]",0.203,0.88,17,True,0.203,detection at its MDE (0.203) is 88% — consistent with the nominal 80% power,HG,Initial Jobless Claims,548
124,0.4100829737335035,"[0.05, 0.1, 0.15, 0.2, 0.3, 0.4, 0.41, 0.513]",0.513,1.0,17,True,0.4,detection at its MDE (0.410) is 100% — consistent with the nominal 80% power,HG,JOLTs Job Openings,124
124,0.4100829737335035,"[0.05, 0.1, 0.15, 0.2, 0.3, 0.4, 0.41, 0.513]",0.513,1.0,17,True,0.4,detection at its MDE (0.410) is 100% — consistent with the nominal 80% power,HG,Manufacturing Payrolls,126
88,0.4775876205624139,"[0.05, 0.1, 0.15, 0.2, 0.3, 0.4, 0.478, 0.597]",0.478,0.56,17,False,0.597,detection at its MDE is only 56% (<17/25) — significantly BELOW nominal power,HG,Manufacturing Production MoM,89
69,0.5298635577926925,"[0.05, 0.1, 0.15, 0.2, 0.3, 0.4, 0.53, 0.662]",0.53,0.8,17,True,0.53,detection at its MDE (0.530) is 80% — consistent with the nominal 80% power,HG,Michigan Consumer Expectations Final,69
94,0.46402146418032153,"[0.05, 0.1, 0.15, 0.2, 0.3, 0.4, 0.464, 0.58]",0.58,1.0,17,True,0.464,detection at its MDE (0.464) is 100% — consistent with the nominal 80% power,HG,Michigan Consumer Expectations Prel,94
126,0.40711993474820624,"[0.05, 0.1, 0.15, 0.2, 0.3, 0.4, 0.407, 0.509]",0.509,0.96,17,True,0.4,detection at its MDE (0.407) is 96% — consistent with the nominal 80% power,HG,Michigan Consumer Sentiment Final,127
127,0.40566222334560903,"[0.05, 0.1, 0.15, 0.2, 0.3, 0.4, 0.406, 0.507]",0.406,0.8,17,True,0.4,detection at its MDE (0.406) is 80% — consistent with the nominal 80% power,HG,Michigan Consumer Sentiment Prel,127
71,0.5235478653387513,"[0.05, 0.1, 0.15, 0.2, 0.3, 0.4, 0.524, 0.654]",0.524,0.76,17,True,0.654,detection at its MDE (0.524) is 76% — consistent with the nominal 80% power,HG,Michigan Current Conditions Final,72
96,0.4597485116306709,"[0.05, 0.1, 0.15, 0.2, 0.3, 0.4, 0.46, 0.575]",0.46,0.76,17,True,0.575,detection at its MDE (0.460) is 76% — consistent with the nominal 80% power,HG,Michigan Current Conditions Prel,96
123,0.4115888797617477,"[0.05, 0.1, 0.15, 0.2, 0.3, 0.4, 0.412, 0.514]",0.412,0.8,17,True,0.412,detection at its MDE (0.412) is 80% — consistent with the nominal 80% power,HG,Monthly Budget Statement,124
127,0.40566222334560903,"[0.05, 0.1, 0.15, 0.2, 0.3, 0.4, 0.406, 0.507]",0.406,0.76,17,True,0.507,detection at its MDE (0.406) is 76% — consistent with the nominal 80% power,HG,NAHB Housing Market Index,127
89,0.47524438558718884,"[0.05, 0.1, 0.15, 0.2, 0.3, 0.4, 0.475, 0.594]",0.594,1.0,17,True,0.594,detection at its MDE (0.475) is 100% — consistent with the nominal 80% power,HG,NFIB Business Optimism Index,89
125,0.4085934230131286,"[0.05, 0.1, 0.15, 0.2, 0.3, 0.4, 0.409, 0.511]",0.409,0.88,17,True,0.409,detection at its MDE (0.409) is 88% — consistent with the nominal 80% power,HG,NY Empire State Manufacturing Index,127
67,0.536410675208352,"[0.05, 0.1, 0.15, 0.2, 0.3, 0.4, 0.536, 0.671]",0.671,1.0,17,True,0.536,detection at its MDE (0.536) is 100% — consistent with the nominal 80% power,HG,Net Long-term TIC Flows,67
123,0.4115888797617477,"[0.05, 0.1, 0.15, 0.2, 0.3, 0.4, 0.412, 0.514]",0.412,0.8,17,True,0.412,detection at its MDE (0.412) is 80% — consistent with the nominal 80% power,HG,New Home Sales,123
70,0.5266776297218603,"[0.05, 0.1, 0.15, 0.2, 0.3, 0.4, 0.527, 0.658]",0.527,0.84,17,True,0.527,detection at its MDE (0.527) is 84% — consistent with the nominal 80% power,HG,New Home Sales MoM,70
52,0.5945590651599607,"[0.05, 0.1, 0.15, 0.2, 0.3, 0.4, 0.595, 0.743]",0.595,0.76,17,True,0.743,detection at its MDE (0.595) is 76% — consistent with the nominal 80% power,HG,Non Defense Goods Orders Ex Air,52
124,0.4100829737335035,"[0.05, 0.1, 0.15, 0.2, 0.3, 0.4, 0.41, 0.513]",0.513,1.0,17,True,0.513,detection at its MDE (0.410) is 100% — consistent with the nominal 80% power,HG,Non Farm Payrolls,126
124,0.4100829737335035,"[0.05, 0.1, 0.15, 0.2, 0.3, 0.4, 0.41, 0.513]",0.513,1.0,17,True,0.513,detection at its MDE (0.410) is 100% — consistent with the nominal 80% power,HG,Nonfarm Payrolls Private,126
53,0.5900919933378066,"[0.05, 0.1, 0.15, 0.2, 0.3, 0.4, 0.59, 0.738]",0.738,1.0,17,True,0.738,detection at its MDE (0.590) is 100% — consistent with the nominal 80% power,HG,PCE Price Index MoM,54
49,0.6085799284185589,"[0.05, 0.1, 0.15, 0.2, 0.3, 0.4, 0.609, 0.761]",0.609,0.84,17,True,0.609,detection at its MDE (0.609) is 84% — consistent with the nominal 80% power,HG,PCE Price Index YoY,50
126,0.40711993474820624,"[0.05, 0.1, 0.15, 0.2, 0.3, 0.4, 0.407, 0.509]",0.509,0.96,17,True,0.4,detection at its MDE (0.407) is 96% — consistent with the nominal 80% power,HG,PPI MoM,126
125,0.4085934230131286,"[0.05, 0.1, 0.15, 0.2, 0.3, 0.4, 0.409, 0.511]",0.409,0.84,17,True,0.4,detection at its MDE (0.409) is 84% — consistent with the nominal 80% power,HG,PPI YoY,125
127,0.40566222334560903,"[0.05, 0.1, 0.15, 0.2, 0.3, 0.4, 0.406, 0.507]",0.406,0.76,17,True,0.4,detection at its MDE (0.406) is 76% — consistent with the nominal 80% power,HG,Pending Home Sales MoM,127
109,0.4345723757557835,"[0.05, 0.1, 0.15, 0.2, 0.3, 0.4, 0.435, 0.543]",0.435,0.8,17,True,0.435,detection at its MDE (0.435) is 80% — consistent with the nominal 80% power,HG,Personal Income MoM,111
124,0.4100829737335035,"[0.05, 0.1, 0.15, 0.2, 0.3, 0.4, 0.41, 0.513]",0.513,0.96,17,True,0.4,detection at its MDE (0.410) is 96% — consistent with the nominal 80% power,HG,Personal Spending MoM,126
127,0.40566222334560903,"[0.05, 0.1, 0.15, 0.2, 0.3, 0.4, 0.406, 0.507]",0.406,0.68,17,True,0.4,detection at its MDE (0.406) is 68% — consistent with the nominal 80% power,HG,Philadelphia Fed Manufacturing Index,127
126,0.40711993474820624,"[0.05, 0.1, 0.15, 0.2, 0.3, 0.4, 0.407, 0.509]",0.509,0.96,17,True,0.4,detection at its MDE (0.407) is 96% — consistent with the nominal 80% power,HG,Retail Sales Ex Autos MoM,127
126,0.40711993474820624,"[0.05, 0.1, 0.15, 0.2, 0.3, 0.4, 0.407, 0.509]",0.509,0.96,17,True,0.407,detection at its MDE (0.407) is 96% — consistent with the nominal 80% power,HG,Retail Sales MoM,127
87,0.4799656186678168,"[0.05, 0.1, 0.15, 0.2, 0.3, 0.4, 0.48, 0.6]",0.48,0.64,17,False,0.6,detection at its MDE is only 64% (<17/25) — significantly BELOW nominal power,HG,Richmond Fed Manufacturing Index,87
127,0.40566222334560903,"[0.05, 0.1, 0.15, 0.2, 0.3, 0.4, 0.406, 0.507]",0.406,0.8,17,True,0.406,detection at its MDE (0.406) is 80% — consistent with the nominal 80% power,HG,S&P/Case-Shiller Home Price YoY,127
61,0.5575894430040756,"[0.05, 0.1, 0.15, 0.2, 0.3, 0.4, 0.558, 0.697]",0.558,0.64,17,False,0.697,detection at its MDE is only 64% (<17/25) — significantly BELOW nominal power,HG,Total Vehicle Sales,67
124,0.4100829737335035,"[0.05, 0.1, 0.15, 0.2, 0.3, 0.4, 0.41, 0.513]",0.513,1.0,17,True,0.41,detection at its MDE (0.410) is 100% — consistent with the nominal 80% power,HG,Unemployment Rate,126
127,0.40566222334560903,"[0.05, 0.1, 0.15, 0.2, 0.3, 0.4, 0.406, 0.507]",0.406,0.84,17,True,0.406,detection at its MDE (0.406) is 84% — consistent with the nominal 80% power,HG,Wholesale Inventories MoM,127
65,0.5432034742215733,"[0.05, 0.1, 0.15, 0.2, 0.3, 0.4, 0.543, 0.679]",0.679,1.0,17,True,0.543,detection at its MDE (0.543) is 100% — consistent with the nominal 80% power,HG,Wholesale Inventories MoM Adv,65
113,0.42761760619278244,"[0.05, 0.1, 0.15, 0.2, 0.3, 0.4, 0.428, 0.535]",0.428,0.84,17,True,0.428,detection at its MDE (0.428) is 84% — consistent with the nominal 80% power,NG,ADP Employment Change,113
286,0.2774373861772326,"[0.05, 0.1, 0.15, 0.2, 0.277, 0.3, 0.347, 0.4]",0.3,0.8,17,True,0.3,detection at its MDE (0.277) is 80% — consistent with the nominal 80% power,NG,API Crude Oil Stock Change,288
112,0.4293250835734287,"[0.05, 0.1, 0.15, 0.2, 0.3, 0.4, 0.429, 0.537]",0.537,1.0,17,True,0.429,detection at its MDE (0.429) is 100% — consistent with the nominal 80% power,NG,Average Hourly Earnings MoM,114
104,0.4437602858410957,"[0.05, 0.1, 0.15, 0.2, 0.3, 0.4, 0.444, 0.555]",0.444,0.68,17,True,0.555,detection at its MDE (0.444) is 68% — consistent with the nominal 80% power,NG,Average Hourly Earnings YoY,106
112,0.4293250835734287,"[0.05, 0.1, 0.15, 0.2, 0.3, 0.4, 0.429, 0.537]",0.537,0.96,17,True,0.4,detection at its MDE (0.429) is 96% — consistent with the nominal 80% power,NG,Average Weekly Hours,114
116,0.42261440904575215,"[0.05, 0.1, 0.15, 0.2, 0.3, 0.4, 0.423, 0.528]",0.423,0.72,17,True,0.528,detection at its MDE (0.423) is 72% — consistent with the nominal 80% power,NG,Balance of Trade,116
69,0.5298635577926925,"[0.05, 0.1, 0.15, 0.2, 0.3, 0.4, 0.53, 0.662]",0.53,0.72,17,True,0.662,detection at its MDE (0.530) is 72% — consistent with the nominal 80% power,NG,Building Permits,70
114,0.425930260057537,"[0.05, 0.1, 0.15, 0.2, 0.3, 0.4, 0.426, 0.532]",0.426,0.88,17,True,0.426,detection at its MDE (0.426) is 88% — consistent with the nominal 80% power,NG,Business Inventories MoM,115
115,0.42426265442766153,"[0.05, 0.1, 0.15, 0.2, 0.3, 0.4, 0.424, 0.53]",0.53,1.0,17,True,0.4,detection at its MDE (0.424) is 100% — consistent with the nominal 80% power,NG,CB Consumer Confidence,115
112,0.4293250835734287,"[0.05, 0.1, 0.15, 0.2, 0.3, 0.4, 0.429, 0.537]",0.537,1.0,17,True,0.429,detection at its MDE (0.429) is 100% — consistent with the nominal 80% power,NG,CB Leading Index MoM,113
62,0.5538875788154687,"[0.05, 0.1, 0.15, 0.2, 0.3, 0.4, 0.554, 0.692]",0.554,0.88,17,True,0.554,detection at its MDE (0.554) is 88% — consistent with the nominal 80% power,NG,CPI,62
113,0.42761760619278244,"[0.05, 0.1, 0.15, 0.2, 0.3, 0.4, 0.428, 0.535]",0.428,0.76,17,True,0.535,detection at its MDE (0.428) is 76% — consistent with the nominal 80% power,NG,Capacity Utilization,114
114,0.425930260057537,"[0.05, 0.1, 0.15, 0.2, 0.3, 0.4, 0.426, 0.532]",0.426,0.6,17,False,0.532,detection at its MDE is only 60% (<17/25) — significantly BELOW nominal power,NG,Chicago PMI,115
113,0.42761760619278244,"[0.05, 0.1, 0.15, 0.2, 0.3, 0.4, 0.428, 0.535]",0.428,0.76,17,True,0.535,detection at its MDE (0.428) is 76% — consistent with the nominal 80% power,NG,Construction Spending MoM,113
115,0.42426265442766153,"[0.05, 0.1, 0.15, 0.2, 0.3, 0.4, 0.424, 0.53]",0.53,1.0,17,True,0.53,detection at its MDE (0.424) is 100% — consistent with the nominal 80% power,NG,Consumer Credit Change,115
480,0.215992050007558,"[0.05, 0.1, 0.15, 0.2, 0.216, 0.27, 0.3, 0.4]",0.216,0.8,17,True,0.216,detection at its MDE (0.216) is 80% — consistent with the nominal 80% power,NG,Continuing Jobless Claims,480
110,0.4328020496930235,"[0.05, 0.1, 0.15, 0.2, 0.3, 0.4, 0.433, 0.541]",0.433,0.68,17,True,0.541,detection at its MDE (0.433) is 68% — consistent with the nominal 80% power,NG,Core Inflation Rate MoM,112
111,0.4310530937942487,"[0.05, 0.1, 0.15, 0.2, 0.3, 0.4, 0.431, 0.539]",0.539,0.96,17,True,0.431,detection at its MDE (0.431) is 96% — consistent with the nominal 80% power,NG,Core Inflation Rate YoY,113
112,0.4293250835734287,"[0.05, 0.1, 0.15, 0.2, 0.3, 0.4, 0.429, 0.537]",0.537,1.0,17,True,0.537,detection at its MDE (0.429) is 100% — consistent with the nominal 80% power,NG,Core PCE Price Index MoM,113
111,0.4310530937942487,"[0.05, 0.1, 0.15, 0.2, 0.3, 0.4, 0.431, 0.539]",0.539,1.0,17,True,0.539,detection at its MDE (0.431) is 100% — consistent with the nominal 80% power,NG,Core PCE Price Index YoY,112
114,0.425930260057537,"[0.05, 0.1, 0.15, 0.2, 0.3, 0.4, 0.426, 0.532]",0.426,0.8,17,True,0.426,detection at its MDE (0.426) is 80% — consistent with the nominal 80% power,NG,Core PPI MoM,114
114,0.425930260057537,"[0.05, 0.1, 0.15, 0.2, 0.3, 0.4, 0.426, 0.532]",0.426,0.76,17,True,0.532,detection at its MDE (0.426) is 76% — consistent with the nominal 80% power,NG,Core PPI YoY,114
115,0.42426265442766153,"[0.05, 0.1, 0.15, 0.2, 0.3, 0.4, 0.424, 0.53]",0.53,0.92,17,True,0.53,detection at its MDE (0.424) is 92% — consistent with the nominal 80% power,NG,Durable Goods Orders Ex Transp MoM,115
115,0.42426265442766153,"[0.05, 0.1, 0.15, 0.2, 0.3, 0.4, 0.424, 0.53]",0.53,1.0,17,True,0.424,detection at its MDE (0.424) is 100% — consistent with the nominal 80% power,NG,Durable Goods Orders MoM,115
497,0.2123577898795808,"[0.05, 0.1, 0.15, 0.2, 0.212, 0.265, 0.3, 0.4]",0.265,1.0,17,True,0.212,detection at its MDE (0.212) is 100% — consistent with the nominal 80% power,NG,EIA Crude Oil Stocks Change,498
333,0.25788004564153333,"[0.05, 0.1, 0.15, 0.2, 0.258, 0.3, 0.322, 0.4]",0.258,0.68,17,True,0.3,detection at its MDE (0.258) is 68% — consistent with the nominal 80% power,NG,EIA Distillate Stocks Change,334
491,0.21361943727317473,"[0.05, 0.1, 0.15, 0.2, 0.214, 0.267, 0.3, 0.4]",0.214,0.8,17,True,0.2,detection at its MDE (0.214) is 80% — consistent with the nominal 80% power,NG,EIA Gasoline Stocks Change,492
