n,mde_r,grid,judge_at_r,at_mde_rate,min_hits_required,pass_,smallest_detected,reason,instrument,release,n_matrix
73,0.5174504535373323,"[0.05, 0.1, 0.15, 0.2, 0.3, 0.4, 0.517, 0.647]",0.647,1.0,17,True,0.517,detection at its MDE (0.517) is 100% — consistent with the nominal 80% power,CL,ISM Non-Manufacturing Business Activity,73
87,0.4799656186678168,"[0.05, 0.1, 0.15, 0.2, 0.3, 0.4, 0.48, 0.6]",0.48,0.92,17,True,0.48,detection at its MDE (0.480) is 92% — consistent with the nominal 80% power,CL,ISM Non-Manufacturing PMI,87
124,0.4100829737335035,"[0.05, 0.1, 0.15, 0.2, 0.3, 0.4, 0.41, 0.513]",0.513,1.0,17,True,0.4,detection at its MDE (0.410) is 100% — consistent with the nominal 80% power,CL,Import Prices MoM,124
125,0.4085934230131286,"[0.05, 0.1, 0.15, 0.2, 0.3, 0.4, 0.409, 0.511]",0.409,0.72,17,True,0.4,detection at its MDE (0.409) is 72% — consistent with the nominal 80% power,CL,Industrial Production MoM,126
122,0.4131114414473481,"[0.05, 0.1, 0.15, 0.2, 0.3, 0.4, 0.413, 0.516]",0.516,0.96,17,True,0.413,detection at its MDE (0.413) is 96% — consistent with the nominal 80% power,CL,Inflation Rate MoM,124
123,0.4115888797617477,"[0.05, 0.1, 0.15, 0.2, 0.3, 0.4, 0.412, 0.514]",0.412,0.88,17,True,0.4,detection at its MDE (0.412) is 88% — consistent with the nominal 80% power,CL,Inflation Rate YoY,125
547,0.20264615191443142,"[0.05, 0.1, 0.15, 0.2, 0.203, 0.253, 0.3, 0.4]",0.203,0.72,17,True,0.2,detection at its MDE (0.203) is 72% — consistent with the nominal 80% power,CL,Initial Jobless Claims,548
124,0.4100829737335035,"[0.05, 0.1, 0.15, 0.2, 0.3, 0.4, 0.41, 0.513]",0.513,0.96,17,True,0.513,detection at its MDE (0.410) is 96% — consistent with the nominal 80% power,CL,JOLTs Job Openings,124
124,0.4100829737335035,"[0.05, 0.1, 0.15, 0.2, 0.3, 0.4, 0.41, 0.513]",0.513,1.0,17,True,0.4,detection at its MDE (0.410) is 100% — consistent with the nominal 80% power,CL,Manufacturing Payrolls,126
88,0.4775876205624139,"[0.05, 0.1, 0.15, 0.2, 0.3, 0.4, 0.478, 0.597]",0.478,0.76,17,True,0.597,detection at its MDE (0.478) is 76% — consistent with the nominal 80% power,CL,Manufacturing Production MoM,89
69,0.5298635577926925,"[0.05, 0.1, 0.15, 0.2, 0.3, 0.4, 0.53, 0.662]",0.53,0.92,17,True,0.53,detection at its MDE (0.530) is 92% — consistent with the nominal 80% power,CL,Michigan Consumer Expectations Final,69
94,0.46402146418032153,"[0.05, 0.1, 0.15, 0.2, 0.3, 0.4, 0.464, 0.58]",0.58,1.0,17,True,0.464,detection at its MDE (0.464) is 100% — consistent with the nominal 80% power,CL,Michigan Consumer Expectations Prel,94
126,0.40711993474820624,"[0.05, 0.1, 0.15, 0.2, 0.3, 0.4, 0.407, 0.509]",0.509,1.0,17,True,0.407,detection at its MDE (0.407) is 100% — consistent with the nominal 80% power,CL,Michigan Consumer Sentiment Final,127
127,0.40566222334560903,"[0.05, 0.1, 0.15, 0.2, 0.3, 0.4, 0.406, 0.507]",0.406,0.92,17,True,0.406,detection at its MDE (0.406) is 92% — consistent with the nominal 80% power,CL,Michigan Consumer Sentiment Prel,127
71,0.5235478653387513,"[0.05, 0.1, 0.15, 0.2, 0.3, 0.4, 0.524, 0.654]",0.524,0.8,17,True,0.524,detection at its MDE (0.524) is 80% — consistent with the nominal 80% power,CL,Michigan Current Conditions Final,72
96,0.4597485116306709,"[0.05, 0.1, 0.15, 0.2, 0.3, 0.4, 0.46, 0.575]",0.46,0.88,17,True,0.46,detection at its MDE (0.460) is 88% — consistent with the nominal 80% power,CL,Michigan Current Conditions Prel,96
123,0.4115888797617477,"[0.05, 0.1, 0.15, 0.2, 0.3, 0.4, 0.412, 0.514]",0.412,0.72,17,True,0.514,detection at its MDE (0.412) is 72% — consistent with the nominal 80% power,CL,Monthly Budget Statement,124
127,0.40566222334560903,"[0.05, 0.1, 0.15, 0.2, 0.3, 0.4, 0.406, 0.507]",0.406,0.8,17,True,0.406,detection at its MDE (0.406) is 80% — consistent with the nominal 80% power,CL,NAHB Housing Market Index,127
89,0.47524438558718884,"[0.05, 0.1, 0.15, 0.2, 0.3, 0.4, 0.475, 0.594]",0.594,1.0,17,True,0.594,detection at its MDE (0.475) is 100% — consistent with the nominal 80% power,CL,NFIB Business Optimism Index,89
125,0.4085934230131286,"[0.05, 0.1, 0.15, 0.2, 0.3, 0.4, 0.409, 0.511]",0.409,0.68,17,True,0.511,detection at its MDE (0.409) is 68% — consistent with the nominal 80% power,CL,NY Empire State Manufacturing Index,127
67,0.536410675208352,"[0.05, 0.1, 0.15, 0.2, 0.3, 0.4, 0.536, 0.671]",0.671,1.0,17,True,0.671,detection at its MDE (0.536) is 100% — consistent with the nominal 80% power,CL,Net Long-term TIC Flows,67
123,0.4115888797617477,"[0.05, 0.1, 0.15, 0.2, 0.3, 0.4, 0.412, 0.514]",0.412,0.8,17,True,0.412,detection at its MDE (0.412) is 80% — consistent with the nominal 80% power,CL,New Home Sales,123
70,0.5266776297218603,"[0.05, 0.1, 0.15, 0.2, 0.3, 0.4, 0.527, 0.658]",0.527,0.88,17,True,0.527,detection at its MDE (0.527) is 88% — consistent with the nominal 80% power,CL,New Home Sales MoM,70
52,0.5945590651599607,"[0.05, 0.1, 0.15, 0.2, 0.3, 0.4, 0.595, 0.743]",0.595,0.84,17,True,0.595,detection at its MDE (0.595) is 84% — consistent with the nominal 80% power,CL,Non Defense Goods Orders Ex Air,52
124,0.4100829737335035,"[0.05, 0.1, 0.15, 0.2, 0.3, 0.4, 0.41, 0.513]",0.513,1.0,17,True,0.41,detection at its MDE (0.410) is 100% — consistent with the nominal 80% power,CL,Non Farm Payrolls,126
124,0.4100829737335035,"[0.05, 0.1, 0.15, 0.2, 0.3, 0.4, 0.41, 0.513]",0.513,1.0,17,True,0.41,detection at its MDE (0.410) is 100% — consistent with the nominal 80% power,CL,Nonfarm Payrolls Private,126
53,0.5900919933378066,"[0.05, 0.1, 0.15, 0.2, 0.3, 0.4, 0.59, 0.738]",0.738,0.96,17,True,0.59,detection at its MDE (0.590) is 96% — consistent with the nominal 80% power,CL,PCE Price Index MoM,54
49,0.6085799284185589,"[0.05, 0.1, 0.15, 0.2, 0.3, 0.4, 0.609, 0.761]",0.609,0.68,17,True,0.761,detection at its MDE (0.609) is 68% — consistent with the nominal 80% power,CL,PCE Price Index YoY,50
126,0.40711993474820624,"[0.05, 0.1, 0.15, 0.2, 0.3, 0.4, 0.407, 0.509]",0.509,1.0,17,True,0.407,detection at its MDE (0.407) is 100% — consistent with the nominal 80% power,CL,PPI MoM,126
125,0.4085934230131286,"[0.05, 0.1, 0.15, 0.2, 0.3, 0.4, 0.409, 0.511]",0.409,0.8,17,True,0.4,detection at its MDE (0.409) is 80% — consistent with the nominal 80% power,CL,PPI YoY,125
