instrument,release,n,pearson_r,pearson_p,spearman_r,spearman_p,passes_alpha,hit_rate,rule_accuracy,rule_ci_lo,rule_ci_hi,tradeable_possible,provenance_verified,perm_p,control_spearman_r,control_spearman_p
CL,Durable Goods Orders MoM,103,0.0627901024635069,0.5286324317553379,0.1402934586829504,0.15752422933019466,False,0.5242718446601942,0.5242718446601942,0.4286982092033799,0.6181001035031775,False,True,,,
CL,EIA Crude Oil Stocks Change,524,0.024580421961007834,0.5745162422105441,-0.12664694277241503,0.0036859463064513507,False,0.5153846153846153,0.5153846153846153,0.4724747308084631,0.5580688615905905,False,False,,,
CL,EIA Distillate Stocks Change,309,-0.1813677403795882,0.001365586941680336,-0.17795928975653744,0.0016856366297252324,False,0.4262295081967213,0.5737704918032787,0.5176920251364778,0.6280138013143135,False,False,,,
CL,EIA Gasoline Stocks Change,516,-0.044017093603374025,0.3183108770556216,-0.07027182747502056,0.11085334783632445,False,0.47265625,0.52734375,0.48405627981769284,0.5702239636972724,False,False,,,
CL,EIA Natural Gas Stocks Change,516,-0.02026826752462561,0.6459920733714742,-0.059612911234347365,0.17635495989700753,False,0.492,0.508,0.4642858166316636,0.5515921939208948,False,False,,,
CL,Existing Home Sales,103,0.1021639638930415,0.3044737480558112,0.1393582612181621,0.16033912653746754,False,0.5151515151515151,0.5151515151515151,0.4179933827002808,0.6111777320850311,False,True,,,
CL,Existing Home Sales MoM,48,0.08875972055747239,0.5485584856158662,0.17500814346975938,0.234148820022321,False,0.5555555555555556,0.5555555555555556,0.411761344903146,0.6906106996783098,False,True,,,
CL,Export Prices MoM,100,-0.035447190752278666,0.7262446023885685,-0.01083711622301974,0.9147796209051052,False,0.5306122448979592,0.5306122448979592,0.4325246720221616,0.6263904306224068,False,True,,,
CL,Factory Orders MoM,104,-0.0630070272180909,0.5251584780837613,-0.018750716821566808,0.8501508116073678,False,0.5,0.5,0.40474447238758343,0.5952555276124165,False,True,,,
CL,Fed Interest Rate Decision,33,-0.37399703028107467,0.03202451210200016,-0.11795426267376423,0.5132684135750003,False,,,,,False,True,,,
CL,Goods Trade Balance Adv,36,-0.26426297305444585,0.11936292131044039,-0.06306306306306307,0.7148212057699707,False,0.5142857142857142,0.5142857142857142,0.35568804592484693,0.6700576400075463,False,True,,,
CL,House Price Index MoM,57,-0.09648116019980976,0.4752598552612223,-0.06040964480165932,0.6553180463848146,False,0.4642857142857143,0.5357142857142857,0.4070418193278418,0.6598014709045182,False,True,,,
CL,Housing Starts,99,-0.02947035359705861,0.7721489121539322,-0.028948759891170836,0.7760747324488403,False,0.4329896907216495,0.5670103092783505,0.4677158455418069,0.6611993858699364,False,True,,,
CL,IBD/TIPP Economic Optimism,28,,,,,False,,,,,False,True,,,
CL,ISM Manufacturing Employment,51,-0.023841825992051747,0.868104098269627,-0.07131221719457012,0.6189919198199435,False,0.47058823529411764,0.5294117647058824,0.3952330420712258,0.6594700979329444,False,True,,,
CL,ISM Manufacturing PMI,104,0.2818241629637342,0.003751823535775305,0.27997439453750134,0.003995929314041051,False,0.6213592233009708,0.6213592233009708,0.5249187199773719,0.7090728435554152,False,True,,,
CL,ISM Manufacturing Prices,101,0.1437476914080314,0.15153681951468959,0.1021083284799068,0.30960010592872533,False,0.53,0.53,0.43288856967879374,0.6248918204277839,False,True,,,
CL,ISM Non-Manufacturing Business Activity,49,0.04623221953071919,0.7524277677823404,0.06346938775510204,0.6648305067034974,False,0.5416666666666666,0.5416666666666666,0.4029107454256628,0.6742475770994771,False,True,,,
CL,ISM Non-Manufacturing PMI,63,0.0036000843874872037,0.9776600345189008,0.026570019323381763,0.8362392235152363,False,0.5081967213114754,0.5081967213114754,0.38602618488383267,0.6293960467895399,False,True,,,
CL,Import Prices MoM,100,-0.16971816612879045,0.0913893383679918,-0.04586872447882775,0.6504342194868137,False,0.5306122448979592,0.5306122448979592,0.4325246720221616,0.6263904306224068,False,True,,,
CL,Industrial Production MoM,101,-0.10039634104823714,0.31782452828153623,-0.03948793812659419,0.6950122897777935,False,0.46938775510204084,0.5306122448979591,0.4325246720221616,0.6263904306224068,False,True,,,
CL,Inflation Rate MoM,99,-0.31018199365079546,0.0017809451793202008,-0.33789734075448363,0.0006250049808897337,False,0.3939393939393939,0.6060606060606061,0.5075800287026935,0.6966177747944906,False,True,,,
CL,Inflation Rate YoY,100,-0.30029972118339304,0.002400318439212693,-0.30773477347734773,0.001841896236772622,False,0.35,0.65,0.552544432945526,0.7363575175873623,True,True,,,
CL,Initial Jobless Claims,523,0.04355807639719119,0.32011258913885077,-0.07859462799646928,0.07251457217556054,False,0.44901960784313727,0.5509803921568628,0.5075910615678176,0.5936074678758002,False,True,,,
CL,JOLTs Job Openings,100,-0.0029705958976881893,0.9765993734241997,-0.052097834961267124,0.6067080484328912,False,0.4845360824742268,0.5154639175257731,0.4173312640173833,0.6124184047699422,False,True,,,
CL,Manufacturing Payrolls,100,-0.07059270505994948,0.48522522420214603,-0.0690551126769165,0.4948060482795196,False,0.45918367346938777,0.5408163265306123,0.44248041590107046,0.6360730542916875,False,True,,,
CL,Manufacturing Production MoM,64,-0.2625866587980914,0.036061904585250264,-0.24125457875457873,0.054798660011252234,False,0.4126984126984127,0.5873015873015873,0.46415317694583047,0.7004153437564391,False,True,,,
CL,Michigan Consumer Expectations Final,45,0.22866944719883966,0.13081540111277723,0.2757666591304641,0.06671688277381525,False,0.6511627906976745,0.6511627906976745,0.5017178198934141,0.775814100050897,True,True,,,
CL,Michigan Consumer Expectations Prel,70,0.07856106475884392,0.517985151688205,0.12915868392309404,0.28658959110181365,False,0.5735294117647058,0.5735294117647058,0.4551678231383615,0.68402756854637,False,True,,,
CL,Michigan Consumer Sentiment Final,102,0.01868959907624818,0.8520953052118888,0.15605668214735166,0.11728233091245882,False,0.5408163265306123,0.5408163265306123,0.44248041590107046,0.6360730542916875,False,True,,,
CL,Michigan Consumer Sentiment Prel,103,0.03526135895716528,0.7236339838143517,0.02771569312243623,0.7810859736362434,False,0.5151515151515151,0.5151515151515151,0.4179933827002808,0.6111777320850311,False,True,,,
CL,Michigan Current Conditions Final,47,0.07086867338222527,0.6359533147495111,0.04498149861239592,0.7640049816570391,False,0.4782608695652174,0.5217391304347826,0.3813741306972722,0.6587531056888597,False,True,,,
CL,Michigan Current Conditions Prel,72,0.18024750434555006,0.129741381876565,0.15870923138038884,0.1829980083224713,False,0.5428571428571428,0.5428571428571428,0.42698259202847233,0.6542725740486636,False,True,,,
CL,Monthly Budget Statement,99,0.2502445539131136,0.012483875838831402,0.08755720470006184,0.3888110007493361,False,0.5151515151515151,0.5151515151515151,0.4179933827002808,0.6111777320850311,False,True,,,
CL,NAHB Housing Market Index,103,0.25047417377891046,0.010715978243877641,0.19714009576945044,0.045937269863586705,False,0.5148514851485149,0.5148514851485149,0.418639265935981,0.6099753683288778,False,True,,,
CL,NFIB Business Optimism Index,65,-0.021396510898717025,0.8656579172972725,0.052272727272727276,0.6792096291924286,False,0.46153846153846156,0.5384615384615384,0.4185339926376882,0.6540966587971129,False,True,,,
CL,NY Empire State Manufacturing Index,101,0.02753128896564097,0.784627347234493,-0.03911519062805407,0.6977508086104073,False,0.46938775510204084,0.5306122448979591,0.4325246720221616,0.6263904306224068,False,True,,,
CL,Net Long-term TIC Flows,43,-0.01071575986314923,0.9456270338592918,0.11303658406515696,0.47047489317717706,False,0.6341463414634146,0.6341463414634146,0.48120701084363826,0.7641016898287242,True,True,,,
CL,New Home Sales,99,0.021495631617923894,0.8327414220718247,-0.03016734901095333,0.7669118819842099,False,0.4791666666666667,0.5208333333333333,0.42203767704561446,0.6180258401262589,False,True,,,
CL,New Home Sales MoM,46,-0.08607038456222059,0.5695261064354591,-0.029787234042553193,0.844210636087786,False,0.5555555555555556,0.5555555555555556,0.411761344903146,0.6906106996783098,False,True,,,
CL,Non Defense Goods Orders Ex Air,28,,,,,False,,,,,False,True,,,
CL,Non Farm Payrolls,100,0.03393818156548267,0.73746552177665,0.015961644049408922,0.8747564860204267,False,0.4387755102040816,0.5612244897959184,0.46251002106890016,0.6553201842202367,False,True,,,
CL,Nonfarm Payrolls Private,100,0.03362028669673095,0.7398365067431535,0.000372038319948629,0.997068891214443,False,0.46938775510204084,0.5306122448979591,0.4325246720221616,0.6263904306224068,False,True,,,
CL,PCE Price Index MoM,29,,,,,False,,,,,False,True,,,
CL,PCE Price Index YoY,26,,,,,False,,,,,False,True,,,
CL,PPI MoM,102,0.09682970026354612,0.3329660545311177,0.06574479574582186,0.5114913157037,False,0.51,0.51,0.4134801193183753,0.6057800107171506,False,True,,,
CL,PPI YoY,101,0.1639861656395595,0.10128823170205857,0.09757162950428529,0.33169981993566167,False,0.5050505050505051,0.5050505050505051,0.4082317028206707,0.6014920021077665,False,True,,,
CL,Pending Home Sales MoM,103,0.12009406966133732,0.22692202789668744,0.14532054894671226,0.14302185288749872,False,0.5204081632653061,0.5204081632653061,0.4226080629859068,0.6166686721104722,False,True,,,
CL,Personal Income MoM,85,-0.06694364352785805,0.542700098297781,-0.020539478891582308,0.8519895608533604,False,0.40963855421686746,0.5903614457831325,0.4828576852132005,0.6898708732816519,False,True,,,
CL,Personal Spending MoM,100,0.46931745126476726,8.41583404552628e-07,0.08793305710527756,0.38432116544520634,False,0.5204081632653061,0.5204081632653061,0.4226080629859068,0.6166686721104722,False,True,,,
