title,et,status
Fed Interest Rate Decision,2018-03-21 14:00:00,confirmed
Non Farm Payrolls,2018-04-06 08:30:00,confirmed
Inflation Rate MoM,2018-04-11 08:30:00,confirmed
Fed Interest Rate Decision,2018-05-02 14:00:00,confirmed
Non Farm Payrolls,2018-05-04 08:30:00,confirmed
Inflation Rate MoM,2018-05-10 08:30:00,confirmed
Non Farm Payrolls,2018-06-01 08:30:00,confirmed
Inflation Rate MoM,2018-06-12 08:30:00,confirmed
Fed Interest Rate Decision,2018-06-13 14:00:00,confirmed
Non Farm Payrolls,2018-07-06 08:30:00,confirmed
Inflation Rate MoM,2018-07-12 08:30:00,confirmed
Fed Interest Rate Decision,2018-08-01 14:00:00,confirmed
Non Farm Payrolls,2018-08-03 08:30:00,confirmed
Inflation Rate MoM,2018-08-10 08:30:00,confirmed
Non Farm Payrolls,2018-09-07 08:30:00,confirmed
Inflation Rate MoM,2018-09-13 08:30:00,confirmed
Fed Interest Rate Decision,2018-09-26 14:00:00,confirmed
Non Farm Payrolls,2018-10-05 08:30:00,confirmed
Inflation Rate MoM,2018-10-11 08:30:00,confirmed
Non Farm Payrolls,2018-11-02 08:30:00,confirmed
Fed Interest Rate Decision,2018-11-08 14:00:00,confirmed
Inflation Rate MoM,2018-11-14 08:30:00,confirmed
Non Farm Payrolls,2018-12-07 08:30:00,confirmed
Inflation Rate MoM,2018-12-12 08:30:00,confirmed
Fed Interest Rate Decision,2018-12-19 14:00:00,confirmed
Non Farm Payrolls,2019-01-04 08:30:00,confirmed
Inflation Rate MoM,2019-01-11 08:30:00,confirmed
Fed Interest Rate Decision,2019-01-30 14:00:00,confirmed
Non Farm Payrolls,2019-02-01 08:30:00,confirmed
Inflation Rate MoM,2019-02-13 08:30:00,confirmed
Non Farm Payrolls,2019-03-08 08:30:00,confirmed
Inflation Rate MoM,2019-03-12 08:30:00,confirmed
Fed Interest Rate Decision,2019-03-20 14:00:00,confirmed
Non Farm Payrolls,2019-04-05 08:30:00,confirmed
Inflation Rate MoM,2019-04-10 08:30:00,confirmed
Fed Interest Rate Decision,2019-05-01 14:00:00,confirmed
Non Farm Payrolls,2019-05-03 08:30:00,confirmed
Inflation Rate MoM,2019-05-10 08:30:00,confirmed
Non Farm Payrolls,2019-06-07 08:30:00,confirmed
Inflation Rate MoM,2019-06-12 08:30:00,confirmed
