cell,tok,arm,N,rule,n,ticks,conf_n,conf_raw,conf_25,conf_t25,conf_mean25,expl_25,expl_t25,fresh_25,fresh_n,yrs_pos,yrs,maxyr_share
SI_globex_5_R1,SI,globex,5,R1,3105,0.17,1530,-41700.0,-79950.0,-2.323,-52.25,-123850.0,-3.248,139425.0,387,2,7,
SI_globex_5_R2,SI,globex,5,R2,3103,-0.38,1530,-29377.5,-67627.5,-1.719,-44.2,-136445.36,-3.592,96685.71,387,2,7,
SI_globex_5_R3,SI,globex,5,R3,3105,-0.82,1530,-8175.0,-46425.0,-4.25,-30.34,-51350.0,-3.833,-43437.5,387,1,7,
SI_globex_15_R1,SI,globex,15,R1,1309,2.68,682,-10450.0,-27500.0,-0.79,-40.32,-71775.0,-2.093,154350.0,256,2,7,
SI_globex_15_R2,SI,globex,15,R2,1309,0.09,682,542.68,-16507.32,-0.54,-24.2,-30082.86,-1.043,16960.0,256,2,7,
SI_globex_15_R3,SI,globex,15,R3,1309,0.86,682,-25925.0,-42975.0,-3.325,-63.01,-31712.5,-1.934,70037.5,256,0,7,
SI_globex_30_R1,SI,globex,30,R1,567,8.62,278,-34775.0,-41725.0,-1.412,-150.09,-42500.0,-1.462,192275.0,167,1,7,
SI_globex_30_R2,SI,globex,30,R2,567,-0.46,278,-31989.64,-38939.64,-2.189,-140.07,-18274.64,-0.993,36533.21,167,1,7,
SI_globex_30_R3,SI,globex,30,R3,567,5.38,278,-11425.0,-18375.0,-1.394,-66.1,-18012.5,-1.098,98512.5,167,0,7,
SI_globex_60_R1,SI,globex,60,R1,279,12.36,144,-12150.0,-15750.0,-0.469,-109.37,-24375.0,-1.132,119375.0,93,1,7,
SI_globex_60_R2,SI,globex,60,R2,279,6.56,144,-23792.14,-27392.14,-1.878,-190.22,-1593.75,-0.101,67774.64,93,1,7,
SI_globex_60_R3,SI,globex,60,R3,279,7.62,144,-6450.0,-10050.0,-0.747,-69.79,-9737.5,-0.679,65962.5,93,1,7,
SI_cash_0_C1,SI,cash,0,C1,583,7.66,257,9650.0,3225.0,0.14,12.55,13725.0,0.456,80125.0,64,4,7,4.5
HG_cash_5_R1,HG,cash,5,R1,4117,-0.33,1805,-29287.5,-74412.5,-3.866,-41.23,-65137.5,-4.122,19437.5,412,0,7,
HG_cash_5_R2,HG,cash,5,R2,4103,0.25,1805,-16923.75,-62048.75,-3.978,-34.38,-36578.66,-2.529,8746.61,412,2,7,
HG_cash_5_R3,HG,cash,5,R3,4117,-0.07,1805,-9800.0,-54925.0,-6.623,-30.43,-55543.75,-9.881,3843.75,412,0,7,
HG_cash_15_R1,HG,cash,15,R1,4077,-0.71,1796,-55462.5,-100362.5,-4.833,-55.88,-44700.0,-2.397,6762.5,409,1,7,
HG_cash_15_R2,HG,cash,15,R2,4063,-0.47,1796,-33730.18,-78630.18,-5.606,-43.78,-53375.45,-3.92,6482.5,409,0,7,
HG_cash_15_R3,HG,cash,15,R3,4077,-0.53,1796,-15518.75,-60418.75,-5.135,-33.64,-64187.5,-7.298,-4487.5,409,0,7,
HG_cash_30_R1,HG,cash,30,R1,3980,-0.69,1776,-50775.0,-95175.0,-4.646,-53.59,-45812.5,-2.458,6987.5,400,0,7,
HG_cash_30_R2,HG,cash,30,R2,3967,-0.66,1776,-33607.32,-78007.32,-5.994,-43.92,-32506.07,-2.415,-21501.7,400,0,7,
HG_cash_30_R3,HG,cash,30,R3,3980,-0.06,1776,-12956.25,-57356.25,-4.13,-32.3,-53975.0,-5.015,9062.5,400,0,7,
HG_cash_60_R1,HG,cash,60,R1,3687,-0.28,1640,-17775.0,-58775.0,-3.097,-35.84,-56112.5,-3.336,9725.0,371,1,7,
HG_cash_60_R2,HG,cash,60,R2,3675,-0.28,1640,-17125.36,-58125.36,-4.753,-35.44,-29707.95,-2.523,-17104.11,371,1,7,
HG_cash_60_R3,HG,cash,60,R3,3687,-0.08,1640,-22768.75,-63768.75,-4.246,-38.88,-33143.75,-2.69,1018.75,371,1,7,
HG_globex_5_R1,HG,globex,5,R1,2724,-2.62,1499,-37425.0,-74900.0,-3.967,-49.97,-60775.0,-4.175,-21800.0,299,2,7,
HG_globex_5_R2,HG,globex,5,R2,2721,-1.46,1499,-31229.82,-68704.82,-3.076,-45.83,-31598.48,-1.987,-17430.71,299,1,7,
HG_globex_5_R3,HG,globex,5,R3,2724,-0.18,1499,-1000.0,-38475.0,-5.848,-25.67,-22437.5,-3.591,-13206.25,299,1,7,
