cell,tok,arm,N,rule,n_conf,mean25,t25,mde,expl_mean25,yrs_pos,max_year_share,loyo_min,ticks,verdict
ES_cash_5_R3,ES,cash,5,R3,1804,-39.23,-4.338,25.32,-16.69,0/7,,-69600.0,-0.66,NEGATIVE (t) but UNDERPOWERED vs $25
ES_cash_15_R1,ES,cash,15,R1,1800,7.24,0.273,74.39,-45.88,4/7,2.44,-18788.0,0.92,UNDERPOWERED
ES_cash_15_R2,ES,cash,15,R2,1800,13.09,0.733,50.04,-32.47,5/7,0.72,6673.0,1.65,UNDERPOWERED
ES_cash_15_R3,ES,cash,15,R3,1800,-19.79,-1.501,36.92,-31.92,1/7,,-51981.0,-0.14,UNDERPOWERED
ES_cash_30_R1,ES,cash,30,R1,1793,7.42,0.272,76.39,-48.78,4/7,2.16,-15450.0,0.56,UNDERPOWERED
ES_cash_30_R2,ES,cash,30,R2,1793,-12.81,-0.782,45.85,-42.39,2/7,,-37235.0,0.23,UNDERPOWERED
ES_cash_30_R3,ES,cash,30,R3,1793,-14.61,-0.908,45.08,-38.18,3/7,,-30919.0,0.52,UNDERPOWERED
ES_cash_60_R1,ES,cash,60,R1,1747,6.83,0.255,75.02,-34.75,3/7,3.21,-26375.0,0.99,UNDERPOWERED
ES_cash_60_R2,ES,cash,60,R2,1747,-17.36,-1.153,42.17,-25.48,2/7,,-35053.0,0.88,UNDERPOWERED
ES_cash_60_R3,ES,cash,60,R3,1747,-6.28,-0.33,53.26,-29.44,3/7,,-22825.0,0.77,UNDERPOWERED
ES_globex_5_R1,ES,globex,5,R1,1807,-8.16,-0.383,59.7,-67.97,2/7,,-72675.0,-0.85,UNDERPOWERED
ES_globex_5_R2,ES,globex,5,R2,1807,-1.26,-0.057,61.98,-73.65,3/7,,-31108.0,-0.47,UNDERPOWERED
ES_globex_5_R3,ES,globex,5,R3,1807,-29.61,-4.448,18.64,-34.47,0/7,,-48762.0,-0.35,NEGATIVE
ES_globex_15_R1,ES,globex,15,R1,1802,1.03,0.043,66.32,-64.94,2/7,37.0,-66600.0,-0.51,UNDERPOWERED
ES_globex_15_R2,ES,globex,15,R2,1802,-10.56,-0.486,60.88,-62.09,3/7,,-42973.0,-0.86,UNDERPOWERED
ES_globex_15_R3,ES,globex,15,R3,1802,-30.54,-4.023,21.26,-39.48,0/7,,-50281.0,-0.58,NEGATIVE
ES_globex_30_R1,ES,globex,30,R1,1747,-12.27,-0.488,70.45,-41.29,2/7,,-74238.0,-0.05,UNDERPOWERED
ES_globex_30_R2,ES,globex,30,R2,1747,5.97,0.253,66.02,-45.99,2/7,1.75,-7840.0,0.59,UNDERPOWERED
ES_globex_30_R3,ES,globex,30,R3,1747,-36.04,-4.023,25.09,-39.29,0/7,,-59844.0,-1.27,NEGATIVE (t) but UNDERPOWERED vs $25
ES_globex_60_R1,ES,globex,60,R1,1657,4.19,0.141,83.24,-24.45,2/7,10.3,-64525.0,0.89,UNDERPOWERED
ES_globex_60_R2,ES,globex,60,R2,1657,16.71,0.642,72.86,-32.33,4/7,1.07,-1989.0,1.91,UNDERPOWERED
ES_globex_60_R3,ES,globex,60,R3,1657,-35.04,-3.332,29.45,-31.57,1/7,,-60119.0,-0.66,NEGATIVE (t) but UNDERPOWERED vs $25
ES_cash_0_C1,ES,cash,0,C1,285,-161.45,-1.636,276.27,-52.91,2/7,,-53775.0,-2.89,UNDERPOWERED
GC_cash_5_R1,GC,cash,5,R1,1806,7.86,0.449,49.01,-28.95,4/7,0.79,3015.0,0.75,UNDERPOWERED
GC_cash_5_R2,GC,cash,5,R2,1807,15.89,1.029,43.21,-29.51,6/7,0.4,17120.0,1.35,UNDERPOWERED
GC_cash_5_R3,GC,cash,5,R3,1806,-33.03,-5.77,16.03,-23.48,0/7,,-56730.0,-0.45,NEGATIVE
GC_cash_15_R1,GC,cash,15,R1,1798,-6.88,-0.344,56.05,-46.79,5/7,,-14655.0,-1.85,UNDERPOWERED
GC_cash_15_R2,GC,cash,15,R2,1798,-18.11,-1.284,39.5,-53.87,2/7,,-34196.0,-1.59,UNDERPOWERED
GC_cash_15_R3,GC,cash,15,R3,1798,-24.77,-2.364,29.33,-15.47,0/7,,-44345.0,-1.15,NEGATIVE (t) but UNDERPOWERED vs $25
GC_cash_30_R1,GC,cash,30,R1,1773,-12.33,-0.623,55.41,-34.23,4/7,,-31440.0,-2.45,UNDERPOWERED
GC_cash_30_R2,GC,cash,30,R2,1773,-34.09,-2.65,36.02,-42.59,0/7,,-55418.0,-2.7,NEGATIVE (t) but UNDERPOWERED vs $25
GC_cash_30_R3,GC,cash,30,R3,1773,-27.49,-2.243,34.32,-27.91,1/7,,-60570.0,-2.69,NEGATIVE (t) but UNDERPOWERED vs $25
GC_cash_60_R1,GC,cash,60,R1,1702,-1.35,-0.069,54.9,-30.53,2/7,,-12970.0,-0.4,UNDERPOWERED
GC_cash_60_R2,GC,cash,60,R2,1702,-21.2,-1.625,36.52,-24.53,3/7,,-41763.0,0.41,UNDERPOWERED
GC_cash_60_R3,GC,cash,60,R3,1702,-16.58,-1.202,38.63,-23.8,3/7,,-32755.0,-0.78,UNDERPOWERED
GC_globex_5_R1,GC,globex,5,R1,1795,-43.31,-2.729,44.44,-55.91,0/7,,-72235.0,-0.12,NEGATIVE (t) but UNDERPOWERED vs $25
GC_globex_5_R2,GC,globex,5,R2,1795,-45.94,-2.357,54.56,-72.52,1/7,,-82670.0,0.73,NEGATIVE (t) but UNDERPOWERED vs $25
GC_globex_5_R3,GC,globex,5,R3,1795,-32.92,-6.042,15.26,-28.29,0/7,,-53200.0,-0.23,NEGATIVE
GC_globex_15_R1,GC,globex,15,R1,1614,-50.92,-2.611,54.61,-50.3,1/7,,-85115.0,-0.17,NEGATIVE (t) but UNDERPOWERED vs $25
GC_globex_15_R2,GC,globex,15,R2,1614,-57.0,-2.807,56.86,-51.31,0/7,,-89892.0,-0.96,NEGATIVE (t) but UNDERPOWERED vs $25
GC_globex_15_R3,GC,globex,15,R3,1614,-43.21,-5.821,20.78,-30.88,0/7,,-68250.0,-1.35,NEGATIVE
GC_globex_30_R1,GC,globex,30,R1,1322,-44.57,-1.806,69.09,-20.95,1/7,,-63705.0,5.08,UNDERPOWERED
GC_globex_30_R2,GC,globex,30,R2,1322,-32.95,-1.349,68.4,-39.41,3/7,,-46311.0,0.92,UNDERPOWERED
GC_globex_30_R3,GC,globex,30,R3,1322,-29.89,-2.976,28.12,-35.61,0/7,,-39090.0,0.51,NEGATIVE (t) but UNDERPOWERED vs $25
