ticker,event_et,session,jump_pct,res_pct,pred
AAPL,2020-04-30 16:30:41,AMC,0.21287919105907396,0.5708209748726845,0.20923603327203796
AMZN,2020-04-30 16:42:20,AMC,0.10112927692566998,0.3595707624023821,0.017126220243192325
MU,2020-06-29 16:02:05,AMC,0.030092534543721947,0.020061186619188525,0.02060368806016277
NFLX,2020-07-16 16:57:23,AMC,0.011867745840355083,0.07358526395746298,0.024081878386514148
MSFT,2020-07-22 16:03:04,AMC,0.04847533528773574,0.17310621797534967,0.08014172431246837
TSLA,2020-07-22 16:54:41,AMC,0.011527909067853273,0.08992391053723772,0.011095955845676096
INTC,2020-07-23 16:07:41,AMC,0.05216236722306525,0.007113050075872534,0.03537516202782483
GOOGL,2020-07-30 18:40:20,AMC,0.00918357975939021,0.06887526689165921,0.15303024948328137
AAPL,2020-07-30 18:55:04,AMC,0.011488442626717523,0.01837897445322551,0.21287919105907396
AMZN,2020-07-30 19:05:15,AMC,0.02296949650863653,0.1515986769570011,0.0188541404595536
META,2020-07-30 19:18:23,AMC,0.01605688725771304,0.0275267238610818,0.03291237890062524
MU,2020-09-29 16:00:38,AMC,0.09947169477663079,0.296204602223745,0.023411869922382523
NFLX,2020-10-20 16:07:02,AMC,0.06442330405652072,0.019326991216956215,0.02289752371176755
TSLA,2020-10-21 16:38:49,AMC,0.019245985073669356,0.051321529381575574,0.011527909067853273
INTC,2020-10-22 16:07:11,AMC,0.0322338025142366,0.13322732449448826,0.0378000378000378
MSFT,2020-10-27 16:12:57,AMC,0.08855674111192707,0.07127583749109052,0.07687345305863372
GOOGL,2020-10-29 16:01:25,AMC,0.5222334846414878,0.5288323821695349,0.1471825063078217
META,2020-10-29 16:07:58,AMC,0.09847904584746689,1.6347521610679503,0.0318606627017842
AAPL,2020-10-29 16:30:32,AMC,0.3264081866701954,0.5144850733086027,0.20417715209062295
AMZN,2020-10-29 16:42:03,AMC,0.006661929294723752,0.11324776835280011,0.020582060675914872
MU,2021-01-07 16:00:45,AMC,0.007736494980948882,0.08897141309813934,0.026220051784602277
NFLX,2021-01-19 16:02:11,AMC,0.015398236901874736,0.15974748349596782,0.024081878386514148
INTC,2021-01-21 16:04:38,AMC,0.02240101551270324,0.042933676802747754,0.03537516202782483
MSFT,2021-01-26 16:04:05,AMC,0.099601593625498,0.08669027593330382,0.08014172431246837
META,2021-01-27 16:08:08,AMC,0.20331440847015497,0.04986192083461184,0.03291237890062524
AAPL,2021-01-27 16:30:35,AMC,0.14253794591262808,0.861636917383091,0.21287919105907396
GOOGL,2021-02-02 16:01:27,AMC,0.09302152518092688,0.2139375674368419,0.15303024948328137
AMZN,2021-02-02 16:30:08,AMC,0.05378537779591232,0.007415784497302509,0.0188541404595536
MU,2021-03-31 16:00:40,AMC,0.09935229943254552,0.028659864725438494,0.023411869922382523
NFLX,2021-04-20 16:06:16,AMC,0.018177521676694598,0.11815603868246928,0.02289752371176755
INTC,2021-04-22 16:05:36,AMC,0.007278417671998108,0.11827213508497397,0.032950286255611846
TSLA,2021-04-26 16:53:31,AMC,0.007134194192765927,0.030319784551178012,0.011567785062075214
GOOGL,2021-04-27 16:01:33,AMC,0.03223033949290932,0.10027396279119738,0.1471825063078217
MSFT,2021-04-27 16:04:57,AMC,0.10919571093568194,0.13962980201210126,0.08370087960824116
META,2021-04-28 16:09:19,AMC,0.0035887957795761633,0.3265862761986793,0.03396409509946628
AAPL,2021-04-28 16:30:33,AMC,0.299605310369573,0.3157970286370487,0.20417715209062295
AMZN,2021-04-29 16:31:31,AMC,0.0,0.04660667550998458,0.020582060675914872
MU,2021-06-30 16:00:41,AMC,0.08079210643930278,0.04813146766596761,0.026220051784602277
NFLX,2021-07-20 16:04:07,AMC,0.02380911889253584,0.16325420039453098,0.021713169037020953
INTC,2021-07-22 16:05:35,AMC,0.0,0.03178533190578159,0.03259204438492422
TSLA,2021-07-26 16:25:13,AMC,0.0,0.008266922390132601,0.011527909067853273
AAPL,2021-07-27 16:35:44,AMC,0.04187253998827569,0.26128902586091385,0.21287919105907396
GOOGL,2021-07-27 16:36:42,AMC,0.01507891297791777,0.20945040214477212,0.12010201574437429
AMD,2021-07-27 16:39:42,AMC,0.018441523605150216,0.1944612083417153,0.012168168680715963
MSFT,2021-07-27 16:41:19,AMC,0.006710283509478275,0.12245651116367234,0.08726003490401396
META,2021-07-28 16:08:06,AMC,0.006673228674863616,0.04170559188576004,0.03291237890062524
AMZN,2021-07-29 16:34:52,AMC,0.01841558963369718,0.07700806910637158,0.0188541404595536
AVGO,2021-09-02 16:18:04,AMC,0.0016028980396556973,0.0,0.011413825152472433
MU,2021-09-28 16:01:35,AMC,0.11838722770937628,0.24183592362720063,0.028156293164162113
NFLX,2021-10-19 16:02:05,AMC,0.027570101036311443,0.0356795329224781,0.022761143964778397
INTC,2021-10-21 16:09:46,AMC,0.029080569332924053,0.5153723120668207,0.0322338025142366
META,2021-10-25 16:08:12,AMC,0.0386946988262608,0.09029054206571861,0.0318606627017842
GOOGL,2021-10-26 16:01:30,AMC,0.014469453376205789,0.03376205787781351,0.09302152518092688
MSFT,2021-10-26 16:04:14,AMC,0.098212848172597,0.1706622015423999,0.08370087960824116
AMD,2021-10-26 16:17:33,AMC,0.0369893856545513,0.017690860258286558,0.013365410318096765
AMZN,2021-10-28 16:07:09,AMC,0.03500397772474145,0.042959427207637235,0.01841558963369718
AAPL,2021-10-28 16:30:23,AMC,0.34044448686743345,0.3070168461575172,0.20417715209062295
AVGO,2021-12-09 16:26:54,AMC,0.03407524433499063,0.04336782107676104,0.011022320198401764
MU,2021-12-20 16:00:41,AMC,0.06879779847044895,0.33280532488519815,0.030092534543721947
NFLX,2022-01-20 16:01:51,AMC,0.18898488120950324,0.2480593992575093,0.02380911889253584
MSFT,2022-01-25 16:03:05,AMC,0.06753634521736039,0.0977447617693579,0.08726003490401396
INTC,2022-01-26 16:08:32,AMC,0.0159701889805696,0.02306886944794421,0.030657185923580327
TSLA,2022-01-26 16:26:43,AMC,0.05852412790182134,0.003546916842534627,0.011056079851454155
AAPL,2022-01-27 16:30:36,AMC,0.3555539673747968,0.8255897069335238,0.21287919105907396
GOOGL,2022-02-01 16:01:29,AMC,0.001667389201987528,0.565244939473772,0.0884664573767691
AMD,2022-02-01 16:17:06,AMC,0.016580173428614065,0.1807238903718933,0.01590346696162349
META,2022-02-02 16:08:34,AMC,0.29762402394368553,0.7273274478330658,0.03291237890062524
AMZN,2022-02-03 16:11:33,AMC,0.04603423583168519,0.6819305453739537,0.019498825154806027
AVGO,2022-03-03 16:18:22,AMC,0.008893157604539067,0.04979902536193221,0.011413825152472433
MU,2022-03-29 16:00:37,AMC,0.029524653085326247,0.11973887084604534,0.03149147185020593
NFLX,2022-04-19 16:03:19,AMC,0.09569038843209526,0.1027767441036273,0.023945498639524995
TSLA,2022-04-20 16:12:16,AMC,0.012446878500684577,0.10668373606443698,0.011527909067853273
GOOGL,2022-04-26 16:01:32,AMC,0.27292471506275345,0.7111555316368109,0.08391138957261132
MSFT,2022-04-26 16:03:59,AMC,0.39202121526576733,0.6534063611031037,0.08370087960824116
META,2022-04-27 16:07:54,AMC,0.164256928395439,0.183363575589724,0.03396409509946628
INTC,2022-04-28 16:09:32,AMC,0.1689950428120775,0.04693689803428271,0.029080569332924053
AMZN,2022-04-28 16:27:13,AMC,0.08257948275214894,0.45045045045045046,0.020582060675914872
AAPL,2022-04-28 16:32:12,AMC,0.2236761169826092,0.6188026541415045,0.21793807224048897
AMD,2022-05-03 16:11:17,AMC,0.0475827940616673,0.2588553265193475,0.016580173428614065
AVGO,2022-05-26 07:28:34,BMO,0.11037757460899265,0.13119533527696794,0.011022320198401764
MU,2022-06-30 16:00:27,AMC,0.0671693534408043,0.3076789738256197,0.030092534543721947
NFLX,2022-07-19 16:02:32,AMC,0.08950912382773563,0.132232077467654,0.024081878386514148
TSLA,2022-07-20 16:43:32,AMC,0.040226070516301615,0.020112226222320548,0.011567785062075214
GOOGL,2022-07-26 16:02:00,AMC,0.17718076558572665,0.16274231094081534,0.0884664573767691
MSFT,2022-07-26 16:02:59,AMC,0.17718076558572665,0.16274231094081534,0.08726003490401396
META,2022-07-27 16:07:22,AMC,0.1671475475077107,0.2646713498238841,0.03632939696286354
INTC,2022-07-28 16:06:34,AMC,0.06629877347269075,0.009749629514078465,0.030657185923580327
AMZN,2022-07-28 16:09:30,AMC,0.08386480213757729,0.03900536323744515,0.021775778592275703
AAPL,2022-07-28 16:31:44,AMC,0.1996820596332054,0.10273507918354688,0.22299695342190398
AMD,2022-08-02 16:08:05,AMC,0.04072529816736158,0.12605449432754776,0.01751084851688214
NVDA,2022-08-24 16:24:34,AMC,0.023152167621693583,0.11769245610650202,0.06483820012334414
AVGO,2022-09-01 16:26:00,AMC,0.008135041692088672,0.02847264592231035,0.011413825152472433
MU,2022-09-29 16:00:31,AMC,0.09793883274718425,0.031161662252097846,0.03149147185020593
AMD,2022-10-06 16:20:03,AMC,0.08687342541916428,0.0,0.018441523605150216
NFLX,2022-10-18 16:06:07,AMC,0.04431838326537848,0.28363765289842224,0.025079598819047543
GOOGL,2022-10-25 16:01:23,AMC,0.32704886494805696,0.9661422708618331,0.09302152518092688
MSFT,2022-10-25 16:02:59,AMC,0.3066497973538052,0.7699071393338909,0.08790838800797052
META,2022-10-26 16:19:09,AMC,0.08735341005874517,0.06333260537235205,0.0386946988262608
INTC,2022-10-27 16:02:53,AMC,0.39748484167976644,0.9431843700875815,0.0322338025142366
AMZN,2022-10-27 16:09:35,AMC,0.031647000316470004,0.47929101103273647,0.02296949650863653
AAPL,2022-10-27 16:30:22,AMC,0.717334059747571,0.626503836201026,0.21793807224048897
AMD,2022-11-01 16:17:39,AMC,0.026554547466253596,0.14827273330825236,0.026247071932333516
NVDA,2022-11-16 16:21:18,AMC,0.06565849112551363,0.25626906133514066,0.060662229336928136
AVGO,2022-12-08 16:21:25,AMC,0.0021460609052084897,0.0042921218104169795,0.011022320198401764
MU,2022-12-21 16:00:43,AMC,0.006616090331686662,0.14775609218215902,0.03289040915668991
NFLX,2023-01-19 16:51:04,AMC,0.0,0.05924690599490916,0.026077319251580938
MSFT,2023-01-24 16:28:00,AMC,0.010435145570280704,0.07931372753647388,0.08855674111192707
TSLA,2023-01-25 16:41:18,AMC,0.018968533310852107,0.13066110303260206,0.011607661056297156
INTC,2023-01-26 16:06:30,AMC,0.004137018037398643,0.11790989201936204,0.03259204438492422
AMD,2023-01-31 16:55:24,AMC,0.012385179069047372,0.016512890375049022,0.026554547466253596
META,2023-02-01 16:22:15,AMC,0.01798453330136083,0.07992806474173243,0.040066461997600625
GOOGL,2023-02-02 16:01:29,AMC,0.021405775667471007,0.9710249275136702,0.12010201574437429
AMZN,2023-02-02 16:08:48,AMC,0.29537763345787443,0.6573284294545739,0.025892586118116172
AAPL,2023-02-02 16:30:33,AMC,0.7811886629504593,0.6280913872968517,0.22299695342190398
NVDA,2023-02-22 16:52:26,AMC,0.084334375514234,0.03496791179858483,0.06316036023122087
AVGO,2023-03-02 16:16:43,AMC,0.016593035073527888,0.010371077140071768,0.009957738901470416
MU,2023-03-28 16:01:45,AMC,0.13350610594102172,0.06478972788314288,0.03149147185020593
NFLX,2023-04-18 16:03:44,AMC,0.05703205201323143,0.16920152091254753,0.025079598819047543
GOOGL,2023-04-20 16:24:04,AMC,0.0,0.007638835841417768,0.09302152518092688
GOOGL,2023-04-25 16:01:48,AMC,0.44660269911849604,0.6669787034870115,0.0884664573767691
MSFT,2023-04-25 16:03:03,AMC,0.43314427783389015,0.2602902041529885,0.08790838800797052
META,2023-04-26 16:18:04,AMC,0.0502289279987636,0.12750420184301528,0.0386946988262608
INTC,2023-04-27 16:09:04,AMC,0.0056357078449053195,0.2554854223023745,0.0322338025142366
AMZN,2023-04-27 16:10:37,AMC,0.04884647178176899,0.28743729921659245,0.028815675727595812
AMD,2023-05-02 16:17:31,AMC,0.04929377192150915,0.08910459362617779,0.022498035535701906
AAPL,2023-05-04 16:30:43,AMC,0.16867285133788237,0.017251624527976385,0.2233365352022566
NVDA,2023-05-24 16:22:18,AMC,0.027251916718142512,0.4033283674285092,0.06565849112551363
