rank,ticker,company,weight_pct,source_url,retrieved_utc
33,TMUS,"T-Mobile US, Inc.",0.45,https://www.slickcharts.com/nasdaq100,2026-08-04T14:02:53.452373+00:00
34,WDC,Western Digital Corp.,0.45,https://www.slickcharts.com/nasdaq100,2026-08-04T14:02:53.452373+00:00
35,ADI,"Analog Devices, Inc.",0.44,https://www.slickcharts.com/nasdaq100,2026-08-04T14:02:53.452373+00:00
36,QCOM,Qualcomm Inc,0.4,https://www.slickcharts.com/nasdaq100,2026-08-04T14:02:53.452373+00:00
37,GILD,Gilead Sciences Inc,0.39,https://www.slickcharts.com/nasdaq100,2026-08-04T14:02:53.452373+00:00
38,SHOP,Shopify Inc. Class A subordinate voting shares,0.37,https://www.slickcharts.com/nasdaq100,2026-08-04T14:02:53.452373+00:00
39,BKNG,Booking Holdings Inc. Common Stock,0.36,https://www.slickcharts.com/nasdaq100,2026-08-04T14:02:53.452373+00:00
40,APP,Applovin Corporation Class A Common Stock,0.34,https://www.slickcharts.com/nasdaq100,2026-08-04T14:02:53.452373+00:00
41,ISRG,Intuitive Surgical Inc.,0.32,https://www.slickcharts.com/nasdaq100,2026-08-04T14:02:53.452373+00:00
42,PDD,PDD Holdings Inc. American Depositary Shares,0.31,https://www.slickcharts.com/nasdaq100,2026-08-04T14:02:53.452373+00:00
43,VRTX,Vertex Pharmaceuticals Inc,0.3,https://www.slickcharts.com/nasdaq100,2026-08-04T14:02:53.452373+00:00
44,FTNT,"Fortinet, Inc.",0.3,https://www.slickcharts.com/nasdaq100,2026-08-04T14:02:53.452373+00:00
45,SBUX,Starbucks Corp,0.28,https://www.slickcharts.com/nasdaq100,2026-08-04T14:02:53.452373+00:00
46,ADP,Automatic Data Processing,0.26,https://www.slickcharts.com/nasdaq100,2026-08-04T14:02:53.452373+00:00
47,DDOG,"Datadog, Inc. Class A Common Stock",0.24,https://www.slickcharts.com/nasdaq100,2026-08-04T14:02:53.452373+00:00
48,ADBE,Adobe Inc.,0.24,https://www.slickcharts.com/nasdaq100,2026-08-04T14:02:53.452373+00:00
49,CEG,Constellation Energy Corporation Common Stock,0.23,https://www.slickcharts.com/nasdaq100,2026-08-04T14:02:53.452373+00:00
50,MELI,"Mercado Libre, Inc",0.23,https://www.slickcharts.com/nasdaq100,2026-08-04T14:02:53.452373+00:00
51,CDNS,Cadence Design Systems,0.23,https://www.slickcharts.com/nasdaq100,2026-08-04T14:02:53.452373+00:00
52,CSX,CSX Corporation,0.22,https://www.slickcharts.com/nasdaq100,2026-08-04T14:02:53.452373+00:00
53,MNST,Monster Beverage Corporation,0.22,https://www.slickcharts.com/nasdaq100,2026-08-04T14:02:53.452373+00:00
