Date,Scraped_At,dOpen,wOpen,mOpen,DIHD,DIHU,DILD,DILU,DRHD,DRHU,DRLD,DRLU,MIHD,MIHU,MILD,MILU,MRHD,MRHU,MRLD,MRLU,MTL1,MTL2,MTLD,MTLU,WIHD,WIHU,WILD,WILU,WRHD,WRHU,WRLD,WRLU,WTL1,WTL2,WTLD,WTLU,DTL1,DTL2,DTLD,DTLU,DTH1,DTH2,DTHD,DTHU,WTH1,WTH2,WTHD,WTHU,MTH1,MTH2,MTHD,MTHU
2025-01-29,2026-06-30 09:29:42,45021.0,44475.0,42935.0,45113.24919636,45143.602413,44859.041007,44889.39422364,45211.29984,45317.55648,44691.24795,44798.31225,43587.036671,43722.642575,42451.337225,42586.943129,43952.5595,44296.8982,41531.0255,41954.3646,,,,,44654.867574,44724.14895,44074.63605,44143.917426,44971.78575,45118.55325,43805.2065,43975.54575,,,,,,,,,,,,,45660.25875,46127.691,45481.914,46261.56075,45342.7948,45853.29195,45205.83215,46235.8428
2025-01-30,2026-06-30 09:30:06,44901.0,44475.0,42935.0,45012.79639152,45044.457276,44747.636484,44779.29736848,45126.9504,45233.0088,44565.07726,44671.8393,43587.036671,43722.642575,42451.337225,42586.943129,43952.5595,44296.8982,41531.0255,41954.3646,,,,,44654.867574,44724.14895,44074.63605,44143.917426,44971.78575,45118.55325,43805.2065,43975.54575,,,,,,,,,,,,,45660.25875,46127.691,45481.914,46261.56075,45342.7948,45853.29195,45205.83215,46235.8428
2025-01-31,2026-06-30 09:30:30,45120.0,44475.0,42935.0,45208.9248789,45239.9781925,44948.8533775,44979.9066911,45314.72832,45421.22804,44773.70596,44880.9678,43587.036671,43722.642575,42451.337225,42586.943129,43952.5595,44296.8982,41531.0255,41954.3646,,,,,44654.867574,44724.14895,44074.63605,44143.917426,44971.78575,45118.55325,43805.2065,43975.54575,,,,,44492.03096,44333.84228,44204.04644,44609.20776,,,,,45660.25875,46127.691,45481.914,46261.56075,45342.7948,45853.29195,45205.83215,46235.8428
2025-02-03,2026-06-30 09:30:54,44449.0,44449.0,44449.0,44401.93536018,44443.2244165,44056.1395135,44097.42856982,44628.76242376,44698.003298,43765.33391,43870.18005,45124.0291834,45264.416905,43948.282015,44088.6697366,45502.4413,45858.92228,42995.5177,43433.78484,,,,,44628.76242376,44698.003298,44056.1395135,44097.42856982,44945.49533,45092.17703,43765.33391,43870.18005,,,,,,,,,44977.49861,45123.73582,44945.49533,45092.17703,,,,,,,,
2025-02-04,2026-06-30 09:31:17,44826.0,44449.0,44449.0,44891.72707428,44923.884369,44622.409731,44654.56702572,45012.47616,45118.26552,44433.93922,44540.3871,45124.0291834,45264.416905,43948.282015,44088.6697366,45502.4413,45858.92228,42995.5177,43433.78484,,,,,44628.76242376,44698.003298,44048.870102,44118.11097624,44945.49533,45092.17703,43779.59806,43949.83773,,,,,44154.40172,43997.41346,44048.870102,44118.11097624,,,,,,,,,,,,
2025-02-05,2026-06-30 09:31:44,44660.0,44449.0,44449.0,44765.41178154,44796.0512545,44508.8061955,44539.44566846,44868.88128,44974.33316,44336.57916,44442.7938,45124.0291834,45264.416905,43948.282015,44088.6697366,45502.4413,45858.92228,42995.5177,43433.78484,,,,,44628.76242376,44698.003298,44048.870102,44118.11097624,44945.49533,45092.17703,43779.59806,43949.83773,,,,,,,,,45214.28087,45361.28794,45131.17049,45517.23161,,,,,,,,
2025-02-06,2026-06-30 09:32:08,45045.0,44449.0,44449.0,45134.67581298,45165.0109365,44880.6191535,44910.95427702,45232.3872,45338.6934,44713.10429,44820.22095,45124.0291834,45264.416905,43948.282015,44088.6697366,45502.4413,45858.92228,42995.5177,43433.78484,,,,,44628.76242376,44698.003298,44048.870102,44118.11097624,44945.49533,45092.17703,43779.59806,43949.83773,,,,,44431.81054,44273.83597,44144.21581,44548.82874,,,,,45633.56585,46100.72484,45502.4413,45858.92228,,,,
2025-02-07,2026-06-30 09:32:30,44790.0,44449.0,44449.0,44924.21501964,44955.850667,44659.266473,44690.90212036,45038.58432,45144.43504,44476.65843,44583.20865,45124.0291834,45264.416905,43948.282015,44088.6697366,45502.4413,45858.92228,42995.5177,43433.78484,,,,,44628.76242376,44698.003298,44048.870102,44118.11097624,44945.49533,45092.17703,43779.59806,43949.83773,,,,,44196.85218,44039.71299,44048.870102,44118.11097624,,,,,45633.56585,46100.72484,45502.4413,45858.92228,,,,
2025-02-10,2026-06-30 09:32:55,44177.0,44177.0,44449.0,44440.30514028,44481.172099,44098.044361,44138.91131972,44667.04512,44772.02264,43812.027,43916.985,45124.0291834,45264.416905,43948.282015,44088.6697366,45502.4413,45858.92228,42995.5177,43433.78484,,,,,44355.66239048,44424.479554000005,43779.318646,43848.135809520005,44667.04512,44772.02264,43511.69438,43680.89229,,,,,,,,,,,,,,,,,,,,
2025-02-11,2026-06-30 09:33:21,44574.0,44177.0,44449.0,44644.43856708,44675.989449,44380.199931,44411.75081292,44759.42784,44864.62248,44197.49336,44303.3748,45124.0291834,45264.416905,43948.282015,44088.6697366,45502.4413,45858.92228,42995.5177,43433.78484,,,,,44355.66239048,44424.479554000005,43779.318646,43848.135809520005,44670.45709,44816.24119,43511.69438,43680.89229,,,,,,,,,,,,,,,,,,,,
