Date,Scraped_At,dOpen,wOpen,mOpen,DIHD,DIHU,DILD,DILU,DRHD,DRHU,DRLD,DRLU,DTH1,DTH2,DTHD,DTHU,MIHD,MIHU,MILD,MILU,MRHD,MRHU,MRLD,MRLU,MTL1,MTL2,MTLD,MTLU,WIHD,WIHU,WILD,WILU,WRHD,WRHU,WRLD,WRLU,DTL1,DTL2,DTLD,DTLU,WTH1,WTH2,WTHD,WTHU,MTH1,MTH2,MTHD,MTHU,WTL1,WTL2,WTLD,WTLU
2026-03-26,2026-06-29 09:11:55,4371.8,4450.0,5360.0,4406.3262185,4410.656370500001,4370.0611955,4374.391347500001,4432.838592,4439.673472,4340.744541,4348.696303000001,,,,,5474.8442176,5493.56048,5318.09552,5336.8117824,5515.4936,5576.8656,5226.5896,5268.0224,5107.1688,5042.7952000000005,5038.2928,5113.3864,4489.175486,4496.98755,4423.74945,4431.561514,4518.708,4537.4425,4371.2795,4403.097,,,,,4606.462,4652.742,4582.432,4682.557,,,,,4304.5295,4273.78,4217.888,4338.305
2026-03-27,2026-06-29 09:12:23,4371.8,4450.0,5360.0,4406.3262185,4410.656370500001,4370.0611955,4374.391347500001,4432.838592,4439.673472,4340.744541,4348.696303000001,4465.557824,4480.726848,4458.017408000001,4489.898816000001,5474.8442176,5493.56048,5318.09552,5336.8117824,5515.4936,5576.8656,5226.5896,5268.0224,5107.1688,5042.7952000000005,5038.2928,5113.3864,4489.175486,4496.98755,4423.74945,4431.561514,4518.708,4537.4425,4371.2795,4403.097,,,,,4606.462,4652.742,4582.432,4682.557,,,,,4304.5295,4273.78,4217.888,4338.305
2026-03-30,2026-06-29 09:12:53,4520.0,4520.0,5360.0,4533.506239956,4538.1921933,4494.2613807,4498.947334044,4563.523692000001,4570.560072,4461.555357,4469.728431,4597.207524,4612.823748000001,4589.7888,4608.818,5474.8442176,5493.56048,5318.09552,5336.8117824,5515.4936,5576.8656,5226.5896,5268.0224,5107.1688,5042.7952000000005,5038.2928,5113.3864,4563.523692000001,4570.560072,4494.2613807,4498.947334044,4589.7888,4608.818,4440.0412,4472.3592,4433.398668,4413.370146,4402.143396,4443.008766,4678.9232,4725.9312,4654.5152,4756.2152,,,,,,,,
2026-03-31,2026-06-29 09:13:23,4538.9,4520.0,5360.0,4556.60811248,4560.451324000001,4524.421216,4528.26442752,4576.491675,4583.54805,4501.097055,4509.342565,4610.271225,4625.931825,4602.48645,4635.401025,5474.8442176,5493.56048,5318.09552,5336.8117824,5515.4936,5576.8656,5226.5896,5268.0224,5107.1688,5042.7952000000005,5038.2928,5113.3864,4559.7917296,4567.72668,4493.33652,4501.2714704,4589.7888,4608.818,4440.0412,4472.3592,,,,,4678.9232,4725.9312,4654.5152,4756.2152,,,,,,,,
2026-04-01,2026-06-29 09:13:52,4698.4,4520.0,4698.4,4725.227876475999,4729.6310183,4688.3515637,4692.754705524,4750.805493,4758.130638,4659.5619,4668.0977,4785.871671,4802.128766999999,4777.790381999999,4811.958639,4799.068670143999,4815.474731199999,4661.6679088,4678.073969856,4834.700583999999,4888.497264,4589.7888,4608.818,,,,,4559.7917296,4567.72668,4493.33652,4501.2714704,4589.7888,4608.818,4440.0412,4472.3592,,,,,4678.9232,4725.9312,4654.5152,4756.2152,,,,,,,,
2026-04-02,2026-06-29 09:14:19,4783.0,4520.0,4698.4,4809.31513374,4813.6357875,4773.1296585,4777.45031226,4833.438687000001,4840.891242000001,4745.5998660000005,4754.293278,,,,,4799.068670143999,4815.474731199999,4661.6679088,4678.073969856,4834.700583999999,4888.497264,4589.7888,4608.818,4476.776472,4420.348688,4440.0412,4472.3592,4559.7917296,4567.72668,4493.33652,4501.2714704,4589.7888,4608.818,4440.0412,4472.3592,4715.650584,4694.346948,4682.405448,4725.872508,4678.9232,4725.9312,4654.5152,4756.2152,,,,,,,,
2026-04-03,2026-06-29 09:14:46,4783.0,4520.0,4698.4,4809.31513374,4813.6357875,4773.1296585,4777.45031226,4833.438687000001,4840.891242000001,4745.5998660000005,4754.293278,,,,,4799.068670143999,4815.474731199999,4661.6679088,4678.073969856,4834.700583999999,4888.497264,4589.7888,4608.818,4476.776472,4420.348688,4440.0412,4472.3592,4559.7917296,4567.72668,4493.33652,4501.2714704,4589.7888,4608.818,4440.0412,4472.3592,4715.650584,4694.346948,4682.405448,4725.872508,4678.9232,4725.9312,4654.5152,4756.2152,,,,,,,,
2026-04-06,2026-06-29 09:15:19,4675.0,4675.0,4698.4,4687.783910336,4693.0709808,4643.504695199999,4648.791765663999,4724.065311,4731.349226,4604.819498999999,4613.255017,4758.934117,4775.099709,4750.898314,4784.874253,4799.068670143999,4815.474731199999,4661.6679088,4678.073969856,4834.700583999999,4888.497264,4581.456824,4617.775455999999,4476.776472,4420.348688,4416.402032,4482.226616,4716.156269,4724.363325,4647.422175,4655.629231,4747.182,4766.86375,4604.819498999999,4613.255017,,,,,,,,,,,,,,,,
2026-04-07,2026-06-29 09:15:47,4678.6,4675.0,4698.4,4700.417140132,4704.2732961,4668.1218339,4671.977989868,4719.642123,4726.919218,4647.422175,4655.629231,4754.478281,4770.628737,4747.182,4766.86375,4799.068670143999,4815.474731199999,4661.6679088,4678.073969856,4834.700583999999,4888.497264,4581.456824,4617.775455999999,4476.776472,4420.348688,4416.402032,4482.226616,4716.156269,4724.363325,4647.422175,4655.629231,4747.182,4766.86375,4592.29925,4625.7255,4615.939344,4595.086168000001,4592.29925,4625.7255,,,,,,,,,,,,
2026-04-08,2026-06-29 09:16:21,4747.2,4675.0,4698.4,4820.0380256240005,4826.7633142,4763.7137338,4770.439022376,4872.644217,4880.157222000001,4709.734155,4718.361865,4908.609699000001,4925.2837230000005,4900.321158000001,4935.365691,4799.068670143999,4815.474731199999,4661.6679088,4678.073969856,4834.700583999999,4888.497264,4581.456824,4617.775455999999,4476.776472,4420.348688,4416.402032,4482.226616,4716.156269,4724.363325,4647.422175,4655.629231,4747.182,4766.86375,4592.29925,4625.7255,,,,,4839.373,4887.993,4834.700583999999,4888.497264,,,,,,,,
2026-04-09,2026-06-29 09:16:51,4744.8,4675.0,4698.4,4759.646871488,4763.8598704,4724.3630056,4728.576004512,4782.773079,4790.147514,4697.812035,4706.417905,4818.075213,4834.441701,4809.939546,4844.337716999999,4799.068670143999,4815.474731199999,4661.6679088,4678.073969856,4834.700583999999,4888.497264,4581.456824,4617.775455999999,4476.776472,4420.348688,4416.402032,4482.226616,4716.156269,4724.363325,4647.422175,4655.629231,4747.182,4766.86375,4592.29925,4625.7255,,,,,4839.373,4887.993,4834.700583999999,4888.497264,,,,,,,,
2026-04-10,2026-06-29 09:17:24,4790.5,4675.0,4698.4,4812.618708152,4816.823532599999,4777.4033034,4781.608127848,4835.3487,4842.8042,4751.163522,4759.867126,,,,,4799.068670143999,4815.474731199999,4661.6679088,4678.073969856,4834.700583999999,4888.497264,4581.456824,4617.775455999999,4476.776472,4420.348688,4416.402032,4482.226616,4716.156269,4724.363325,4647.422175,4655.629231,4747.182,4766.86375,4592.29925,4625.7255,,,,,4839.373,4887.993,4834.700583999999,4888.497264,,,,,,,,
2026-04-13,2026-06-29 09:17:52,4710.0,4710.0,4698.4,4694.22935076,4700.306113,4643.336467,4649.41322924,4739.84805,4747.1563,4595.97726,4604.39658,4774.83335,4791.05295,4782.7224,4802.5515,4799.068670143999,4815.474731199999,4661.6679088,4678.073969856,4834.700583999999,4888.497264,4581.456824,4617.775455999999,4476.776472,4420.348688,4416.402032,4482.226616,4751.4643908,4759.73289,4682.21571,4690.4842092,4782.7224,4802.5515,4643.336467,4649.41322924,,,,,,,,,,,,,,,,
2026-04-14,2026-06-29 09:18:22,4769.3,4710.0,4698.4,4790.418961428,4794.2222429,4758.566479100001,4762.369760572001,4808.507991,4815.922106,4736.658276,4745.335308000001,4844.000077000001,4860.454629,4835.820634000001,4870.403893000001,4799.068670143999,4815.474731199999,4661.6679088,4678.073969856,4834.700583999999,4888.497264,4581.456824,4617.775455999999,4476.776472,4420.348688,4416.402032,4482.226616,4751.4643908,4759.73289,4682.21571,4690.4842092,4782.7224,4802.5515,4626.6801,4660.3566,,,,,4875.6036,4924.5876,4850.1696,4956.1446,,,,,,,,
2026-04-15,2026-06-29 09:18:50,4862.7,4710.0,4698.4,4881.325597496,4885.2458078,4848.4938362,4852.414046504,4900.2891420000005,4907.844772,4825.676772,4834.516876,,,,,4799.068670143999,4815.474731199999,4661.6679088,4678.073969856,4834.700583999999,4888.497264,4581.456824,4617.775455999999,4476.776472,4420.348688,4416.402032,4482.226616,4751.4643908,4759.73289,4682.21571,4690.4842092,4782.7224,4802.5515,4626.6801,4660.3566,4795.222127999999,4773.559016,4782.7224,4802.5515,4875.6036,4924.5876,4850.1696,4956.1446,5014.038511999999,5068.070111999999,4994.916023999999,5102.133511999999,,,,
2026-04-16,2026-06-29 09:19:14,4813.6,4710.0,4698.4,4838.902489816,4842.9211398,4805.2462962,4809.264946184,4859.274126,4866.766516000001,4781.167524,4789.926092,,,,,4799.068670143999,4815.474731199999,4661.6679088,4678.073969856,4834.700583999999,4888.497264,4581.456824,4617.775455999999,4476.776472,4420.348688,4416.402032,4482.226616,4751.4643908,4759.73289,4682.21571,4690.4842092,4782.7224,4802.5515,4626.6801,4660.3566,,,,,4875.6036,4924.5876,4850.1696,4956.1446,5014.038511999999,5068.070111999999,4994.916023999999,5102.133511999999,,,,
