Date,Scraped_At,dOpen,wOpen,mOpen,DIHD,DIHU,DILD,DILU,DRHD,DRHU,DRLD,DRLU,MIHD,MIHU,MILD,MILU,MRHD,MRHU,MRLD,MRLU,WIHD,WIHU,WILD,WILU,WRHD,WRHU,WRLD,WRLU,DTH1,DTH2,DTHD,DTHU,WTH1,WTH2,WTHD,WTHU,DTL1,DTL2,DTLD,DTLU,MTH1,MTH2,MTHD,MTHU,WTL1,WTL2,WTLD,WTLU,MTL1,MTL2,MTLD,MTLU
2025-01-29,2026-06-29 10:46:57,73.95,74.54,71.85,74.1488168754,74.261471445,73.205334855,73.3179894246,74.80117800000001,75.0423528,72.6273093,72.9920295,74.100060348,74.7681159,68.50509509999999,69.173150652,75.722715,77.8415715,64.8065445,66.1688205,75.41098797360002,75.67427518000001,73.20595762,73.4692448264,76.757565,77.1690258,71.72164260000001,72.4320088,,,,,,,,,71.6025489,71.1093645,70.2462918,71.9731755,83.92367399999999,89.152917,82.0749735,89.45181299999999,,,,,,,,
2025-01-30,2026-06-29 10:47:22,73.0,74.54,71.85,73.21370966159999,73.32690778,72.26567542,72.3788735384,73.88107699999999,74.1192852,71.6731106,72.033039,74.100060348,74.7681159,68.50509509999999,69.173150652,75.722715,77.8415715,64.8065445,66.1688205,75.41098797360002,75.67427518000001,73.20595762,73.4692448264,76.757565,77.1690258,71.72164260000001,72.4320088,,,,,,,,,,,,,83.92367399999999,89.152917,82.0749735,89.45181299999999,,,,,,,,
2025-01-31,2026-06-29 10:47:49,73.2,74.54,71.85,73.37936061,73.49406925,72.41867575,72.53338439,74.063075,74.30187,71.81083,72.17145,74.100060348,74.7681159,68.50509509999999,69.173150652,75.722715,77.8415715,64.8065445,66.1688205,75.41098797360002,75.67427518000001,73.20595762,73.4692448264,76.757565,77.1690258,71.72164260000001,72.4320088,,,,,,,,,,,,,83.92367399999999,89.152917,82.0749735,89.45181299999999,,,,,,,,
2025-02-03,2026-06-29 10:48:15,74.14,74.14,74.14,74.9018660844,75.05401827,73.62759153,73.7797437156,76.014498,76.25958480000001,72.6174722,72.982143,76.4617741712,77.15112196,70.68848644,71.3778342288,78.136146,80.3225346,66.8720558,68.2777502,75.0063140376,75.26818838000001,72.81311642,73.0749907624,76.345665,76.7549178,71.3367666,72.0433208,,,,,,,,,71.59285059999999,71.09973299999999,70.68848644,71.3778342288,,,,,,,,,,,,
2025-02-04,2026-06-29 10:48:45,72.35,74.14,74.14,72.6256417704,72.73766682,71.68743198,71.7994570296,73.28452800000001,73.5208128,71.1025588,71.459622,76.4617741712,77.15112196,70.68848644,71.3778342288,78.136146,80.3225346,66.8720558,68.2777502,75.0063140376,75.26818838000001,72.81311642,73.0749907624,76.345665,76.7549178,71.3367666,72.0433208,,,,,,,,,70.0993124,69.616482,68.7715288,70.462158,,,,,68.9235096,65.9200982,66.8720558,68.2777502,,,,
2025-02-05,2026-06-29 10:49:12,72.76,74.14,74.14,72.93658323420001,73.04906073500001,71.994584165,72.1070616658,73.597969,73.8352644,71.40750890000001,71.7661035,76.4617741712,77.15112196,70.68848644,71.3778342288,78.136146,80.3225346,66.8720558,68.2777502,75.0063140376,75.26818838000001,72.81311642,73.0749907624,76.345665,76.7549178,71.3367666,72.0433208,,,,,,,,,70.3999597,69.9150585,69.0664814,70.7643615,,,,,68.9235096,65.9200982,66.8720558,68.2777502,,,,
2025-02-06,2026-06-29 10:49:39,71.18,74.14,74.14,71.3944888008,71.50535714000002,70.46596646,70.57683479920001,72.05098600000001,72.28329360000001,69.8827584,70.23369600000001,76.4617741712,77.15112196,70.68848644,71.3778342288,78.136146,80.3225346,66.8720558,68.2777502,75.0063140376,75.26818838000001,72.81311642,73.0749907624,76.345665,76.7549178,71.3367666,72.0433208,,,,,,,,,,,,,,,,,68.9235096,65.9200982,66.8720558,68.2777502,,,,
2025-02-07,2026-06-29 10:50:06,70.56,74.14,74.14,70.7596932942,70.86646423500001,69.86548666499999,69.9722576058,71.373549,71.60367240000001,69.3220437,69.6701655,76.4617741712,77.15112196,70.68848644,71.3778342288,78.136146,80.3225346,66.8720558,68.2777502,75.0063140376,75.26818838000001,72.81311642,73.0749907624,76.345665,76.7549178,71.3367666,72.0433208,,,,,,,,,,,,,,,,,68.9235096,65.9200982,66.8720558,68.2777502,,,,
2025-02-10,2026-06-29 10:50:33,71.0,71.0,74.14,71.2695587184,71.38405372000001,70.31066308,70.4251580816,71.97009800000001,72.20214480000001,69.72931299999999,69.98009636,76.4617741712,77.15112196,70.68848644,71.3778342288,78.136146,80.3225346,66.8720558,68.2777502,71.82962364,72.08040700000001,69.72931299999999,69.98009636,73.11225,73.50417,68.31549,68.99212,73.0513222,73.53392260000001,73.11225,73.50417,,,,,,,,,,,,,,,,,,,,
2025-02-11,2026-06-29 10:51:03,72.49,71.0,74.14,72.68552429580001,72.79509751500001,71.767848585,71.8774218042,73.31486100000001,73.5512436,71.2107669,71.5683735,76.4617741712,77.15112196,70.68848644,71.3778342288,78.136146,80.3225346,66.8720558,68.2777502,71.82962364,72.08040700000001,69.72931299999999,69.98009636,73.11225,73.50417,68.31549,68.99212,74.4162879,74.9079057,73.99355460000001,75.48508530000001,75.2174,76.08644,74.82335,76.77585,,,,,,,,,,,,,,,,
2025-02-12,2026-06-29 10:51:30,73.2,71.0,74.14,73.396239447,73.505259975,72.48319252499999,72.592213053,74.01252000000001,74.251152,71.93871229999999,72.29997449999999,76.4617741712,77.15112196,70.68848644,71.3778342288,78.136146,80.3225346,66.8720558,68.2777502,71.82962364,72.08040700000001,69.72931299999999,69.98009636,73.11225,73.50417,68.31549,68.99212,,,,,75.2174,76.08644,74.82335,76.77585,70.9236679,70.4351595,69.5802698,71.2907805,,,,,,,,,,,,
2025-02-13,2026-06-29 10:51:59,71.24,71.0,74.14,71.4844624356,71.59292273,70.57610747,70.6845677644,72.11165199999999,72.34415519999999,70.02047780000001,70.372107,76.4617741712,77.15112196,70.68848644,71.3778342288,78.136146,80.3225346,66.8720558,68.2777502,71.82962364,72.08040700000001,69.72931299999999,69.98009636,73.11225,73.50417,68.31549,68.99212,,,,,75.2174,76.08644,74.82335,76.77585,,,,,,,,,,,,,,,,
2025-02-14,2026-06-29 10:52:26,71.52,71.0,74.14,71.6813459046,71.790410055,70.767933645,70.8769977954,72.31387199999999,72.5470272,70.20738270000001,70.5599505,76.4617741712,77.15112196,70.68848644,71.3778342288,78.136146,80.3225346,66.8720558,68.2777502,71.82962364,72.08040700000001,69.72931299999999,69.98009636,73.11225,73.50417,68.31549,68.99212,,,,,75.2174,76.08644,74.82335,76.77585,,,,,,,,,,,,,,,,
2025-02-17,2026-06-29 10:52:54,70.69,70.69,74.14,70.71133960559999,70.83327398,69.69013921999999,69.81207359439999,71.504992,71.7355392,68.9777452,69.324138,76.4617741712,77.15112196,70.68848644,71.3778342288,78.136146,80.3225346,66.8720558,68.2777502,71.504992,71.7355392,69.42486106999999,69.6745494604,72.7930275,73.1832363,68.0172111,68.6908868,,,,,,,,,,,,,,,,,,,,,,,,
2025-02-18,2026-06-29 10:53:23,71.33,70.69,74.14,71.59797840600001,71.71231655,70.64039645000001,70.754734594,72.29365,72.52674,70.02047780000001,70.372107,76.4617741712,77.15112196,70.68848644,71.3778342288,78.136146,80.3225346,66.8720558,68.2777502,71.5160013396,71.76568973,69.42486106999999,69.6745494604,72.7930275,73.1832363,68.0172111,68.6908868,,,,,,,,,,,,,,,,,,,,,,,,
2025-02-19,2026-06-29 10:53:50,71.77,70.69,74.14,71.9656204926,72.072241955,71.072665745,71.1792872074,72.56664699999999,72.80061719999999,70.54184409999999,70.8960915,76.4617741712,77.15112196,70.68848644,71.3778342288,78.136146,80.3225346,66.8720558,68.2777502,71.5160013396,71.76568973,69.42486106999999,69.6745494604,72.7930275,73.1832363,68.0172111,68.6908868,73.6568333,74.14343389999999,73.2384142,74.7147231,,,,,,,,,,,,,,,,,,,,
2025-02-20,2026-06-29 10:54:18,72.09,70.69,74.14,72.2906159466,72.399931905,71.375094795,71.4844107534,72.92053200000001,73.1556432,70.8172829,71.17291349999999,76.4617741712,77.15112196,70.68848644,71.3778342288,78.136146,80.3225346,66.8720558,68.2777502,71.5160013396,71.76568973,69.42486106999999,69.6745494604,72.7930275,73.1832363,68.0172111,68.6908868,,,,,,,,,,,,,,,,,,,,,,,,
